year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000042,0.00269163
1995,"Beverages, spirits and vinegar",0.00000001,0.00000096
1995,Tin; articles thereof,0.00000000,0.00000669
1995,"Soap, organic surface-active agents; washing, lubricating, polishing or scouring preparations; artificial or prepared waxes, candles and similar articles, modelling pastes, dental waxes and dental preparations with a basis of plaster",0.00000000,0.00000000
1995,"Toys, games and sports requisites; parts and accessories thereof",0.00000000,0.00000001
1995,Other,0.00000000,0.00000000
1996,Carpets and other textile floor coverings,0.00000047,0.00000225
1996,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000037,0.00003560
1996,Apparel and clothing accessories; not knitted or crocheted,0.00000005,0.00000300
1996,Man-made staple fibres,0.00000005,0.00000631
1996,Plastics and articles thereof,0.00000003,0.00000950
1996,Other,0.00000002,0.00000088
1997,"Ships, boats and floating structures",0.00002389,0.26477400
1997,Silk,0.00000003,0.00000113
1997,Apparel and clothing accessories; not knitted or crocheted,0.00000002,0.00000000
1997,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000001,0.00000156
1997,Aluminium and articles thereof,0.00000001,0.00000055
1997,Other,0.00000004,0.00001760
1998,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000095,0.00710004
1998,Works of art; collectors' pieces and antiques,0.00000015,0.00000000
1998,Cotton,0.00000007,0.00004900
1998,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000001,0.00000035
1998,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000001,0.00000017
1998,Other,0.00000001,0.00000010
1999,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000263,0.00000148
1999,Miscellaneous edible preparations,0.00000018,0.00001032
1999,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00000016,0.00001936
1999,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",0.00000016,0.00001144
1999,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000009,0.00000600
1999,Other,0.00000007,0.00003692
2000,Photographic or cinematographic goods,0.00000003,0.00001349
2000,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000003,0.00000575
2000,Organic chemicals,0.00000002,0.00000851
2000,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000001,0.00000001
2000,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000001,0.00002914
2000,Other,0.00000002,0.00000517
2001,Cereals,0.00000098,0.00600000
2001,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000046,0.00000372
2001,"Beverages, spirits and vinegar",0.00000027,0.00057038
2001,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000018,0.00004865
2001,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",0.00000008,0.00000746
2001,Other,0.00000018,0.00003827
2002,"Beverages, spirits and vinegar",0.00000109,0.00189800
2002,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000048,0.00001167
2002,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000034,0.00000260
2002,Iron or steel articles,0.00000034,0.00017262
2002,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000011,0.00001224
2002,Other,0.00000022,0.00023967
2003,"Ships, boats and floating structures",0.00000303,0.00347792
2003,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000182,0.00024055
2003,"Beverages, spirits and vinegar",0.00000138,0.00209991
2003,Pharmaceutical products,0.00000039,0.00007670
2003,Iron or steel articles,0.00000027,0.00008779
2003,Other,0.00000142,0.00219389
2004,Pharmaceutical products,0.00000707,0.00132390
2004,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.00000105,0.01003020
2004,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000074,0.00009382
2004,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000068,0.00004854
2004,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000034,0.00144070
2004,Other,0.00000088,0.00057754
2005,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00001536,0.02800000
2005,Pharmaceutical products,0.00000926,0.00131658
2005,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000031,0.00001011
2005,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000024,0.00000804
2005,Tin; articles thereof,0.00000015,0.00014019
2005,Other,0.00000061,0.00031798
2006,Iron or steel articles,0.00000185,0.00027569
2006,Pharmaceutical products,0.00000168,0.00030656
2006,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000091,0.00013780
2006,Organic chemicals,0.00000028,0.00002285
2006,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000018,0.00002900
2006,Other,0.00000059,0.00014259
2007,Pharmaceutical products,0.00000232,0.00054328
2007,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000037,0.00000000
2007,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000023,0.00007181
2007,Iron or steel articles,0.00000022,0.00015309
2007,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000021,0.00000036
2007,Other,0.00000112,0.00076037
2008,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000204,0.00030586
2008,Pharmaceutical products,0.00000188,0.00034190
2008,Footwear; gaiters and the like; parts of such articles,0.00000164,0.00002995
2008,Apparel and clothing accessories; knitted or crocheted,0.00000096,0.00001443
