year,product_chapter,importer,value_trln_USD
1995,10,ARE,0.00004048
1995,10,SAU,0.00000982
1995,10,QAT,0.00000064
1995,10,TZA,0.00000007
1995,10,IRN,0.00000002
1995,10,Other,0.00000004
1995,11,SAU,0.00001015
1995,11,ARE,0.00000398
1995,11,EGY,0.00000137
1995,11,BHR,0.00000067
1995,11,QAT,0.00000047
1995,11,Other,0.00000093
1995,12,ARE,0.00000171
1995,12,SAU,0.00000005
1995,12,QAT,0.00000000
1995,12,SGP,0.00000000
1995,12,IRN,0.00000000
1995,13,SAU,0.00000000
1995,13,JOR,0.00000000
1995,14,ARE,0.00000015
1995,14,QAT,0.00000001
1995,15,ARE,0.00001293
1995,15,IRN,0.00000759
1995,15,SAU,0.00000090
1995,15,BHR,0.00000041
1995,15,KWT,0.00000022
1995,15,Other,0.00000027
1995,16,FRA,0.00000075
1995,16,ARE,0.00000003
1995,16,SAU,0.00000002
1995,16,CHE,0.00000000
1995,17,ARE,0.00000064
1995,17,SAU,0.00000024
1995,17,KEN,0.00000009
1995,17,KWT,0.00000004
1995,17,THA,0.00000002
1995,17,Other,0.00000003
1995,18,ARE,0.00000032
1995,18,SAU,0.00000017
1995,18,QAT,0.00000001
1995,18,YEM,0.00000001
1995,18,KWT,0.00000001
1995,18,Other,0.00000001
1995,19,ARE,0.00000391
1995,19,SAU,0.00000133
1995,19,DEU,0.00000027
1995,19,QAT,0.00000021
1995,19,AGO,0.00000016
1995,19,Other,0.00000038
1995,20,SAU,0.00000687
1995,20,ARE,0.00000164
1995,20,KWT,0.00000041
1995,20,QAT,0.00000006
1995,20,YEM,0.00000005
1995,20,Other,0.00000010
1995,21,ARE,0.00000365
1995,21,SAU,0.00000066
1995,21,BHR,0.00000006
1995,21,KWT,0.00000004
1995,21,IND,0.00000004
1995,21,Other,0.00000003
1995,22,ARE,0.00000327
1995,22,SAU,0.00000121
1995,22,KWT,0.00000074
1995,22,BHR,0.00000023
1995,22,MYS,0.00000006
1995,22,Other,0.00000021
1995,23,ARE,0.00000028
1995,23,SAU,0.00000000
1995,24,IRN,0.00010469
1995,24,ARE,0.00000130
1995,24,SAU,0.00000076
1995,24,QAT,0.00000070
1995,24,BHR,0.00000017
1995,24,Other,0.00000011
1995,25,ARE,0.00000463
1995,25,SAU,0.00000073
1995,25,BHR,0.00000056
1995,25,KWT,0.00000043
1995,25,SDN,0.00000031
1995,25,Other,0.00000013
1995,26,JPN,0.00001337
1995,26,ARE,0.00000030
1995,26,IND,0.00000002
1995,26,GBR,0.00000000
1995,27,JPN,0.00162256
1995,27,KOR,0.00080940
1995,27,THA,0.00065384
1995,27,CHN,0.00047438
1995,27,S19,0.00027586
1995,27,Other,0.00067618
1995,28,ARE,0.00000057
1995,28,SAU,0.00000002
1995,28,GBR,0.00000001
1995,28,SGP,0.00000001
1995,28,USA,0.00000001
1995,29,JOR,0.00000332
1995,29,IND,0.00000315
