year,product_chapter,importer,value_trln_USD
1995,10,BRA,0.00004303
1995,10,VEN,0.00000042
1995,10,URY,0.00000016
1995,10,ARG,0.00000010
1995,10,BOL,0.00000005
1995,10,Other,0.00000000
1995,11,BRA,0.00000804
1995,11,ARG,0.00000028
1995,11,URY,0.00000001
1995,11,DEU,0.00000000
1995,12,BRA,0.00010299
1995,12,NLD,0.00006832
1995,12,JPN,0.00003735
1995,12,BEL,0.00003241
1995,12,ESP,0.00001616
1995,12,Other,0.00004193
1995,13,ARG,0.00000001
1995,13,USA,0.00000001
1995,14,BRA,0.00000142
1995,14,ARG,0.00000038
1995,14,DEU,0.00000016
1995,14,BOL,0.00000003
1995,14,GBR,0.00000002
1995,14,Other,0.00000000
1995,15,BRA,0.00006574
1995,15,USA,0.00000085
1995,15,ARG,0.00000051
1995,15,CHL,0.00000048
1995,15,NLD,0.00000039
1995,15,Other,0.00000158
1995,16,USA,0.00000137
1995,16,ARG,0.00000051
1995,16,LBN,0.00000046
1995,16,ZA1,0.00000031
1995,16,BHS,0.00000030
1995,16,Other,0.00000100
1995,17,USA,0.00000617
1995,17,NLD,0.00000006
1995,17,BRA,0.00000005
1995,17,DNK,0.00000004
1995,17,DEU,0.00000004
1995,17,Other,0.00000010
1995,19,ARG,0.00000000
1995,20,BRA,0.00002333
1995,20,CHL,0.00001039
1995,20,ESP,0.00000779
1995,20,ITA,0.00000468
1995,20,ARG,0.00000391
1995,20,Other,0.00001320
1995,21,ARG,0.00000108
1995,21,NLD,0.00000041
1995,21,RUS,0.00000015
1995,21,NZL,0.00000014
1995,21,UKR,0.00000013
1995,21,Other,0.00000033
1995,22,ARG,0.00000155
1995,22,BRA,0.00000116
1995,22,USA,0.00000004
1995,22,URY,0.00000002
1995,22,BOL,0.00000002
1995,22,Other,0.00000001
1995,23,VEN,0.00001710
1995,23,CHL,0.00001458
1995,23,URY,0.00000959
1995,23,BRA,0.00000884
1995,23,PER,0.00000877
1995,23,Other,0.00002078
1995,24,FRA,0.00000224
1995,24,BEL,0.00000175
1995,24,ZA1,0.00000173
1995,24,ARG,0.00000111
1995,24,MAR,0.00000101
1995,24,Other,0.00000264
1995,25,ARG,0.00000339
1995,25,BRA,0.00000002
1995,25,COL,0.00000000
1995,26,BRA,0.00000004
1995,26,BEL,0.00000002
1995,26,BOL,0.00000000
1995,27,ARG,0.00006423
1995,27,USA,0.00000074
1995,27,BOL,0.00000018
1995,27,PER,0.00000000
1995,28,BRA,0.00000145
1995,28,ARG,0.00000036
1995,28,ITA,0.00000022
1995,28,URY,0.00000001
1995,28,IND,0.00000001
1995,29,USA,0.00000156
1995,29,BRA,0.00000117
1995,29,ARG,0.00000028
1995,29,ECU,0.00000018
1995,29,DEU,0.00000010
1995,29,Other,0.00000025
1995,30,PHL,0.00000172
1995,30,ECU,0.00000165
1995,30,BOL,0.00000091
1995,30,BRA,0.00000079
1995,30,ARG,0.00000020
1995,30,Other,0.00000118
1995,31,USA,0.00000002
1995,32,ITA,0.00000164
1995,32,BRA,0.00000038
1995,32,DEU,0.00000033
1995,32,COL,0.00000020
1995,32,BEL,0.00000020
1995,32,Other,0.00000145
1995,33,USA,0.00000287
1995,33,FRA,0.00000273
1995,33,BRA,0.00000260
1995,33,CHE,0.00000158
1995,33,GBR,0.00000141
1995,33,Other,0.00000339
1995,34,BOL,0.00000010
1995,34,BRA,0.00000007
1995,34,ECU,0.00000003
1995,34,ARG,0.00000001
1995,34,URY,0.00000001
1995,34,Other,0.00000001
1995,35,ARG,0.00000004
1995,35,IDN,0.00000002
1995,35,URY,0.00000001
1995,36,BRA,0.00000000
1995,37,USA,0.00000030
1995,37,ARG,0.00000004
1995,37,BOL,0.00000001
1995,37,NLD,0.00000001
1995,38,BOL,0.00000081
1995,38,ARG,0.00000033
1995,38,URY,0.00000016
1995,38,CHL,0.00000007
1995,38,BRA,0.00000007
1995,38,Other,0.00000000
1995,39,ARG,0.00000065
1995,39,BRA,0.00000025
1995,39,URY,0.00000016
1995,39,CHL,0.00000008
1995,39,CHN,0.00000003
1995,39,Other,0.00000004
1995,40,BRA,0.00000352
1995,40,ARG,0.00000032
1995,40,URY,0.00000000
1995,40,CHL,0.00000000
1995,41,FRA,0.00001374
1995,41,ITA,0.00000906
1995,41,BRA,0.00000650
1995,41,USA,0.00000610
1995,41,URY,0.00000516
1995,41,Other,0.00002596
1995,42,USA,0.00000184
1995,42,FRA,0.00000077
1995,42,DEU,0.00000024
1995,42,ARG,0.00000017
1995,42,BRA,0.00000008
1995,42,Other,0.00000032
1995,43,USA,0.00000001
1995,43,ITA,0.00000001
1995,44,ARG,0.00003578
1995,44,USA,0.00003003
1995,44,BRA,0.00002440
1995,44,S19,0.00001739
1995,44,ITA,0.00001499
1995,44,Other,0.00001205
1995,46,ARG,0.00000000
1995,46,ZA1,0.00000000
1995,47,BRA,0.00000216
1995,47,ARG,0.00000016
1995,47,ITA,0.00000011
1995,47,URY,0.00000008
1995,48,BRA,0.00000166
1995,48,ARG,0.00000093
1995,48,URY,0.00000083
1995,48,CHL,0.00000014
1995,48,ITA,0.00000012
1995,48,Other,0.00000001
1995,49,BRA,0.00000059
1995,49,ARG,0.00000037
1995,49,CHL,0.00000024
1995,49,GTM,0.00000024
1995,49,URY,0.00000004
1995,49,Other,0.00000008
1995,50,ITA,0.00000150
1995,50,DEU,0.00000147
1995,50,BRA,0.00000088
1995,50,HKG,0.00000028
1995,50,ESP,0.00000028
1995,50,Other,0.00000077
1995,51,USA,0.00000364
1995,51,BRA,0.00000034
1995,51,ITA,0.00000031
1995,51,DEU,0.00000024
1995,51,ARG,0.00000007
1995,51,Other,0.00000003
1995,52,BRA,0.00016418
1995,52,S19,0.00002955
1995,52,CHN,0.00002693
1995,52,ARG,0.00002276
