year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00033187,0.08445097
1995,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00031532,0.02972344
1995,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00023197,0.02348172
1995,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00022145,0.90603456
1995,Plastics and articles thereof,0.00012944,0.08336754
1995,Other,0.00168686,2.35559882
1996,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00033455,0.02898149
1996,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00032985,1.81107091
1996,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00024549,0.07324433
1996,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00019328,0.02557759
1996,Cereals,0.00012401,0.50459681
1996,Other,0.00189888,2.10012965
1997,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00036235,1.89378404
1997,Apparel and clothing accessories; knitted or crocheted,0.00024169,0.01808609
1997,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00022651,0.02109514
1997,Apparel and clothing accessories; not knitted or crocheted,0.00017785,0.01991937
1997,"Aircraft, spacecraft, and parts thereof",0.00017470,0.00021536
1997,Other,0.00220225,2.75928641
1998,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00043947,0.04658904
1998,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00027733,2.33765294
1998,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00026327,0.03143841
1998,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00021889,0.02470440
1998,"Aircraft, spacecraft, and parts thereof",0.00020244,0.00021959
1998,Other,0.00233603,2.39520280
1999,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00035833,0.03561332
1999,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00035446,2.02368017
1999,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00032566,0.02818035
1999,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00026761,0.09534797
1999,Plastics and articles thereof,0.00015604,0.11428484
1999,Other,0.00228128,3.35536930
2000,Apparel and clothing accessories; knitted or crocheted,0.00048019,0.06097710
2000,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00040743,1.43518615
2000,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00040328,0.03873349
2000,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00037519,0.03258061
2000,"Aircraft, spacecraft, and parts thereof",0.00029331,0.00032592
2000,Other,0.00310509,3.42097177
2001,Apparel and clothing accessories; knitted or crocheted,0.00051855,0.06861041
2001,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00042263,0.04250697
2001,"Aircraft, spacecraft, and parts thereof",0.00035846,0.00059004
2001,Cotton,0.00035151,0.07242152
2001,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00033155,1.50634663
2001,Other,0.00373743,3.97967419
2002,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00049287,2.10384190
2002,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00041795,0.04613693
2002,Cotton,0.00040741,0.09242771
2002,Apparel and clothing accessories; knitted or crocheted,0.00040642,0.05159354
2002,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00028501,0.09238533
2002,Other,0.00345441,4.07902503
2003,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00060915,2.17091363
2003,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00050400,0.04557882
2003,Apparel and clothing accessories; knitted or crocheted,0.00034339,0.05261324
2003,Cotton,0.00033779,0.08349347
2003,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00032772,0.09358421
2003,Other,0.00401602,4.14287081
2004,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00071828,2.08781228
2004,Fabrics; knitted or crocheted,0.00048799,0.10016586
2004,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00041590,0.04390934
2004,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00041401,0.04195756
2004,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00035494,0.10012438
2004,Other,0.00412001,4.29759669
2005,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00100208,2.25943863
2005,Fabrics; knitted or crocheted,0.00048688,0.10191191
2005,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00046329,0.04602531
2005,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00041319,0.04296808
2005,Plastics and articles thereof,0.00036344,0.18897482
2005,Other,0.00430112,4.51265186
2006,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00106512,1.95671908
2006,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00056568,0.05449742
2006,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00055904,0.05474277
2006,Fabrics; knitted or crocheted,0.00047419,0.09476772
2006,"Aircraft, spacecraft, and parts thereof",0.00044235,0.00072410
2006,Other,0.00502187,5.01172814
