year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00005479,1.20530335
1995,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00003610,0.00564137
1995,"Ships, boats and floating structures",0.00003076,0.05453115
1995,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00002284,0.00451135
1995,Rubber and articles thereof,0.00001938,0.00868136
1995,Other,0.00021769,0.23494312
1996,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00006298,0.16526150
1996,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00003557,0.00150067
1996,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00003468,0.00511879
1996,"Ships, boats and floating structures",0.00002851,0.01846096
1996,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00002324,0.00599564
1996,Other,0.00021942,0.23563061
1997,"Ships, boats and floating structures",0.00005783,0.03397813
1997,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00004140,0.18807794
1997,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00004046,0.00882891
1997,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00003609,0.00661429
1997,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00003434,0.00588832
1997,Other,0.00024360,0.28547430
1998,"Ships, boats and floating structures",0.00005020,0.04768316
1998,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00004828,0.27207472
1998,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00004258,0.00636305
1998,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00002755,0.00301503
1998,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00002279,0.00703739
1998,Other,0.00023853,0.32108572
1999,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00014998,0.10342177
1999,"Ships, boats and floating structures",0.00003305,0.08835649
1999,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00002679,0.02091460
1999,Wood and articles of wood; wood charcoal,0.00001776,0.01265749
1999,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.00001521,0.07920882
1999,Other,0.00022583,0.25750174
2000,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00008737,0.33203730
2000,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00006893,0.01072440
2000,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00004389,0.01044273
2000,Plastics and articles thereof,0.00003806,0.02614370
2000,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00003642,0.00344107
2000,Other,0.00030950,0.37873689
2001,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00008118,0.57233127
2001,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00006305,0.01328259
2001,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00005764,0.00747666
2001,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00004111,0.01671960
2001,"Ships, boats and floating structures",0.00002973,0.04716986
2001,Other,0.00029076,0.39571557
2002,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00009237,0.46841758
2002,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00005309,0.01160624
2002,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00003603,0.00461142
2002,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00003513,0.01041226
2002,"Ships, boats and floating structures",0.00002709,0.03614949
2002,Other,0.00029186,0.48146204
2003,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00006956,0.36522637
2003,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00005214,0.00959730
