year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Ores, slag and ash",0.00031889,0.49228848
1995,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00028181,0.00549269
1995,Tin; articles thereof,0.00014989,0.03220686
1995,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00014098,1.29383969
1995,Wood and articles of wood; wood charcoal,0.00012198,0.14990345
1995,Other,0.00037935,0.77389326
1996,"Ores, slag and ash",0.00031607,0.51250442
1996,Tin; articles thereof,0.00015617,0.03563863
1996,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00015515,0.00406250
1996,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00015024,1.53112668
1996,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",0.00010011,0.36701758
1996,Other,0.00049983,0.75179471
1997,"Ores, slag and ash",0.00036876,0.52770434
1997,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00023449,0.01081773
1997,"Food industries, residues and wastes thereof; prepared animal fodder",0.00013308,0.48063284
1997,Tin; articles thereof,0.00012773,0.03009343
1997,Wood and articles of wood; wood charcoal,0.00010135,0.12974335
1997,Other,0.00049439,1.00748481
1998,"Ores, slag and ash",0.00029837,0.50009930
1998,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00020955,0.00901763
1998,"Aircraft, spacecraft, and parts thereof",0.00014869,0.00057543
1998,"Food industries, residues and wastes thereof; prepared animal fodder",0.00011508,0.52264994
1998,Tin; articles thereof,0.00009981,0.02708732
1998,Other,0.00060075,2.40402477
1999,"Ores, slag and ash",0.00028994,0.48430481
1999,"Aircraft, spacecraft, and parts thereof",0.00028126,0.00019742
1999,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00017852,0.01482241
1999,"Food industries, residues and wastes thereof; prepared animal fodder",0.00013522,0.50922886
1999,Tin; articles thereof,0.00009511,0.03447297
1999,Other,0.00057418,1.87027746
2000,"Ores, slag and ash",0.00033425,0.53790348
2000,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00019278,1.84278687
2000,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00015455,0.01255443
2000,"Aircraft, spacecraft, and parts thereof",0.00014851,0.00048262
2000,"Food industries, residues and wastes thereof; prepared animal fodder",0.00013159,0.55888220
2000,Other,0.00066487,0.95583657
2001,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00030603,3.19927234
2001,"Ores, slag and ash",0.00022930,0.45300349
2001,"Food industries, residues and wastes thereof; prepared animal fodder",0.00022524,0.81501616
2001,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00015938,0.01905892
2001,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",0.00010464,0.22741838
2001,Other,0.00047437,0.41522463
2002,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00039549,4.29831363
2002,"Ores, slag and ash",0.00022405,0.40162863
2002,"Food industries, residues and wastes thereof; prepared animal fodder",0.00018941,0.98349516
2002,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00016435,0.02374745
2002,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",0.00012012,0.22665922
2002,Other,0.00039907,0.42417215
2003,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00056192,4.81196651
2003,"Food industries, residues and wastes thereof; prepared animal fodder",0.00024175,1.10856267
2003,"Ores, slag and ash",0.00022530,0.36855984
2003,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",0.00014337,0.24337297
2003,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00013981,0.01951097
2003,Other,0.00052986,0.61849917
2004,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00092266,7.31613473
2004,"Food industries, residues and wastes thereof; prepared animal fodder",0.00033796,1.23780838
2004,"Ores, slag and ash",0.00028954,0.36656267
2004,Tin; articles thereof,0.00020701,0.07837046
2004,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",0.00014699,0.24027135
2004,Other,0.00057185,0.70143547
2005,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00144312,9.00987251
2005,"Ores, slag and ash",0.00034233,0.34290999
2005,Tin; articles thereof,0.00021340,0.09332406
2005,"Food industries, residues and wastes thereof; prepared animal fodder",0.00019869,1.03062023
2005,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00016303,0.02188097
2005,Other,0.00064895,0.89838921
2006,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00199071,9.54675824
2006,"Ores, slag and ash",0.00063056,0.43327693
2006,Tin; articles thereof,0.00025761,0.12101086
2006,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00022666,0.02460774
2006,"Food industries, residues and wastes thereof; prepared animal fodder",0.00021432,1.10413736
2006,Other,0.00079547,0.97131408
2007,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00237831,9.79936076
2007,"Ores, slag and ash",0.00101694,0.51930303
2007,Tin; articles thereof,0.00028818,0.12059633
2007,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00023491,0.03526697
2007,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",0.00020875,0.25515988
2007,Other,0.00087235,1.84540808
2008,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00355099,9.87577894
2008,"Ores, slag and ash",0.00143368,0.87802024
2008,Tin; articles thereof,0.00041142,0.13015802
2008,"Food industries, residues and wastes thereof; prepared animal fodder",0.00031685,0.84643569
2008,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes",0.00031572,0.25716415
2008,Other,0.00119002,1.01846525
2009,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00220780,8.01140531
2009,"Ores, slag and ash",0.00146835,0.93333872
2009,"Food industries, residues and wastes thereof; prepared animal fodder",0.00037453,1.07524738
2009,Tin; articles thereof,0.00033129,0.13408926
2009,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00030802,0.06215753
2009,Other,0.00109591,1.45316532
2010,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00278937,9.31113033
2010,"Ores, slag and ash",0.00171419,1.01149356
2010,Tin; articles thereof,0.00048416,0.13101416
2010,"Food industries, residues and wastes thereof; prepared animal fodder",0.00037244,1.09268384
2010,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00034280,0.04840756
2010,Other,0.00135500,1.49901769
2011,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00373808,9.97657600
2011,"Ores, slag and ash",0.00227668,1.10789168
2011,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00065406,0.03435104
2011,Tin; articles thereof,0.00063988,0.15026009
2011,"Food industries, residues and wastes thereof; prepared animal fodder",0.00046769,1.05666165
2011,Other,0.00129209,1.06542900
2012,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00520364,11.46053444
2012,"Ores, slag and ash",0.00188712,1.06233151
2012,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00104973,0.03934957
2012,"Food industries, residues and wastes thereof; prepared animal fodder",0.00056550,1.30046171
2012,Tin; articles thereof,0.00051960,0.14380955
2012,Other,0.00177459,1.57446517
2013,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00692519,14.01467914
2013,"Ores, slag and ash",0.00183371,1.09068609
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00093968,0.04400575
2013,"Food industries, residues and wastes thereof; prepared animal fodder",0.00070143,1.45175036
2013,Tin; articles thereof,0.00059206,0.15248054
2013,Other,0.00199843,2.18862876
2014,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00678149,14.54778966
2014,"Ores, slag and ash",0.00193908,1.03334291
2014,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00167387,0.03260804
2014,"Food industries, residues and wastes thereof; prepared animal fodder",0.00083260,1.64392277
2014,Tin; articles thereof,0.00067337,0.16730608
2014,Other,0.00162145,1.45361520
2015,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00404395,14.04004782
2015,"Ores, slag and ash",0.00157637,0.99308521
2015,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00101529,0.02615143
2015,Tin; articles thereof,0.00057219,0.18064736
2015,"Food industries, residues and wastes thereof; prepared animal fodder",0.00056228,1.55753464
2015,Other,0.00131646,1.36513183
2016,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00230523,12.92340938
2016,"Ores, slag and ash",0.00183214,0.99233577
2016,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00106515,0.03910552
2016,"Food industries, residues and wastes thereof; prepared animal fodder",0.00068640,1.87673536
2016,Tin; articles thereof,0.00058812,0.18995406
2016,Other,0.00118999,1.52283043
2017,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00266369,11.88637719
2017,"Ores, slag and ash",0.00224134,1.03150785
2017,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00133019,0.01528585
2017,Tin; articles thereof,0.00059745,0.18688206
2017,"Food industries, residues and wastes thereof; prepared animal fodder",0.00049694,1.51860336
2017,Other,0.00112673,1.33764373
2018,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00303096,10.93388514
