year,product_chapter,importer,value_trln_USD
1995,10,BEL,0.00000038
1995,10,CAN,0.00000011
1995,10,VCT,0.00000010
1995,10,LCA,0.00000007
1995,10,FRA,0.00000006
1995,10,Other,0.00000013
1995,11,DMA,0.00000033
1995,11,TTO,0.00000004
1995,11,LCA,0.00000002
1995,11,VCT,0.00000002
1995,11,KNA,0.00000001
1995,12,FRA,0.00000002
1995,12,VCT,0.00000000
1995,12,USA,0.00000000
1995,12,GRD,0.00000000
1995,12,TTO,0.00000000
1995,12,Other,0.00000000
1995,14,DEU,0.00000000
1995,15,TTO,0.00000145
1995,15,VCT,0.00000082
1995,15,GRD,0.00000050
1995,15,LCA,0.00000045
1995,15,DMA,0.00000037
1995,15,Other,0.00000018
1995,16,LCA,0.00000029
1995,16,TTO,0.00000021
1995,16,VCT,0.00000018
1995,16,GRD,0.00000010
1995,16,DMA,0.00000008
1995,16,Other,0.00000007
1995,17,GBR,0.00002597
1995,17,USA,0.00000003
1995,17,VCT,0.00000002
1995,17,KNA,0.00000000
1995,17,DMA,0.00000000
1995,18,KNA,0.00000000
1995,19,LCA,0.00000048
1995,19,VCT,0.00000037
1995,19,FRA,0.00000028
1995,19,USA,0.00000015
1995,19,GRD,0.00000008
1995,19,Other,0.00000011
1995,20,LCA,0.00000035
1995,20,TTO,0.00000026
1995,20,VCT,0.00000014
1995,20,GRD,0.00000004
1995,20,DMA,0.00000002
1995,20,Other,0.00000001
1995,21,ZA1,0.00000116
1995,21,VEN,0.00000101
1995,21,BLZ,0.00000097
1995,21,LCA,0.00000062
1995,21,GRD,0.00000037
1995,21,Other,0.00000143
1995,22,GBR,0.00000279
1995,22,CAN,0.00000215
1995,22,USA,0.00000179
1995,22,LCA,0.00000090
1995,22,FRA,0.00000048
1995,22,Other,0.00000208
1995,23,DMA,0.00000039
1995,23,FRA,0.00000027
1995,23,LCA,0.00000000
1995,23,VCT,0.00000000
1995,24,TTO,0.00000020
1995,24,VCT,0.00000001
1995,24,KNA,0.00000001
1995,24,GRD,0.00000000
1995,24,DEU,0.00000000
1995,24,Other,0.00000001
1995,25,TTO,0.00000056
1995,25,LCA,0.00000021
1995,25,SUR,0.00000016
1995,25,VCT,0.00000004
1995,25,GRD,0.00000001
1995,25,Other,0.00000002
