year,product_chapter,importer,value_trln_USD
1995,10,NOR,0.00001076
1995,10,TUN,0.00000787
1995,10,DEU,0.00000711
1995,10,USA,0.00000652
1995,10,MAR,0.00000423
1995,10,Other,0.00002205
1995,11,VEN,0.00001308
1995,11,RUS,0.00000462
1995,11,GBR,0.00000390
1995,11,DEU,0.00000383
1995,11,EST,0.00000338
1995,11,Other,0.00001070
1995,12,NOR,0.00000042
1995,12,RUS,0.00000033
1995,12,GBR,0.00000029
1995,12,EST,0.00000019
1995,12,CHE,0.00000009
1995,12,Other,0.00000033
1995,13,ITA,0.00000018
1995,13,SWE,0.00000013
1995,13,DNK,0.00000003
1995,13,EST,0.00000003
1995,13,BEL,0.00000002
1995,13,Other,0.00000006
1995,14,NOR,0.00000001
1995,14,RUS,0.00000001
1995,14,EST,0.00000000
1995,14,SWE,0.00000000
1995,14,AUT,0.00000000
1995,15,RUS,0.00003346
1995,15,EST,0.00000815
1995,15,GBR,0.00000610
1995,15,DEU,0.00000544
1995,15,SWE,0.00000363
1995,15,Other,0.00001838
1995,16,RUS,0.00001127
1995,16,SWE,0.00000385
1995,16,EST,0.00000129
1995,16,JPN,0.00000090
1995,16,CAN,0.00000075
1995,16,Other,0.00000208
1995,17,RUS,0.00000905
1995,17,DEU,0.00000634
1995,17,SWE,0.00000594
1995,17,JPN,0.00000535
1995,17,NOR,0.00000342
1995,17,Other,0.00002868
1995,18,RUS,0.00002820
1995,18,SWE,0.00002646
1995,18,DNK,0.00001201
1995,18,GBR,0.00000709
1995,18,EST,0.00000517
1995,18,Other,0.00002520
1995,19,GBR,0.00001542
1995,19,RUS,0.00001444
1995,19,SWE,0.00001330
1995,19,EST,0.00000612
1995,19,DEU,0.00000360
1995,19,Other,0.00001574
1995,20,RUS,0.00002250
1995,20,SWE,0.00001444
1995,20,NOR,0.00000892
1995,20,EST,0.00000456
1995,20,IRL,0.00000420
1995,20,Other,0.00002011
1995,21,RUS,0.00003051
1995,21,POL,0.00001659
1995,21,EST,0.00000900
1995,21,SWE,0.00000319
1995,21,NOR,0.00000177
1995,21,Other,0.00000902
1995,22,RUS,0.00003408
1995,22,BRA,0.00002364
1995,22,USA,0.00001558
1995,22,SWE,0.00001433
1995,22,EST,0.00001086
1995,22,Other,0.00003174
1995,23,RUS,0.00000659
1995,23,NOR,0.00000449
1995,23,SWE,0.00000157
1995,23,EST,0.00000117
1995,23,DNK,0.00000086
1995,23,Other,0.00000416
1995,24,SWE,0.00000706
1995,24,JPN,0.00000567
1995,24,GBR,0.00000227
1995,24,EST,0.00000218
1995,24,RUS,0.00000176
1995,24,Other,0.00000477
1995,25,DEU,0.00003294
1995,25,ITA,0.00001552
1995,25,JPN,0.00001432
1995,25,NOR,0.00000994
1995,25,NLD,0.00000686
1995,25,Other,0.00005886
1995,26,RUS,0.00002027
1995,26,GBR,0.00000226
1995,26,SWE,0.00000195
1995,26,BEL,0.00000123
1995,26,NOR,0.00000082
1995,26,Other,0.00000322
1995,27,SWE,0.00028071
1995,27,USA,0.00008776
1995,27,EST,0.00006822
1995,27,GBR,0.00003690
1995,27,RUS,0.00003491
1995,27,Other,0.00020554
1995,28,SWE,0.00005779
1995,28,USA,0.00004395
1995,28,NLD,0.00003476
1995,28,DEU,0.00002674
1995,28,JPN,0.00002195
1995,28,Other,0.00015445
1995,29,GBR,0.00005482
1995,29,NLD,0.00005460
1995,29,USA,0.00004093
1995,29,SWE,0.00003587
1995,29,DEU,0.00002664
1995,29,Other,0.00014070
1995,30,SWE,0.00002765
1995,30,DEU,0.00002491
1995,30,JPN,0.00002215
1995,30,GBR,0.00002117
1995,30,FRA,0.00001733
1995,30,Other,0.00013487
1995,31,CHN,0.00002668
1995,31,KEN,0.00001208
1995,31,NLD,0.00000968
1995,31,MYS,0.00000795
1995,31,GRC,0.00000610
1995,31,Other,0.00004480
1995,32,RUS,0.00004844
1995,32,SWE,0.00003726
1995,32,DEU,0.00002809
1995,32,GBR,0.00002222
1995,32,EST,0.00001637
1995,32,Other,0.00012962
1995,33,RUS,0.00001035
1995,33,EST,0.00000445
1995,33,NOR,0.00000353
1995,33,SWE,0.00000341
1995,33,GBR,0.00000253
1995,33,Other,0.00000989
1995,34,SWE,0.00002552
1995,34,NOR,0.00000518
1995,34,RUS,0.00000455
1995,34,EST,0.00000339
1995,34,FRA,0.00000186
1995,34,Other,0.00000886
1995,35,USA,0.00001501
1995,35,SWE,0.00000980
1995,35,FRA,0.00000846
1995,35,BEL,0.00000805
1995,35,GBR,0.00000743
1995,35,Other,0.00004813
1995,36,USA,0.00000166
1995,36,ITA,0.00000131
1995,36,DEU,0.00000115
1995,36,SWE,0.00000114
1995,36,GRC,0.00000083
1995,36,Other,0.00000410
1995,37,EST,0.00000392
1995,37,SWE,0.00000325
1995,37,LTU,0.00000257
1995,37,GBR,0.00000131
1995,37,USA,0.00000130
1995,37,Other,0.00000587
1995,38,SWE,0.00002981
1995,38,RUS,0.00002607
1995,38,DEU,0.00002546
1995,38,USA,0.00001214
1995,38,GBR,0.00001146
1995,38,Other,0.00009360
1995,39,SWE,0.00022333
1995,39,DEU,0.00011498
1995,39,GBR,0.00007543
1995,39,DNK,0.00007168
1995,39,NOR,0.00005948
1995,39,Other,0.00047808
1995,40,RUS,0.00006436
1995,40,SWE,0.00005678
1995,40,BEL,0.00004763
1995,40,USA,0.00003183
1995,40,NLD,0.00002332
1995,40,Other,0.00019332
1995,41,ITA,0.00000767
1995,41,NOR,0.00000527
1995,41,DEU,0.00000469
1995,41,EST,0.00000455
1995,41,SWE,0.00000424
1995,41,Other,0.00001753
1995,42,SWE,0.00000519
1995,42,RUS,0.00000307
1995,42,EST,0.00000256
1995,42,JPN,0.00000198
1995,42,NOR,0.00000186
1995,42,Other,0.00000671
1995,43,HKG,0.00013212
1995,43,KOR,0.00006612
1995,43,DEU,0.00003235
1995,43,JPN,0.00001712
1995,43,GRC,0.00001528
1995,43,Other,0.00008831
1995,44,DEU,0.00057747
1995,44,GBR,0.00033833
1995,44,NLD,0.00020945
1995,44,DNK,0.00020865
1995,44,FRA,0.00020335
1995,44,Other,0.00125373
1995,45,SWE,0.00000015
1995,45,RUS,0.00000005
1995,45,EST,0.00000004
1995,45,SAU,0.00000002
1995,45,LVA,0.00000001
1995,45,Other,0.00000005
1995,46,USA,0.00000018
1995,46,SWE,0.00000008
1995,46,AUS,0.00000007
1995,46,CHE,0.00000005
1995,46,EST,0.00000004
1995,46,Other,0.00000016
1995,47,DEU,0.00045533
1995,47,GBR,0.00012811
1995,47,FRA,0.00010557
1995,47,ITA,0.00003966
1995,47,NLD,0.00003522
1995,47,Other,0.00024012
1995,48,GBR,0.00148208
1995,48,DEU,0.00140105
1995,48,FRA,0.00085112
1995,48,USA,0.00078138
1995,48,BEL,0.00076244
1995,48,Other,0.00495715
1995,49,RUS,0.00011571
1995,49,SWE,0.00006433
1995,49,NOR,0.00003716
1995,49,DNK,0.00002862
1995,49,GBR,0.00002024
1995,49,Other,0.00004552
1995,50,ITA,0.00000066
1995,50,JPN,0.00000047
1995,50,RUS,0.00000022
1995,50,DEU,0.00000021
1995,50,DNK,0.00000021
1995,50,Other,0.00000069
1995,51,EST,0.00000334
1995,51,DEU,0.00000289
1995,51,DNK,0.00000248
1995,51,RUS,0.00000187
1995,51,CHE,0.00000120
1995,51,Other,0.00000281
1995,52,EST,0.00000918
1995,52,SWE,0.00000283
1995,52,DEU,0.00000150
1995,52,NOR,0.00000118
1995,52,PRT,0.00000111
1995,52,Other,0.00000843
1995,53,SWE,0.00000177
1995,53,EST,0.00000060
1995,53,ITA,0.00000017
1995,53,ESP,0.00000011
1995,53,DEU,0.00000009
1995,53,Other,0.00000022
1995,54,EST,0.00001193
1995,54,SWE,0.00000484
1995,54,ESP,0.00000205
1995,54,RUS,0.00000201
1995,54,GBR,0.00000136
1995,54,Other,0.00001047
1995,55,FRA,0.00001951
1995,55,TUR,0.00001651
1995,55,DEU,0.00001361
1995,55,SWE,0.00000719
1995,55,USA,0.00000655
1995,55,Other,0.00004556
1995,56,ESP,0.00002167
1995,56,DEU,0.00001639
1995,56,ITA,0.00000910
1995,56,FRA,0.00000504
1995,56,POL,0.00000463
1995,56,Other,0.00003222
1995,57,DEU,0.00000182
1995,57,RUS,0.00000123
1995,57,SWE,0.00000068
1995,57,EST,0.00000053
1995,57,BEL,0.00000053
1995,57,Other,0.00000260
1995,58,GBR,0.00001123
1995,58,EST,0.00000497
1995,58,SWE,0.00000265
1995,58,RUS,0.00000104
1995,58,NOR,0.00000092
1995,58,Other,0.00000339
1995,59,SWE,0.00002110
1995,59,RUS,0.00000913
1995,59,EST,0.00000553
1995,59,DEU,0.00000511
1995,59,USA,0.00000485
1995,59,Other,0.00002586
1995,60,SWE,0.00000685
1995,60,EST,0.00000533
1995,60,RUS,0.00000246
1995,60,FRA,0.00000213
1995,60,DNK,0.00000135
1995,60,Other,0.00000597
1995,61,DEU,0.00002283
1995,61,SWE,0.00001057
1995,61,EST,0.00000863
1995,61,GBR,0.00000755
1995,61,NOR,0.00000652
1995,61,Other,0.00002115
1995,62,SWE,0.00002916
1995,62,EST,0.00002516
1995,62,RUS,0.00002274
1995,62,NOR,0.00001510
1995,62,DEU,0.00000947
1995,62,Other,0.00004097
1995,63,SWE,0.00000631
1995,63,EST,0.00000583
1995,63,NOR,0.00000343
1995,63,RUS,0.00000324
1995,63,DEU,0.00000294
1995,63,Other,0.00001028
1995,64,RUS,0.00002868
1995,64,SWE,0.00002531
1995,64,NOR,0.00001350
1995,64,EST,0.00001275
1995,64,KOR,0.00000117
1995,64,Other,0.00001125
1995,65,RUS,0.00000082
1995,65,NOR,0.00000060
1995,65,EST,0.00000055
1995,65,DEU,0.00000045
1995,65,SWE,0.00000042
1995,65,Other,0.00000117
1995,66,EST,0.00000009
1995,66,GBR,0.00000007
1995,66,RUS,0.00000005
1995,66,LTU,0.00000003
1995,66,LVA,0.00000001
1995,66,Other,0.00000003
1995,67,EST,0.00000025
1995,67,SWE,0.00000013
1995,67,NOR,0.00000012
1995,67,RUS,0.00000009
1995,67,GRC,0.00000004
1995,67,Other,0.00000011
1995,68,DEU,0.00002918
1995,68,USA,0.00002402
1995,68,SWE,0.00002248
1995,68,RUS,0.00001526
1995,68,GBR,0.00001184
1995,68,Other,0.00006043
1995,69,SWE,0.00001672
1995,69,DEU,0.00000977
1995,69,RUS,0.00000659
1995,69,NOR,0.00000410
1995,69,EST,0.00000252
1995,69,Other,0.00001094
1995,70,DEU,0.00003586
1995,70,BEL,0.00002392
1995,70,RUS,0.00002131
1995,70,SWE,0.00002064
1995,70,GBR,0.00001512
1995,70,Other,0.00010775
1995,71,DEU,0.00001941
1995,71,SWE,0.00001339
1995,71,CHE,0.00000929
1995,71,NOR,0.00000811
1995,71,THA,0.00000577
1995,71,Other,0.00001626
1995,72,NLD,0.00036909
1995,72,SWE,0.00029131
1995,72,DEU,0.00025846
1995,72,DNK,0.00015073
1995,72,GBR,0.00011256
1995,72,Other,0.00094859
1995,73,SWE,0.00018936
1995,73,DEU,0.00012396
1995,73,RUS,0.00008505
1995,73,NOR,0.00007262
1995,73,GBR,0.00005055
1995,73,Other,0.00027013
1995,74,SWE,0.00009219
1995,74,DEU,0.00008518
1995,74,GBR,0.00008000
1995,74,ITA,0.00007739
1995,74,FRA,0.00003394
1995,74,Other,0.00020527
1995,75,USA,0.00001903
1995,75,SWE,0.00001615
1995,75,ITA,0.00001391
1995,75,DEU,0.00001015
1995,75,GBR,0.00001011
1995,75,Other,0.00004934
1995,76,SWE,0.00003813
1995,76,RUS,0.00002286
1995,76,DEU,0.00001791
1995,76,JPN,0.00001719
1995,76,GBR,0.00001303
1995,76,Other,0.00010126
1995,78,SWE,0.00000173
1995,78,GBR,0.00000015
1995,78,DNK,0.00000011
1995,78,BEL,0.00000006
1995,78,EST,0.00000005
1995,78,Other,0.00000005
1995,79,GBR,0.00005186
1995,79,NLD,0.00003460
1995,79,DEU,0.00002307
1995,79,USA,0.00001651
1995,79,SWE,0.00001559
1995,79,Other,0.00002737
1995,80,RUS,0.00001491
1995,80,EST,0.00000190
1995,80,SWE,0.00000104
1995,80,GBR,0.00000043
1995,80,FRA,0.00000013
1995,80,Other,0.00000035
1995,81,USA,0.00004289
1995,81,SWE,0.00003040
1995,81,JPN,0.00001395
1995,81,DEU,0.00001013
1995,81,BEL,0.00000579
1995,81,Other,0.00002792
1995,82,USA,0.00001050
1995,82,SWE,0.00000915
1995,82,DEU,0.00000857
1995,82,RUS,0.00000570
1995,82,NOR,0.00000523
1995,82,Other,0.00003468
1995,83,SWE,0.00001099
1995,83,RUS,0.00000924
1995,83,EST,0.00000715
1995,83,GBR,0.00000654
1995,83,NOR,0.00000548
1995,83,Other,0.00003195
1995,84,SWE,0.00070779
1995,84,USA,0.00056034
1995,84,GBR,0.00040388
1995,84,DEU,0.00039863
1995,84,CHN,0.00032190
1995,84,Other,0.00343739
1995,85,SWE,0.00053882
1995,85,DEU,0.00048107
1995,85,JPN,0.00032754
1995,85,ITA,0.00027473
1995,85,GBR,0.00023880
1995,85,Other,0.00340688
1995,86,SWE,0.00003021
1995,86,GBR,0.00001032
1995,86,RUS,0.00000254
1995,86,NOR,0.00000159
1995,86,IND,0.00000039
1995,86,Other,0.00000216
1995,87,SWE,0.00022730
1995,87,DEU,0.00015009
1995,87,RUS,0.00014722
1995,87,NOR,0.00009876
1995,87,GBR,0.00005871
1995,87,Other,0.00046673
1995,88,FRA,0.00004517
1995,88,SWE,0.00001484
1995,88,USA,0.00001177
1995,88,IDN,0.00000885
1995,88,SAU,0.00000520
1995,88,Other,0.00000937
1995,89,USA,0.00034536
1995,89,BHS,0.00022824
1995,89,ARE,0.00019047
1995,89,DEU,0.00019017
1995,89,PAN,0.00015025
1995,89,Other,0.00012407
1995,90,USA,0.00011196
1995,90,SWE,0.00007624
1995,90,GBR,0.00005831
1995,90,DEU,0.00005831
1995,90,RUS,0.00005065
1995,90,Other,0.00041443
1995,91,SWE,0.00000228
1995,91,EST,0.00000137
1995,91,CHE,0.00000127
1995,91,RUS,0.00000086
1995,91,HKG,0.00000023
1995,91,Other,0.00000122
1995,92,USA,0.00000059
1995,92,EST,0.00000022
1995,92,DNK,0.00000013
1995,92,CHE,0.00000012
1995,92,CAN,0.00000009
1995,92,Other,0.00000049
1995,93,USA,0.00000390
1995,93,SWE,0.00000243
1995,93,AUT,0.00000177
1995,93,DEU,0.00000150
