year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Ships, boats and floating structures",0.00001519,0.00600399
1995,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000398,0.00025856
1995,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000347,0.00041340
1995,"Beverages, spirits and vinegar",0.00000246,0.00177457
1995,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000238,0.00031032
1995,Other,0.00001444,0.01570794
1996,"Ships, boats and floating structures",0.00001971,0.64393323
1996,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000518,0.00026176
1996,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000505,0.00080677
1996,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000443,0.02115699
1996,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000381,0.00047304
1996,Other,0.00001612,0.00504975
1997,"Ships, boats and floating structures",0.00001590,0.00213460
1997,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000624,0.00129298
1997,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000464,0.00050988
1997,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000433,0.02074714
1997,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000310,0.00118622
1997,Other,0.00001616,0.00736951
1998,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00001311,0.00127995
1998,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000598,0.00038440
1998,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000549,0.00080753
1998,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000499,0.00059826
1998,"Ships, boats and floating structures",0.00000498,0.00006279
1998,Other,0.00002917,0.05221132
1999,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000603,0.03290462
1999,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000517,0.00012915
1999,"Ships, boats and floating structures",0.00000487,0.00182669
1999,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000337,0.00027332
1999,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000324,0.00007335
1999,Other,0.00001717,0.01192747
2000,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00002703,0.09996692
2000,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000374,0.01214683
2000,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000360,0.00074579
2000,"Ships, boats and floating structures",0.00000326,0.00132132
2000,Miscellaneous edible preparations,0.00000270,0.00113640
2000,Other,0.00001786,0.01159888
2001,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00001782,0.07269558
2001,"Ships, boats and floating structures",0.00000771,0.00061850
2001,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000611,0.00078896
2001,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000298,0.00038619
2001,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000275,0.00027463
2001,Other,0.00001797,0.00943037
2002,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00001198,0.04965789
2002,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000563,0.00033687
2002,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000397,0.00038212
2002,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000322,0.00031445
2002,Miscellaneous edible preparations,0.00000295,0.00048571
2002,Other,0.00001400,0.00567437
2003,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00001552,0.00108507
