year,product_chapter,imports_trln_USD,exports_trln_USD
1995,10,0.00049325,0.00000615
1995,11,0.00006685,0.00000305
1995,12,0.00007417,0.00004887
1995,13,0.00001140,0.00005777
1995,14,0.00000140,0.00000353
1995,15,0.00004288,0.00084806
1995,16,0.00002846,0.00019438
1995,17,0.00011890,0.00009641
1995,18,0.00005964,0.00002083
1995,19,0.00008080,0.00002416
1995,20,0.00012785,0.00028212
1995,21,0.00005411,0.00002994
1995,22,0.00008654,0.00001469
1995,23,0.00026862,0.00010555
1995,24,0.00091164,0.00005645
1995,25,0.00009849,0.00002448
1995,26,0.00042216,0.00046634
1995,27,0.00043718,0.00024139
1995,28,0.00019353,0.00001466
1995,29,0.00049455,0.00003121
1995,30,0.00022425,0.00040618
1995,31,0.00015185,0.00002974
1995,32,0.00014481,0.00000634
1995,33,0.00011607,0.00000883
1995,34,0.00005674,0.00001155
1995,35,0.00003420,0.00000230
1995,36,0.00000460,0.00000401
1995,37,0.00007943,0.00000624
1995,38,0.00020051,0.00005071
1995,39,0.00088459,0.00016985
1995,40,0.00057436,0.00006289
1995,41,0.00010349,0.00001189
1995,42,0.00002426,0.00028025
1995,43,0.00000072,0.00000039
1995,44,0.00014901,0.00017266
1995,45,0.00000108,0.00000008
1995,46,0.00000136,0.00013235
1995,47,0.00011722,0.00003492
1995,48,0.00033350,0.00006248
1995,49,0.00006492,0.00000809
1995,50,0.00000532,0.00000815
1995,51,0.00004075,0.00000257
1995,52,0.00040141,0.00001381
1995,53,0.00001828,0.00003478
1995,54,0.00015690,0.00001714
1995,55,0.00023402,0.00003813
1995,56,0.00002908,0.00002773
1995,57,0.00000610,0.00000432
1995,58,0.00006571,0.00000839
1995,59,0.00005665,0.00000077
1995,60,0.00012072,0.00001912
1995,61,0.00004535,0.00085722
1995,62,0.00006923,0.00135105
1995,63,0.00004953,0.00007905
1995,64,0.00006871,0.00024799
1995,65,0.00000973,0.00007357
1995,66,0.00000737,0.00000075
1995,67,0.00000578,0.00001742
1995,68,0.00004411,0.00002107
1995,69,0.00016091,0.00008343
1995,70,0.00007596,0.00007679
1995,71,0.00008857,0.00018438
