year,product_chapter,importer,value_trln_USD
1995,10,IDN,0.00000233
1995,10,USA,0.00000162
1995,10,JPN,0.00000089
1995,10,GBR,0.00000028
1995,10,FRA,0.00000016
1995,10,Other,0.00000087
1995,11,BEL,0.00000107
1995,11,KOR,0.00000055
1995,11,ITA,0.00000051
1995,11,JPN,0.00000034
1995,11,SAU,0.00000009
1995,11,Other,0.00000050
1995,12,KOR,0.00000805
1995,12,DEU,0.00000738
1995,12,IRL,0.00000725
1995,12,FRA,0.00000577
1995,12,USA,0.00000480
1995,12,Other,0.00001562
1995,13,GBR,0.00001393
1995,13,USA,0.00001161
1995,13,FRA,0.00000778
1995,13,DEU,0.00000498
1995,13,AUS,0.00000373
1995,13,Other,0.00001573
1995,14,USA,0.00000126
1995,14,JPN,0.00000107
1995,14,MYS,0.00000035
1995,14,CAN,0.00000014
1995,14,CHN,0.00000014
1995,14,Other,0.00000057
1995,15,USA,0.00033633
1995,15,DEU,0.00012847
1995,15,NLD,0.00008680
1995,15,BEL,0.00004430
1995,15,JPN,0.00003211
1995,15,Other,0.00022004
1995,16,USA,0.00005732
1995,16,JPN,0.00003918
1995,16,DEU,0.00003188
1995,16,GBR,0.00001659
1995,16,CAN,0.00001562
1995,16,Other,0.00003379
1995,17,USA,0.00007486
1995,17,JPN,0.00000982
1995,17,HKG,0.00000437
1995,17,MYS,0.00000192
1995,17,IDN,0.00000182
1995,17,Other,0.00000361
1995,18,USA,0.00000558
1995,18,KOR,0.00000341
1995,18,AUS,0.00000300
1995,18,NZL,0.00000275
1995,18,NLD,0.00000185
1995,18,Other,0.00000424
1995,19,USA,0.00000667
1995,19,MYS,0.00000666
1995,19,THA,0.00000194
1995,19,JPN,0.00000189
1995,19,SGP,0.00000142
1995,19,Other,0.00000558
1995,20,USA,0.00014671
1995,20,JPN,0.00002385
1995,20,KOR,0.00002002
1995,20,HKG,0.00001328
1995,20,NLD,0.00001153
1995,20,Other,0.00006673
1995,21,JPN,0.00000753
1995,21,USA,0.00000668
1995,21,SGP,0.00000487
1995,21,HKG,0.00000289
1995,21,MYS,0.00000176
1995,21,Other,0.00000621
1995,22,HKG,0.00000737
1995,22,JPN,0.00000215
1995,22,USA,0.00000135
1995,22,SAU,0.00000107
1995,22,MYS,0.00000089
1995,22,Other,0.00000186
1995,23,NLD,0.00003362
1995,23,KOR,0.00002788
1995,23,ITA,0.00001230
1995,23,JPN,0.00001090
1995,23,DEU,0.00000607
1995,23,Other,0.00001479
1995,24,HKG,0.00002062
1995,24,FRA,0.00000756
1995,24,EGY,0.00000551
1995,24,DEU,0.00000376
1995,24,USA,0.00000374
1995,24,Other,0.00001526
1995,25,JPN,0.00001616
1995,25,KOR,0.00000241
1995,25,MYS,0.00000206
1995,25,HKG,0.00000107
1995,25,CHN,0.00000077
1995,25,Other,0.00000202
1995,26,JPN,0.00042771
1995,26,CHN,0.00002731
1995,26,USA,0.00000278
1995,26,SGP,0.00000188
1995,26,BRA,0.00000132
1995,26,Other,0.00000534
1995,27,CHN,0.00011451
1995,27,JPN,0.00007660
1995,27,SGP,0.00001622
1995,27,HKG,0.00001373
1995,27,KOR,0.00000727
1995,27,Other,0.00001306
1995,28,AUS,0.00000427
1995,28,JPN,0.00000226
1995,28,USA,0.00000200
1995,28,FRA,0.00000125
1995,28,SGP,0.00000114
1995,28,Other,0.00000375
1995,29,GBR,0.00000417
1995,29,KOR,0.00000371
1995,29,JPN,0.00000360
1995,29,IDN,0.00000347
1995,29,USA,0.00000347
1995,29,Other,0.00001279
1995,30,JPN,0.00024889
1995,30,USA,0.00007167
1995,30,HKG,0.00003529
1995,30,KOR,0.00001655
1995,30,THA,0.00000700
1995,30,Other,0.00002678
1995,31,THA,0.00002062
1995,31,IDN,0.00000886
1995,31,JPN,0.00000010
1995,31,MYS,0.00000006
1995,31,AUS,0.00000006
1995,31,Other,0.00000004
1995,32,HKG,0.00000176
1995,32,KOR,0.00000165
1995,32,JPN,0.00000126
1995,32,CHN,0.00000054
1995,32,SGP,0.00000026
1995,32,Other,0.00000089
1995,33,MYS,0.00000262
1995,33,HKG,0.00000139
1995,33,SAU,0.00000112
1995,33,THA,0.00000096
1995,33,AUS,0.00000064
1995,33,Other,0.00000210
1995,34,HKG,0.00000279
1995,34,JPN,0.00000244
1995,34,USA,0.00000121
1995,34,SGP,0.00000087
1995,34,CHN,0.00000077
1995,34,Other,0.00000347
1995,35,HKG,0.00000188
1995,35,CHN,0.00000010
1995,35,MYS,0.00000008
1995,35,SGP,0.00000007
1995,35,IDN,0.00000005
1995,35,Other,0.00000011
1995,36,IDN,0.00000090
1995,36,THA,0.00000069
1995,36,HKG,0.00000067
1995,36,CAN,0.00000049
1995,36,AUS,0.00000044
1995,36,Other,0.00000081
1995,37,USA,0.00000588
1995,37,HKG,0.00000021
1995,37,JPN,0.00000005
1995,37,DEU,0.00000003
1995,37,FRA,0.00000003
1995,37,Other,0.00000005
1995,38,JPN,0.00001760
1995,38,USA,0.00001100
1995,38,AUS,0.00000436
1995,38,THA,0.00000335
