year,product_chapter,value_trln_USD,quantity_mln_metric_tons
2000,Sugars and sugar confectionery,0.00017687,0.43937542
2000,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00013116,0.01162275
2000,Miscellaneous edible preparations,0.00011315,0.03352429
2000,Apparel and clothing accessories; knitted or crocheted,0.00010552,0.00449113
2000,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00008685,0.01015305
2000,Other,0.00038358,0.59738723
2001,Sugars and sugar confectionery,0.00021365,0.74214025
2001,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00020277,0.01050169
2001,Apparel and clothing accessories; knitted or crocheted,0.00013294,0.00638904
2001,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,0.00007751,0.06204611
2001,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00004610,0.02772987
2001,Other,0.00030659,0.54058697
2002,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00059928,0.04298758
2002,Apparel and clothing accessories; knitted or crocheted,0.00019244,0.01221260
2002,Sugars and sugar confectionery,0.00013484,1.37097425
2002,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,0.00009191,0.16341622
2002,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00005835,0.00858237
2002,Other,0.00041003,0.75134177
2003,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00062830,0.03485814
2003,Apparel and clothing accessories; knitted or crocheted,0.00047880,0.02641279
2003,Sugars and sugar confectionery,0.00024953,0.96912653
2003,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,0.00014778,0.31137411
2003,Apparel and clothing accessories; not knitted or crocheted,0.00011398,0.01019527
2003,Other,0.00051263,0.91258058
2004,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00061780,0.02668228
2004,Apparel and clothing accessories; knitted or crocheted,0.00028728,0.01741002
2004,Sugars and sugar confectionery,0.00020248,0.39939634
2004,Apparel and clothing accessories; not knitted or crocheted,0.00014221,0.00947961
2004,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00012691,0.13496087
2004,Other,0.00060689,0.83743498
2005,Sugars and sugar confectionery,0.00020133,0.38756798
2005,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00017652,0.01331387
2005,Apparel and clothing accessories; knitted or crocheted,0.00015764,0.00963029
2005,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00013289,0.01187939
2005,Apparel and clothing accessories; not knitted or crocheted,0.00012408,0.00838808
2005,Other,0.00075553,1.70480153
