year,product_chapter,imports_trln_USD,exports_trln_USD
1995,10,0.00005766,0.00000134
1995,11,0.00000899,0.00000059
1995,12,0.00002914,0.00000129
1995,13,0.00000104,0.00000002
1995,14,0.00000012,0.00000001
1995,15,0.00001443,0.00000796
1995,16,0.00000732,0.00000185
1995,17,0.00001226,0.00005054
1995,18,0.00000267,0.00000634
1995,19,0.00000741,0.00001589
1995,20,0.00002211,0.00000649
1995,21,0.00001395,0.00000798
1995,22,0.00000651,0.00010038
1995,23,0.00001400,0.00001207
1995,24,0.00000278,0.00000106
1995,25,0.00001419,0.00001996
1995,26,0.00006813,0.00000023
1995,27,0.00011568,0.00105244
1995,28,0.00001410,0.00037800
1995,29,0.00002425,0.00022038
1995,30,0.00003338,0.00005696
1995,31,0.00000236,0.00010942
1995,32,0.00001353,0.00000320
1995,33,0.00002762,0.00000601
1995,34,0.00001147,0.00001419
1995,35,0.00000311,0.00000057
1995,36,0.00000144,0.00000065
1995,37,0.00000295,0.00000013
1995,38,0.00005021,0.00000457
1995,39,0.00007688,0.00001414
1995,40,0.00005794,0.00001041
1995,41,0.00000060,0.00000004
1995,42,0.00000161,0.00000019
1995,43,0.00000004,
1995,44,0.00001974,0.00001021
1995,45,0.00000024,
1995,46,0.00000005,0.00000000
1995,47,0.00000493,0.00000228
1995,48,0.00006862,0.00003592
1995,49,0.00001204,0.00000270
1995,50,0.00000011,0.00000001
1995,51,0.00000014,0.00000009
1995,52,0.00000918,0.00000129
1995,53,0.00000047,0.00000000
1995,54,0.00000694,0.00000019
1995,55,0.00002205,0.00000366
1995,56,0.00000529,0.00000057
1995,57,0.00000166,0.00000006
1995,58,0.00000500,0.00000071
1995,59,0.00000177,0.00000003
1995,60,0.00000618,0.00000115
1995,61,0.00000210,0.00000617
1995,62,0.00000449,0.00000931
1995,63,0.00000429,0.00000126
1995,64,0.00001063,0.00000056
1995,65,0.00000065,0.00000157
1995,66,0.00000029,0.00000001
1995,67,0.00000015,
1995,68,0.00001222,0.00000208
1995,69,0.00001025,0.00000064
1995,70,0.00002045,0.00001677
1995,71,0.00001347,0.00000436
1995,72,0.00006137,0.00024668
1995,73,0.00009285,0.00001081
1995,74,0.00000926,0.00000499
1995,75,0.00000006,0.00000073
1995,76,0.00001169,0.00000276
1995,78,0.00000181,0.00000007
1995,79,0.00000047,0.00000001
1995,80,0.00000526,0.00000086
1995,81,0.00000104,0.00000009
1995,82,0.00001198,0.00000078
1995,83,0.00000794,0.00000143
1995,84,0.00042712,0.00002912
1995,85,0.00011976,0.00001273
1995,86,0.00000033,0.00000000
1995,87,0.00008154,0.00000277
1995,88,0.00000734,0.00001969
1995,89,0.00003762,0.00000168
1995,90,0.00003885,0.00001701
1995,91,0.00000192,0.00000075
1995,92,0.00000039,0.00000034
1995,93,0.00000066,0.00000000
1995,94,0.00000918,0.00000738
1995,95,0.00000363,0.00000014
1995,96,0.00000382,0.00000078
1995,97,0.00000027,0.00000051
1996,10,0.00005967,0.00000285
1996,11,0.00001368,0.00000104
1996,12,0.00003409,0.00000730
1996,13,0.00000106,0.00000002
1996,14,0.00000014,0.00000001
1996,15,0.00001463,0.00000911
1996,16,0.00000690,0.00000271
1996,17,0.00001934,0.00005019
1996,18,0.00000387,0.00000831
1996,19,0.00001268,0.00002918
1996,20,0.00002441,0.00000856
1996,21,0.00001982,0.00001124
1996,22,0.00001571,0.00011183
1996,23,0.00001200,0.00001819
1996,24,0.00000520,0.00000232
1996,25,0.00001669,0.00002147
1996,26,0.00005973,0.00000019
1996,27,0.00043711,0.00107246
1996,28,0.00002553,0.00038926
1996,29,0.00002200,0.00016757
1996,30,0.00003861,0.00005526
1996,31,0.00000314,0.00011538
1996,32,0.00001475,0.00000748
1996,33,0.00001446,0.00000547
1996,34,0.00001058,0.00001666
1996,35,0.00000289,0.00000062
1996,36,0.00000149,0.00000083
1996,37,0.00000522,0.00000012
1996,38,0.00007580,0.00000732
1996,39,0.00010574,0.00001939
1996,40,0.00008984,0.00000946
1996,41,0.00000077,0.00000001
1996,42,0.00000161,0.00000025
1996,43,0.00000010,
1996,44,0.00003387,0.00001345
1996,45,0.00000008,
1996,46,0.00000016,0.00000001
1996,47,0.00000421,0.00000162
1996,48,0.00009005,0.00003997
1996,49,0.00001482,0.00000354
1996,50,0.00000009,0.00000000
1996,51,0.00000033,0.00000002
1996,52,0.00001005,0.00000158
1996,53,0.00000055,0.00000001
1996,54,0.00000795,0.00000011
1996,55,0.00002869,0.00000462
1996,56,0.00000546,0.00000134
1996,57,0.00000251,0.00000006
1996,58,0.00000686,0.00000080
1996,59,0.00000357,0.00000008
1996,60,0.00001108,0.00000102
1996,61,0.00000237,0.00000551
1996,62,0.00000559,0.00000821
1996,63,0.00000419,0.00000141
1996,64,0.00001415,0.00000083
1996,65,0.00000063,0.00000127
1996,66,0.00000026,0.00000002
1996,67,0.00000052,0.00000000
1996,68,0.00000711,0.00000291
1996,69,0.00002344,0.00000168
1996,70,0.00002119,0.00001287
1996,71,0.00001297,0.00000174
1996,72,0.00006811,0.00035493
1996,73,0.00008452,0.00001530
1996,74,0.00000904,0.00001068
1996,75,0.00000013,0.00000006
1996,76,0.00002320,0.00000431
1996,78,0.00000095,0.00000009
1996,79,0.00000033,0.00000001
1996,80,0.00000749,0.00000072
1996,81,0.00000179,0.00000049
1996,82,0.00001130,0.00000069
1996,83,0.00001037,0.00000141
1996,84,0.00037648,0.00006637
1996,85,0.00011564,0.00001699
1996,86,0.00000138,0.00000007
1996,87,0.00013123,0.00000545
1996,88,0.00008773,0.00001151
1996,89,0.00003880,0.00004097
1996,90,0.00004657,0.00001552
1996,91,0.00000164,0.00000107
1996,92,0.00000038,0.00000045
1996,93,0.00000066,0.00000001
1996,94,0.00001156,0.00000767
1996,95,0.00000551,0.00000031
1996,96,0.00000478,0.00000112
1996,97,0.00000005,0.00000017
1997,10,0.00006137,0.00000263
1997,11,0.00001222,0.00000222
1997,12,0.00003041,0.00000373
1997,13,0.00000125,0.00000071
1997,14,0.00000016,0.00000001
1997,15,0.00002006,0.00001146
1997,16,0.00000602,0.00000325
1997,17,0.00001778,0.00005039
1997,18,0.00000427,0.00000979
1997,19,0.00001263,0.00003556
1997,20,0.00002996,0.00001087
1997,21,0.00002136,0.00001326
1997,22,0.00001651,0.00016217
1997,23,0.00002430,0.00001275
1997,24,0.00001453,0.00000441
1997,25,0.00001749,0.00002646
1997,26,0.00005253,0.00000003
1997,27,0.00036833,0.00114685
