year,product_chapter,importer,value_trln_USD
1995,10,BEL,0.00000075
1995,10,KNA,0.00000004
1995,11,KNA,0.00000016
1995,15,BRA,0.00000003
1995,17,BRA,0.00000015
1995,18,BRA,0.00000033
1995,19,USA,0.00000000
1995,20,GBR,0.00000047
1995,20,ROU,0.00000011
1995,21,DMA,0.00000001
1995,21,BRA,0.00000001
1995,21,KNA,0.00000001
1995,21,LCA,0.00000000
1995,21,VCT,0.00000000
1995,22,USA,0.00000008
1995,22,CAF,0.00000002
1995,22,HRV,0.00000002
1995,22,JPN,0.00000001
1995,22,KNA,0.00000000
1995,23,HRV,0.00000003
1995,25,BRA,0.00000243
1995,25,USA,0.00000008
1995,25,CAN,0.00000000
1995,27,USA,0.00000232
1995,27,BRA,0.00000066
1995,27,LTU,0.00000049
1995,27,TGO,0.00000002
1995,27,KNA,0.00000000
1995,28,BRA,0.00000002
1995,29,BRA,0.00000559
1995,29,USA,0.00000110
1995,29,CIV,0.00000013
1995,29,ROU,0.00000002
1995,30,USA,0.00000099
1995,30,CIV,0.00000007
1995,30,CAF,0.00000003
1995,30,BRA,0.00000002
1995,30,FRA,0.00000001
1995,30,Other,0.00000001
1995,31,BRA,0.00001351
1995,32,BMU,0.00000001
1995,32,BRA,0.00000001
1995,32,KNA,0.00000000
1995,32,MEX,0.00000000
1995,33,BRA,0.00000010
1995,33,USA,0.00000000
1995,34,CAF,0.00000001
1995,34,KNA,0.00000000
1995,35,BRA,0.00000000
1995,37,AUT,0.00000007
1995,37,USA,0.00000005
1995,37,FRA,0.00000000
1995,38,BRA,0.00000014
1995,38,KNA,0.00000000
1995,39,USA,0.00000018
1995,39,BRA,0.00000009
1995,39,GBR,0.00000004
1995,39,SDN,0.00000001
1995,39,HRV,0.00000001
1995,39,Other,0.00000000
1995,40,BRA,0.00000097
1995,40,TGO,0.00000000
1995,42,CAF,0.00000001
1995,42,USA,0.00000000
1995,42,BRA,0.00000000
1995,44,USA,0.00000011
1995,44,KNA,0.00000001
1995,44,BRA,0.00000000
1995,44,GRD,0.00000000
1995,45,USA,0.00000000
1995,47,BRA,0.00000028
1995,48,BRA,0.00000021
1995,48,UGA,0.00000003
1995,48,CRI,0.00000002
1995,48,MEX,0.00000001
1995,48,ZA1,0.00000001
1995,48,Other,0.00000001
1995,49,COL,0.00000000
1995,49,USA,0.00000000
1995,49,GBR,0.00000000
1995,49,KNA,0.00000000
1995,49,TTO,0.00000000
1995,49,Other,0.00000000
1995,52,BRA,0.00000041
1995,52,ROU,0.00000010
1995,52,CAF,0.00000008
1995,54,SVN,0.00000002
1995,55,BRA,0.00000019
1995,55,IRL,0.00000002
1995,56,BRA,0.00000001
1995,58,BRA,0.00000011
1995,61,USA,0.00000001
1995,61,DEU,0.00000000
1995,61,BRA,0.00000000
1995,61,SVN,0.00000000
1995,62,USA,0.00000001
1995,62,CHE,0.00000000
1995,62,VCT,0.00000000
1995,62,BRA,0.00000000
1995,62,SVN,0.00000000
1995,63,TGO,0.00000009
1995,63,CAF,0.00000006
1995,63,BRA,0.00000002
1995,63,SVN,0.00000001
1995,63,CRI,0.00000000
1995,64,USA,0.00000006
1995,64,NLD,0.00000000
1995,68,BRA,0.00000003
1995,68,UGA,0.00000001
1995,69,BRA,0.00000001
1995,69,KNA,0.00000000
1995,69,USA,0.00000000
1995,69,GBR,0.00000000
1995,70,MEX,0.00000056
1995,70,BRA,0.00000003
1995,70,SVN,0.00000002
1995,70,SDN,0.00000001
1995,70,KNA,0.00000000
1995,70,Other,0.00000001
1995,71,BEL,0.00002403
1995,71,CHE,0.00000462
1995,71,USA,0.00000003
1995,71,AUT,0.00000003
1995,71,BRA,0.00000000
1995,72,MEX,0.00000008
1995,72,USA,0.00000000
1995,73,BRA,0.00000002
1995,73,SDN,0.00000000
1995,73,HRV,0.00000000
1995,73,USA,0.00000000
1995,73,DMA,0.00000000
1995,76,USA,0.00000002
1995,76,BRA,0.00000001
1995,76,KNA,0.00000000
1995,80,BEL,0.00000172
1995,80,USA,0.00000007
1995,82,BRA,0.00000000
1995,82,ZA1,0.00000000
1995,83,BRA,0.00000000
1995,84,BRA,0.00000243
1995,84,NLD,0.00000060
1995,84,ZA1,0.00000031
1995,84,POL,0.00000006
1995,84,CAN,0.00000004
1995,84,Other,0.00000011
1995,85,LTU,0.00000486
1995,85,ESP,0.00000241
1995,85,GBR,0.00000047
1995,85,BRA,0.00000025
1995,85,DEU,0.00000015
1995,85,Other,0.00000016
1995,86,ZA1,0.00000002
1995,87,BRA,0.00000028
1995,87,CAF,0.00000011
1995,87,KNA,0.00000004
1995,87,UGA,0.00000002
1995,87,EST,0.00000001
1995,87,Other,0.00000003
1995,88,BRA,0.00000063
1995,88,COL,0.00000002
1995,89,FRA,0.00001067
1995,89,ESP,0.00000872
1995,89,MEX,0.00000039
1995,89,GBR,0.00000031
1995,89,IRL,0.00000011
1995,89,Other,0.00000000
1995,90,BRA,0.00000027
1995,90,USA,0.00000007
1995,90,GBR,0.00000006
1995,90,DNK,0.00000003
1995,90,MEX,0.00000002
1995,90,Other,0.00000007
1995,91,CHE,0.00000001
1995,91,BRA,0.00000001
1995,91,HRV,0.00000000
1995,94,BRA,0.00000038
1995,94,KNA,0.00000001
1995,94,GBR,0.00000000
1995,94,ZA1,0.00000000
1995,95,BRA,0.00000014
1995,95,CZE,0.00000002
1995,95,KNA,0.00000000
1995,95,DNK,0.00000000
1995,95,TGO,0.00000000
1995,96,MEX,0.00000001
1995,96,BRA,0.00000001
1995,96,SDN,0.00000001
1995,96,GBR,0.00000000
1995,96,USA,0.00000000
1995,96,Other,0.00000000
1995,97,CHE,0.00000214
1995,97,USA,0.00000002
1995,97,CAN,0.00000000
1996,10,CAF,0.00000012
1996,10,KNA,0.00000002
1996,11,KNA,0.00000007
1996,12,CHE,0.00000000
1996,13,BRA,0.00000016
1996,15,CZE,0.00000023
1996,15,USA,0.00000005
1996,17,USA,0.00000050
1996,17,RUS,0.00000022
1996,17,UKR,0.00000002
1996,18,LTU,0.00000004
