year,product_chapter,exporter,value_trln_USD
1995,10,NZL,0.00000005
1995,11,AUS,0.00000060
1995,11,NZL,0.00000002
1995,11,FRA,0.00000000
1995,12,AUS,0.00000009
1995,12,NZL,0.00000003
1995,12,SGP,0.00000001
1995,14,AUS,0.00000001
1995,14,SGP,0.00000001
1995,15,AUS,0.00000020
1995,15,SGP,0.00000016
1995,15,FRA,0.00000005
1995,15,MYS,0.00000001
1995,15,NZL,0.00000000
1995,16,CHL,0.00000032
1995,16,CHN,0.00000019
1995,16,THA,0.00000007
1995,16,AUS,0.00000006
1995,16,DNK,0.00000006
1995,16,Other,0.00000009
1995,17,AUS,0.00000024
1995,17,NZL,0.00000001
1995,17,HKG,0.00000001
1995,17,FRA,0.00000000
1995,17,SGP,0.00000000
1995,18,AUS,0.00000006
1995,18,NZL,0.00000001
1995,18,SGP,0.00000001
1995,18,FRA,0.00000000
1995,18,IRL,0.00000000
1995,19,AUS,0.00000031
1995,19,SGP,0.00000005
1995,19,NZL,0.00000005
1995,19,HKG,0.00000004
1995,19,DNK,0.00000002
1995,19,Other,0.00000002
1995,20,AUS,0.00000078
1995,20,NZL,0.00000010
1995,20,SGP,0.00000004
1995,20,USA,0.00000003
1995,20,HKG,0.00000001
1995,20,Other,0.00000001
1995,21,AUS,0.00000020
1995,21,NZL,0.00000008
1995,21,HKG,0.00000007
1995,21,FRA,0.00000003
1995,21,SGP,0.00000001
1995,21,Other,0.00000001
1995,22,AUS,0.00000109
1995,22,FRA,0.00000047
1995,22,NZL,0.00000036
1995,22,SGP,0.00000007
1995,22,GBR,0.00000005
1995,22,Other,0.00000007
1995,23,AUS,0.00000030
1995,23,USA,0.00000001
1995,23,SGP,0.00000000
1995,23,NZL,0.00000000
1995,24,AUS,0.00000289
1995,25,NZL,0.00000050
1995,25,AUS,0.00000028
1995,25,FRA,0.00000003
1995,25,SWE,0.00000000
1995,27,CIV,0.00000158
1995,27,AUS,0.00000089
1995,27,GRC,0.00000019
1995,27,NZL,0.00000005
1995,27,MEX,0.00000004
1995,27,Other,0.00000000
1995,28,AUS,0.00000004
1995,28,NZL,0.00000004
1995,28,SGP,0.00000001
1995,28,JPN,0.00000001
1995,28,NLD,0.00000000
1995,29,NZL,0.00000005
1995,29,HKG,0.00000002
1995,29,SGP,0.00000001
1995,29,NLD,0.00000001
1995,29,DEU,0.00000001
1995,29,Other,0.00000000
1995,30,AUS,0.00000041
1995,30,IRL,0.00000018
