year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00082187,6.12007205
1995,Food Related,0.00013759,0.18832959
1995,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00009787,0.00018007
1995,"Ships, boats and floating structures",0.00006419,0.02355927
1995,Apparel and clothing accessories; not knitted or crocheted,0.00001301,0.00171335
1995,Other,0.00008886,0.30974058
1996,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00109788,6.76169158
1996,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00015935,0.00020207
1996,Food Related,0.00015442,0.22463191
1996,"Ships, boats and floating structures",0.00003607,0.02059092
1996,Pharmaceutical products,0.00002517,0.01350070
1996,Other,0.00007894,0.35888069
1997,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00097529,6.11712409
1997,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00010769,0.00026416
1997,Food Related,0.00007141,0.11316566
1997,Pharmaceutical products,0.00006040,0.03124396
1997,"Ships, boats and floating structures",0.00004482,0.03523268
1997,Other,0.00009758,0.45356831
1998,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00152738,12.08017303
1998,Food Related,0.00007347,0.12380446
1998,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00006460,0.00017211
1998,Pharmaceutical products,0.00004656,0.02426348
1998,Aluminium and articles thereof,0.00003005,0.02312126
1998,Other,0.00019174,4.41230376
1999,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00085528,5.54472911
1999,Pharmaceutical products,0.00004127,0.03311926
1999,"Ships, boats and floating structures",0.00003596,0.01833250
1999,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00003437,0.00445836
1999,Food Related,0.00002960,0.05714773
1999,Other,0.00013173,0.34374081
2000,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00143688,6.11322169
2000,"Ships, boats and floating structures",0.00004618,0.02607322
2000,Pharmaceutical products,0.00004354,0.03392193
2000,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00002582,0.00010731
2000,Food Related,0.00002210,0.03977269
2000,Other,0.00014822,0.23505047
2001,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00122778,7.09174007
2001,"Ships, boats and floating structures",0.00011703,0.02709777
2001,Pharmaceutical products,0.00002884,0.02970612
