imports_trln_USD,exports_trln_USD
0.00010469,0.00021903
0.00002999,0.00002345
0.00008751,0.00007391
0.00001986,0.00000705
0.00000116,0.00000161
0.00013278,0.00006135
0.00014299,0.00006504
0.00012887,0.00008448
0.00024547,0.00014366
0.00029640,0.00014555
0.00051732,0.00041569
0.00025200,0.00011770
0.00019389,0.00029553
0.00019829,0.00011276
0.00008482,0.00004524
0.00036968,0.00024134
0.00012947,0.00002569
0.00237328,0.00064953
0.00041024,0.00031408
0.00095728,0.00079460
0.00156928,0.00126968
0.00008737,0.00013416
0.00057216,0.00027547
0.00042243,0.00012996
0.00032346,0.00011894
0.00013407,0.00009883
0.00001997,0.00001935
0.00020981,0.00004474
0.00065544,0.00051243
0.00312552,0.00226063
0.00113133,0.00085031
0.00015771,0.00020214
0.00030626,0.00004269
0.00003399,0.00001733
0.00135734,0.00189998
0.00003385,0.00000698
0.00000971,0.00000058
0.00054898,0.00025259
0.00150851,0.00334772
0.00089039,0.00040065
0.00006515,0.00001933
0.00015299,0.00008380
0.00037590,0.00035057
0.00004722,0.00005149
0.00035375,0.00025643
0.00025006,0.00056772
0.00013262,0.00012064
0.00021257,0.00008693
0.00011313,0.00018679
0.00013177,0.00013233
0.00037739,0.00019235
0.00116631,0.00054880
0.00173676,0.00044853
0.00026836,0.00010755
0.00085412,0.00048896
0.00004617,0.00001281
0.00002327,0.00000897
0.00001979,0.00000446
0.00035992,0.00047297
0.00044672,0.00028895
0.00075865,0.00071515
0.00088701,0.00025608
0.00155475,0.00239417
0.00190951,0.00182738
0.00084718,0.00049525
0.00005791,0.00004238
0.00119568,0.00099121
0.00003577,0.00000778
0.00009183,0.00002582
0.00041659,0.00006881
0.00018393,0.00021262
0.00044699,0.00043291
0.00048825,0.00062804
0.00991622,0.01005182
0.00629390,0.00614515
0.00017259,0.00064518
0.00763875,0.00399440
0.00063056,0.00008494
0.00005587,0.00003379
0.00215787,0.00138217
0.00018647,0.00007195
0.00005617,0.00002544
0.00004463,0.00008855
0.00178222,0.00092655
0.00053912,0.00070174
0.00018257,0.00010863
0.00011528,0.00003941
0.00017557,0.00021243
0.00003884,0.00002789
0.00011476,0.00004319
0.00002202,0.00000859
0.00000102,0.00000076
0.00015616,0.00005751
0.00015334,0.00006001
0.00016998,0.00011123
0.00026759,0.00019520
0.00034503,0.00018506
0.00055837,0.00054756
0.00023975,0.00011272
0.00022096,0.00032909
0.00021556,0.00012707
0.00006973,0.00007098
0.00032763,0.00026198
0.00014164,0.00002320
0.00342434,0.00064438
0.00040793,0.00032143
0.00104295,0.00089341
0.00160068,0.00124121
0.00008395,0.00014519
0.00056666,0.00027238
0.00044981,0.00010880
0.00030459,0.00011894
0.00013242,0.00011413
0.00002081,0.00001700
0.00023528,0.00004672
0.00064267,0.00056881
0.00294881,0.00224727
0.00119802,0.00090169
0.00019885,0.00021354
0.00030210,0.00005148
0.00004289,0.00002496
0.00123025,0.00182649
0.00003312,0.00000739
0.00000962,0.00000068
0.00034815,0.00017563
0.00145662,0.00310787
0.00090926,0.00034092
0.00006469,0.00002086
0.00014569,0.00007455
0.00037462,0.00035339
0.00004006,0.00004451
0.00031800,0.00025800
0.00021636,0.00058024
0.00012353,0.00012304
0.00020512,0.00006190
0.00011563,0.00018359
0.00013562,0.00012324
0.00037499,0.00021937
0.00125061,0.00058951
0.00177563,0.00047861
0.00028620,0.00011632
0.00088202,0.00051134
0.00004957,0.00001678
0.00002233,0.00001069
0.00002027,0.00000285
0.00033540,0.00042826
0.00042736,0.00029562
0.00075205,0.00072789
0.00054265,0.00026029
0.00132837,0.00225120
0.00202196,0.00190108
0.00066762,0.00046786
0.00006746,0.00013704
0.00112261,0.00108661
0.00004058,0.00001230
0.00011418,0.00003373
0.00045590,0.00004862
0.00017571,0.00018702
0.00043915,0.00041213
0.00049747,0.00065734
0.01023141,0.01061927
0.00666855,0.00623277
0.00013549,0.00036445
0.00807056,0.00492336
0.00068626,0.00008402
0.00004381,0.00003660
0.00216266,0.00129082
0.00018936,0.00006386
0.00005655,0.00004167
0.00003631,0.00010327
0.00188741,0.00107162
0.00058435,0.00061171
0.00018519,0.00012693
0.00009620,0.00004283
0.00014857,0.00022308
0.00002769,0.00002795
0.00009901,0.00004377
0.00002203,0.00000712
0.00000141,0.00000211
0.00015494,0.00006392
0.00014051,0.00004800
0.00016106,0.00011125
0.00023883,0.00022819
0.00033773,0.00016527
0.00056421,0.00058226
0.00027837,0.00013279
0.00024236,0.00029634
0.00024160,0.00012472
0.00008252,0.00006723
0.00032211,0.00023165
0.00015795,0.00001392
0.00327827,0.00067637
0.00038837,0.00033595
0.00100780,0.00093629
0.00165611,0.00139563
0.00007040,0.00012114
0.00055618,0.00029842
0.00044613,0.00012532
0.00033032,0.00013103
0.00012869,0.00010704
0.00002211,0.00001518
0.00023303,0.00005138
0.00060842,0.00053555
0.00282645,0.00227311
0.00115486,0.00089865
0.00022493,0.00024234
0.00029674,0.00006949
0.00003960,0.00001826
0.00121025,0.00184947
0.00003010,0.00000574
0.00000986,0.00000065
0.00037110,0.00016514
0.00139915,0.00291753
0.00072942,0.00036586
0.00005175,0.00002561
0.00013109,0.00008516
0.00037385,0.00033992
0.00005499,0.00006785
0.00031776,0.00023152
0.00020634,0.00054813
0.00012741,0.00010419
0.00016999,0.00007540
0.00009412,0.00016333
0.00012907,0.00014040
0.00036176,0.00020797
0.00115362,0.00057833
0.00168696,0.00044758
0.00025784,0.00010913
0.00085011,0.00049947
0.00004613,0.00001400
0.00002053,0.00001227
0.00001955,0.00000263
0.00033605,0.00040347
0.00040026,0.00028271
0.00073425,0.00073635
0.00053643,0.00034390
0.00131043,0.00216411
0.00177818,0.00177847
0.00071540,0.00047950
0.00006846,0.00007073
0.00130584,0.00117772
0.00003534,0.00000876
0.00013573,0.00005296
0.00044187,0.00005303
0.00019650,0.00021914
0.00042172,0.00039248
0.00047531,0.00063956
0.00985616,0.01009894
0.00724589,0.00726409
0.00016403,0.00037331
0.00716124,0.00481348
0.00092419,0.00049283
0.00005755,0.00003385
0.00205474,0.00124767
0.00018892,0.00006174
0.00004567,0.00004180
0.00008105,0.00008233
0.00172199,0.00104373
0.00054201,0.00059718
0.00017847,0.00012425
0.00003854,0.00004653
0.00016534,0.00027915
0.00003977,0.00003772
0.00011772,0.00004851
0.00002096,0.00000666
0.00000125,0.00000093
0.00017368,0.00007606
0.00014440,0.00004980
0.00014608,0.00011463
0.00026937,0.00020548
0.00034836,0.00019036
0.00059191,0.00058634
0.00029265,0.00013915
0.00028187,0.00038669
0.00022967,0.00011968
0.00009321,0.00011490
0.00030240,0.00022834
0.00013912,0.00002292
0.00273302,0.00064448
0.00040319,0.00032780
0.00104943,0.00096578
0.00189469,0.00124118
0.00006258,0.00012183
0.00060481,0.00031303
0.00042671,0.00014247
0.00033469,0.00011726
0.00015472,0.00011239
0.00002248,0.00001686
0.00023692,0.00005352
0.00064570,0.00050266
0.00297449,0.00231123
0.00122901,0.00098757
0.00027490,0.00026875
0.00029183,0.00007196
0.00003219,0.00001965
0.00124546,0.00193450
0.00003361,0.00001179
0.00000845,0.00000064
0.00036368,0.00015501
0.00148843,0.00326185
0.00071929,0.00032517
0.00004958,0.00001961
0.00012103,0.00007770
0.00036800,0.00034322
0.00005658,0.00006806
0.00031430,0.00025095
0.00020558,0.00054882
0.00012867,0.00011974
0.00014647,0.00004814
0.00010025,0.00019432
0.00013317,0.00016244
0.00035765,0.00022013
0.00121995,0.00059482
0.00163696,0.00045209
0.00026484,0.00011837
0.00085112,0.00047053
0.00004269,0.00001053
0.00002214,0.00001514
0.00001774,0.00000296
0.00032863,0.00043078
0.00039096,0.00026490
0.00071494,0.00073973
0.00062130,0.00047326
0.00151854,0.00263092
0.00195111,0.00192173
0.00061522,0.00039371
0.00007125,0.00008416
0.00142394,0.00119171
0.00004642,0.00000714
0.00013545,0.00004732
0.00042090,0.00004840
0.00021564,0.00022986
0.00045564,0.00043478
0.00045903,0.00069983
0.01057416,0.01082969
0.00829660,0.00827165
0.00019814,0.00056966
0.00802767,0.00521206
0.00092269,0.00043135
0.00014860,0.00012471
0.00216377,0.00129580
0.00018176,0.00006473
0.00004409,0.00004363
0.00003829,0.00008605
0.00176355,0.00113671
0.00054641,0.00065526
0.00018551,0.00013730
0.00004464,0.00004965
0.00016525,0.00023485
0.00004130,0.00004374
0.00008975,0.00004200
0.00002174,0.00000861
0.00000184,0.00000143
0.00013897,0.00007745
0.00015352,0.00005358
0.00014930,0.00011649
0.00025158,0.00022292
0.00035143,0.00021682
0.00067622,0.00061064
0.00032535,0.00015792
0.00027902,0.00049736
0.00020393,0.00011051
0.00009401,0.00010471
0.00027261,0.00023232
0.00013421,0.00002028
0.00297916,0.00066379
0.00034830,0.00032728
0.00091633,0.00104991
0.00204235,0.00140088
0.00005279,0.00013585
0.00058325,0.00030036
0.00043438,0.00013552
0.00031724,0.00011394
0.00012697,0.00010851
0.00002837,0.00001278
0.00021584,0.00005524
0.00064188,0.00051354
0.00294381,0.00231653
0.00118666,0.00101732
0.00027203,0.00024395
0.00029094,0.00008037
0.00002628,0.00000755
0.00139825,0.00207725
0.00003588,0.00001253
0.00000991,0.00000100
0.00036615,0.00018072
0.00153062,0.00316385
0.00070619,0.00030606
0.00004826,0.00002077
0.00010424,0.00005999
0.00030214,0.00032443
0.00003447,0.00005412
0.00025741,0.00021964
0.00018791,0.00052069
0.00013304,0.00011312
0.00015450,0.00004930
0.00009563,0.00017990
0.00012486,0.00014810
0.00035090,0.00019059
0.00121431,0.00056700
0.00155305,0.00041132
0.00027412,0.00012158
0.00087898,0.00043576
0.00004678,0.00001166
0.00002207,0.00001257
0.00001805,0.00000415
0.00033344,0.00038503
0.00039455,0.00023946
0.00070702,0.00079296
0.00054955,0.00036709
0.00123038,0.00211307
0.00184911,0.00184219
0.00051141,0.00031717
0.00005742,0.00004663
0.00139122,0.00118062
0.00002359,0.00000524
0.00010193,0.00002963
0.00037935,0.00003898
0.00019552,0.00020695
0.00043852,0.00043549
0.00047980,0.00068136
0.01058686,0.01076810
0.00855495,0.00790947
0.00020515,0.00070126
0.00828529,0.00587876
0.00079947,0.00035974
0.00002864,0.00001479
0.00216443,0.00125728
0.00018163,0.00006060
0.00004367,0.00003454
0.00003370,0.00008543
0.00186296,0.00118091
0.00059172,0.00072152
0.00018581,0.00013976
0.00004240,0.00010377
0.00014950,0.00022771
0.00004262,0.00003535
0.00009505,0.00004480
0.00001901,0.00000733
0.00000145,0.00000164
0.00011867,0.00006939
0.00014658,0.00004349
0.00013669,0.00009990
0.00020587,0.00020091
0.00032463,0.00020866
0.00059916,0.00061126
0.00027373,0.00017874
0.00025292,0.00060831
0.00020830,0.00014108
0.00010733,0.00007166
0.00025014,0.00021790
0.00014957,0.00002156
0.00362201,0.00077993
0.00035790,0.00033714
0.00117939,0.00095930
0.00162728,0.00148374
0.00006556,0.00011045
0.00056561,0.00029148
0.00042242,0.00012836
0.00029419,0.00012551
0.00013268,0.00009141
0.00002705,0.00001626
0.00023998,0.00004206
0.00062475,0.00047684
0.00293374,0.00240619
0.00111201,0.00094326
0.00026371,0.00024726
0.00026484,0.00009382
0.00002320,0.00001015
0.00125405,0.00209114
0.00003042,0.00001141
0.00000869,0.00000071
0.00052568,0.00021247
0.00152236,0.00324371
0.00061007,0.00029357
0.00004277,0.00001837
0.00008638,0.00005313
0.00027738,0.00030126
0.00003781,0.00005276
0.00022747,0.00017095
0.00018468,0.00049696
0.00011990,0.00011702
0.00014022,0.00004182
0.00007901,0.00017303
0.00011359,0.00012664
0.00031065,0.00020519
0.00116453,0.00048546
0.00148411,0.00035925
0.00026765,0.00010189
0.00083991,0.00042134
0.00004156,0.00001064
0.00002017,0.00001224
0.00001818,0.00000488
0.00030954,0.00038242
0.00034111,0.00019094
0.00065568,0.00085574
0.00053732,0.00037760
0.00140887,0.00215708
0.00175515,0.00186996
0.00059271,0.00036592
0.00009166,0.00007809
0.00147823,0.00128060
0.00002376,0.00000480
0.00011859,0.00005479
0.00034712,0.00004127
0.00021569,0.00019650
0.00041187,0.00045159
0.00044438,0.00061874
0.01027190,0.01016854
0.00873226,0.00817155
0.00032557,0.00050408
0.00791289,0.00543307
0.00163159,0.00104215
0.00011137,0.00011980
0.00211393,0.00133908
0.00016586,0.00005360
0.00003736,0.00003221
0.00002674,0.00008208
0.00184974,0.00110078
0.00053192,0.00061816
0.00016588,0.00012356
0.00003874,0.00005794
0.00015846,0.00020088
0.00004579,0.00003887
0.00010310,0.00004987
0.00002244,0.00000788
0.00000250,0.00000215
0.00012070,0.00006800
0.00016026,0.00005226
0.00017133,0.00010015
0.00022345,0.00021960
0.00035911,0.00023515
0.00060782,0.00065632
0.00030045,0.00020508
0.00028197,0.00073679
0.00024486,0.00016974
0.00013000,0.00009736
0.00021076,0.00019066
0.00015620,0.00002114
0.00396051,0.00118889
0.00041282,0.00034711
0.00136628,0.00099948
0.00188704,0.00185184
0.00006073,0.00010922
0.00058052,0.00031645
0.00045250,0.00016818
0.00030476,0.00015439
0.00012955,0.00010143
0.00002267,0.00001439
0.00021921,0.00005176
0.00064876,0.00051514
0.00295403,0.00252091
0.00117048,0.00103064
0.00032514,0.00030043
0.00027831,0.00012217
0.00001962,0.00000761
0.00119515,0.00200015
0.00003147,0.00000752
0.00001006,0.00000050
0.00038759,0.00018044
0.00164237,0.00317652
0.00066074,0.00031318
0.00004975,0.00001519
0.00008655,0.00004808
0.00027090,0.00029988
0.00003586,0.00004241
0.00023986,0.00016384
0.00017360,0.00050586
0.00012882,0.00012191
0.00013795,0.00006018
0.00008173,0.00017810
0.00011711,0.00013950
0.00033288,0.00017975
0.00122970,0.00046387
0.00158545,0.00035880
0.00028654,0.00012089
0.00084464,0.00043674
0.00004124,0.00001072
0.00001874,0.00002276
0.00001905,0.00000569
0.00031047,0.00038638
0.00036216,0.00020563
0.00072575,0.00083419
0.00058433,0.00049377
0.00136451,0.00215135
0.00183844,0.00184879
0.00057953,0.00036325
0.00012770,0.00006839
0.00160886,0.00137470
0.00002744,0.00000615
0.00013949,0.00004511
0.00037057,0.00005908
0.00024999,0.00021479
0.00046023,0.00049204
0.00046625,0.00067743
0.01095647,0.01127741
0.00868346,0.00943468
0.00032747,0.00055430
0.00810861,0.00627854
0.00108406,0.00089954
0.00017407,0.00012788
0.00222844,0.00137626
0.00017636,0.00006127
0.00004164,0.00003007
0.00003539,0.00008249
0.00178104,0.00118282
0.00056760,0.00071164
0.00016259,0.00012992
0.00004278,0.00011833
0.00019639,0.00019618
0.00004664,0.00004498
0.00012324,0.00006143
0.00002459,0.00000753
0.00000187,0.00000309
0.00016449,0.00008126
0.00017896,0.00006540
0.00019720,0.00012022
0.00026040,0.00020563
0.00040258,0.00027508
0.00060927,0.00074137
0.00035427,0.00021332
0.00032912,0.00085736
0.00026356,0.00016777
0.00016878,0.00016436
0.00022410,0.00020587
0.00017090,0.00001850
0.00434420,0.00136987
0.00036495,0.00033941
0.00157575,0.00129234
0.00225034,0.00269472
0.00005758,0.00012282
0.00057238,0.00034110
0.00053235,0.00019820
0.00035063,0.00017999
0.00015319,0.00011992
0.00002716,0.00001476
0.00019735,0.00005184
0.00068672,0.00058129
0.00314046,0.00275020
0.00128670,0.00106299
0.00034771,0.00027112
0.00028204,0.00014878
0.00002238,0.00000705
0.00140042,0.00224508
0.00002799,0.00000861
0.00001122,0.00000111
0.00044557,0.00017294
0.00161982,0.00352946
0.00068309,0.00032198
0.00004512,0.00001984
0.00007639,0.00004734
0.00029614,0.00029703
0.00003241,0.00004182
0.00023816,0.00017783
0.00018310,0.00054610
0.00013746,0.00013337
0.00011963,0.00006211
0.00008305,0.00019786
0.00012901,0.00014306
0.00035306,0.00018397
0.00125557,0.00046616
0.00163912,0.00035901
0.00028700,0.00012498
