year,product_chapter,exporter,value_trln_USD,quantity_mln_metric_tons
1995,10,THA,0.00004859,0.15536006
1995,10,USA,0.00000317,0.01301007
1995,10,IND,0.00000280,0.01120000
1995,10,FRA,0.00000101,0.00700110
1995,10,CAN,0.00000066,0.00423800
1995,10,Other,0.00000117,0.00481823
1995,11,FRA,0.00000603,0.02347388
1995,11,USA,0.00000193,0.00933232
1995,11,TGO,0.00000034,0.00087688
1995,11,NLD,0.00000016,0.00009379
1995,11,BEL,0.00000013,0.00049825
1995,11,Other,0.00000014,0.00036620
1995,12,NER,0.00000021,0.00411700
1995,12,FRA,0.00000006,0.00000351
1995,12,BFA,0.00000004,0.00006000
1995,12,DEU,0.00000001,0.00000160
1995,12,ZA1,0.00000000,0.00000000
1995,13,FRA,0.00000012,0.00000242
1995,13,DEU,0.00000007,0.00000363
1995,13,NER,0.00000001,0.00008800
1995,15,USA,0.00000130,0.00156306
1995,15,CIV,0.00000101,0.00167639
1995,15,NLD,0.00000057,0.00042102
1995,15,SGP,0.00000036,0.00040000
1995,15,TGO,0.00000032,0.00125349
1995,15,Other,0.00000072,0.00062766
1995,16,DEU,0.00000278,0.00075787
1995,16,MAR,0.00000105,0.00058405
1995,16,FRA,0.00000026,0.00006046
1995,16,FIN,0.00000024,0.00008525
1995,16,TGO,0.00000016,0.00009834
1995,16,Other,0.00000039,0.00019347
1995,17,FRA,0.00001326,0.02808897
1995,17,BEL,0.00000348,0.00922033
1995,17,TGO,0.00000097,0.00294627
1995,17,ZA1,0.00000036,0.00000000
1995,17,DEU,0.00000007,0.00018050
1995,17,Other,0.00000007,0.00004850
1995,18,GBR,0.00000006,0.00002733
1995,18,FRA,0.00000005,0.00000899
1995,18,CIV,0.00000001,0.00000146
1995,18,BEL,0.00000000,0.00000168
1995,18,ESP,0.00000000,0.00000066
1995,19,ITA,0.00000217,0.00302076
1995,19,USA,0.00000089,0.00220581
1995,19,FRA,0.00000080,0.00047307
1995,19,ESP,0.00000014,0.00017947
1995,19,NLD,0.00000009,0.00000769
1995,19,Other,0.00000032,0.00023148
1995,20,FRA,0.00000882,0.00946032
1995,20,ITA,0.00000663,0.00541923
1995,20,IRL,0.00000193,0.00110280
1995,20,GBR,0.00000168,0.00127207
1995,20,TGO,0.00000089,0.00038106
1995,20,Other,0.00000238,0.00279817
1995,21,ESP,0.00000196,0.00094956
1995,21,CMR,0.00000162,0.00052706
1995,21,CIV,0.00000157,0.00031455
1995,21,FRA,0.00000100,0.00050851
1995,21,TGO,0.00000099,0.00053144
1995,21,Other,0.00000102,0.00032948
1995,22,FRA,0.00000462,0.00283861
1995,22,TGO,0.00000239,0.00202253
1995,22,GBR,0.00000160,0.00026158
1995,22,NLD,0.00000125,0.00055516
1995,22,ESP,0.00000102,0.00118302
1995,22,Other,0.00000088,0.00046669
1995,23,FRA,0.00000012,0.00013851
1995,23,BEL,0.00000007,0.00020829
1995,23,NLD,0.00000002,0.00003500
1995,23,TGO,0.00000000,0.00001162
1995,24,GBR,0.00005034,0.00337534
1995,24,CAN,0.00000225,0.00033694
1995,24,USA,0.00000102,0.00014451
1995,24,NLD,0.00000053,0.00002919
1995,24,FRA,0.00000041,0.00003110
1995,24,Other,0.00000049,0.00005626
1995,25,ESP,0.00000433,0.12731148
1995,25,TGO,0.00000266,0.03589839
1995,25,FRA,0.00000208,0.07480595
1995,25,GRC,0.00000075,0.02647100
1995,25,DNK,0.00000059,0.02030500
1995,25,Other,0.00000099,0.05653336
1995,26,NER,0.00015149,0.00000400
1995,26,FRA,0.00000020,0.02891800
1995,26,ITA,0.00000005,0.01050000
1995,27,CIV,0.00001838,0.10521918
1995,27,NLD,0.00000273,0.01780999
1995,27,FRA,0.00000110,0.00122066
1995,27,TGO,0.00000088,0.00543051
1995,27,ESP,0.00000043,0.00237106
1995,27,Other,0.00000035,0.00052598
1995,28,GBR,0.00000026,0.00073280
1995,28,BEL,0.00000021,0.00045623
1995,28,FRA,0.00000011,0.00020233
1995,28,TGO,0.00000005,0.00009797
1995,28,ESP,0.00000003,0.00025050
1995,28,Other,0.00000007,0.00015777
1995,29,FRA,0.00000016,0.00004296
1995,29,NLD,0.00000013,0.00012816
1995,29,USA,0.00000012,0.00004904
1995,29,BEL,0.00000009,0.00006850
1995,29,CHN,0.00000008,0.00000950
1995,29,Other,0.00000015,0.00006965
1995,30,FRA,0.00001354,0.00058560
1995,30,NLD,0.00000298,0.00557847
1995,30,TGO,0.00000140,0.00305887
1995,30,ITA,0.00000037,0.00004641
1995,30,GBR,0.00000032,0.00002553
1995,30,Other,0.00000123,0.00010939
1995,31,TUR,0.00000190,0.01000000
1995,31,ROU,0.00000099,0.00596800
1995,31,BEL,0.00000013,0.00054813
1995,31,NLD,0.00000009,0.00042900
1995,31,FRA,0.00000002,0.00004600
1995,31,Other,0.00000001,0.00001625
1995,32,FRA,0.00000102,0.00016833
1995,32,DEU,0.00000027,0.00001462
1995,32,CIV,0.00000020,0.00013985
1995,32,NLD,0.00000019,0.00001935
1995,32,CHE,0.00000018,0.00000308
1995,32,Other,0.00000031,0.00023420
1995,33,FRA,0.00000243,0.00028817
1995,33,CIV,0.00000079,0.00034186
1995,33,TGO,0.00000014,0.00004159
1995,33,CHN,0.00000013,0.00008488
1995,33,NLD,0.00000009,0.00003607
1995,33,Other,0.00000031,0.00004547
1995,34,CHN,0.00000108,0.00126133
1995,34,FRA,0.00000063,0.00036284
1995,34,IRL,0.00000059,0.00025650
1995,34,CIV,0.00000048,0.00094747
1995,34,ESP,0.00000021,0.00009964
1995,34,Other,0.00000076,0.00088804
1995,35,FRA,0.00000031,0.00007382
1995,35,CMR,0.00000006,0.00002016
1995,35,ITA,0.00000006,0.00008156
1995,35,DEU,0.00000004,0.00002110
1995,35,BEL,0.00000003,0.00000206
1995,35,Other,0.00000004,0.00002261
1995,36,SWE,0.00000026,0.00021200
1995,36,FRA,0.00000020,0.00005779
1995,36,CIV,0.00000004,0.00007600
1995,36,SGP,0.00000003,0.00000000
1995,36,IDN,0.00000002,0.00001350
1995,36,Other,0.00000001,0.00000055
1995,37,FRA,0.00000013,0.00000689
1995,37,BEL,0.00000008,0.00000948
1995,37,DEU,0.00000004,0.00001007
1995,37,TGO,0.00000002,0.00001264
1995,37,ITA,0.00000001,0.00000181
1995,37,Other,0.00000002,0.00000360
1995,38,FRA,0.00000448,0.00115196
1995,38,CIV,0.00000352,0.00063124
1995,38,CHN,0.00000275,0.00233044
1995,38,GBR,0.00000186,0.00029664
1995,38,TGO,0.00000108,0.00020940
1995,38,Other,0.00000088,0.00046795
1995,39,THA,0.00000402,0.00024006
1995,39,FRA,0.00000178,0.00060924
1995,39,CIV,0.00000114,0.00070638
1995,39,TGO,0.00000071,0.00055014
1995,39,NLD,0.00000044,0.00014181
1995,39,Other,0.00000170,0.00079805
1995,40,NLD,0.00000379,0.00250352
1995,40,FRA,0.00000339,0.00259618
1995,40,BEL,0.00000295,0.00197572
1995,40,DEU,0.00000188,0.00272899
1995,40,TGO,0.00000067,0.00063570
1995,40,Other,0.00000248,0.00153783
1995,41,NER,0.00000012,0.00010980
1995,41,USA,0.00000007,0.00000250
1995,42,HKG,0.00000125,0.00044448
1995,42,CHN,0.00000031,0.00004840
1995,42,FRA,0.00000026,0.00001797
1995,42,IDN,0.00000014,0.00003305
1995,42,THA,0.00000005,0.00001695
1995,42,Other,0.00000010,0.00001255
1995,44,FIN,0.00000038,0.00080313
1995,44,CIV,0.00000023,0.00037251
1995,44,IND,0.00000022,0.00048275
1995,44,BRA,0.00000021,0.00056654
1995,44,FRA,0.00000016,0.00004266
1995,44,Other,0.00000034,0.00057380
1995,46,NER,0.00000003,0.00000594
1995,48,FRA,0.00000675,0.00428101
1995,48,DEU,0.00000129,0.00074092
1995,48,CIV,0.00000074,0.00061024
1995,48,PRT,0.00000050,0.00047573
1995,48,BEL,0.00000037,0.00027716
1995,48,Other,0.00000179,0.00132135
1995,49,FRA,0.00000442,0.00040531
1995,49,GBR,0.00000012,0.00001594
1995,49,BEL,0.00000011,0.00000581
1995,49,KOR,0.00000007,0.00001500
1995,49,DEU,0.00000006,0.00001873
1995,49,Other,0.00000012,0.00002377
1995,50,NLD,0.00000004,0.00000750
1995,50,IND,0.00000001,0.00000010
1995,51,CZE,0.00000035,0.00001888
1995,51,FRA,0.00000014,0.00000476
1995,51,ITA,0.00000009,0.00000394
1995,51,KOR,0.00000003,0.00000156
1995,51,NOR,0.00000002,0.00001950
1995,51,Other,0.00000000,0.00000040
1995,52,CHN,0.00003284,0.00505914
1995,52,HKG,0.00002273,0.00404750
