year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,Food Related,0.00006930,0.14942852
1995,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00005345,0.18634475
1995,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00005276,0.00498658
1995,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00005253,0.01404034
1995,Fertilizers,0.00002933,0.10351492
1995,Other,0.00030213,0.43398033
1996,Food Related,0.00010503,0.20903410
1996,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00006246,0.00558024
1996,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00006104,0.19623723
1996,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00006028,0.01825421
1996,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00004157,0.00403936
1996,Other,0.00033027,0.63524277
1997,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00011113,0.36960995
1997,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00010305,0.02759584
1997,Food Related,0.00009576,0.22829155
1997,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00007391,0.00938567
1997,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00004991,0.00516420
1997,Other,0.00034756,0.66537437
1998,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00018501,0.31712374
1998,Food Related,0.00012524,0.34990112
1998,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00010954,0.03393902
1998,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00007748,0.01172762
1998,Pharmaceutical products,0.00005696,0.00778853
1998,Other,0.00043718,0.77976063
1999,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00015097,0.04037610
1999,Food Related,0.00011731,0.30129984
1999,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00009958,0.35431421
1999,Iron and steel,0.00009189,0.17828505
1999,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00006979,0.01008126
1999,Other,0.00041467,0.69711278
2000,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00017559,0.33464803
2000,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00013538,0.03280984
2000,Food Related,0.00008546,0.24173827
2000,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00006841,0.01133352
2000,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00006079,0.00568861
2000,Other,0.00032696,0.90260097
2001,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00019474,0.41530171
2001,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00016022,0.03537058
2001,Food Related,0.00010093,0.39210755
2001,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00006106,0.01412780
2001,Iron and steel,0.00003868,0.13250104
2001,Other,0.00032135,0.71421006
2002,Food Related,0.00012385,0.41612326
2002,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00007900,0.27553988
2002,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00006176,0.02296830
2002,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00005620,0.00694160
2002,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00005033,0.01002310
2002,Other,0.00036533,0.94057600
2003,Food Related,0.00013860,0.40675294
2003,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00013072,0.44035081
2003,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00010389,0.03668108
2003,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00008517,0.01291321
2003,Pharmaceutical products,0.00007363,0.01269720
2003,Other,0.00052171,1.12600679
2004,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00016689,0.39010251
2004,Food Related,0.00015056,0.37839931
2004,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00010490,0.00936035
2004,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00009576,0.03442796
2004,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00009451,0.01360071
2004,Other,0.00058673,0.96358590
2005,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00022242,0.33090460
2005,Food Related,0.00019851,0.57977551
2005,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00011415,0.01633782
2005,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00009825,0.03122121
2005,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00009116,0.00965843
2005,Other,0.00060023,1.22892958
2006,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00037237,0.41766516
2006,Food Related,0.00021449,0.57181332
2006,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00013025,0.01677865
2006,Pharmaceutical products,0.00011249,0.02009527
2006,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00010586,0.02843872
2006,Other,0.00068399,1.23837677
2007,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00036735,0.48621291
2007,Food Related,0.00022743,0.50135498
2007,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00020747,0.02399972
2007,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00015650,0.01523562
2007,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00013817,0.03158521
2007,Other,0.00081698,1.32244599
2008,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00049869,0.50324149
2008,Food Related,0.00027693,0.51734137
2008,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00019075,0.02332078
2008,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00017768,0.01645675
2008,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00017666,0.03935607
2008,Other,0.00105027,1.44875737
2009,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00041775,0.47183243
2009,Food Related,0.00026926,0.52036989
2009,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00022940,0.02564833
2009,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00020775,0.04475516
2009,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00018344,0.01614251
2009,Other,0.00108042,1.43092056
2010,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00041403,0.42092591
2010,Food Related,0.00029686,0.58397750
2010,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00024328,0.02901833
2010,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00020884,0.04792472
2010,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00014329,0.01400691
2010,Other,0.00110721,1.46498042
2011,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00060849,0.59756086
2011,Food Related,0.00034640,0.65598519
2011,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00031567,0.03364931
2011,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00025263,0.06956570
2011,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00018925,0.02182043
2011,Other,0.00141806,1.65112966
2012,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00069731,0.58495911
2012,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00048900,0.05089064
2012,Food Related,0.00042177,0.83917674
2012,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00030837,0.08476294
2012,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00027287,0.02665382
2012,Other,0.00145233,2.17469906
2013,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00101682,0.77064429
2013,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00050473,0.05324451
2013,Food Related,0.00049279,0.93754539
2013,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00038894,0.09750715
2013,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00025236,0.02948046
2013,Other,0.00176379,2.47426678
2014,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00108141,0.83047837
2014,Food Related,0.00039309,0.76164965
2014,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00032452,0.04030486
2014,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00030399,0.09572070
2014,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00022421,0.03269318
2014,Other,0.00166902,2.38905303
2015,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00065442,0.70628179
2015,Food Related,0.00036785,0.85759572
2015,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00032852,0.04225764
2015,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00028590,0.10263935
2015,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00024251,0.03115047
2015,Other,0.00153814,2.47257090
2016,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00068217,1.08891991
2016,Food Related,0.00044191,0.91113416
2016,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00043617,0.05841998
2016,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00025715,0.09737940
2016,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00021016,0.03775474
2016,Other,0.00164529,4.03145093
2017,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00083653,0.88811721
2017,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00049451,0.06750365
2017,Food Related,0.00045107,1.04337948
2017,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00034725,0.12335432
2017,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00034122,0.05492749
2017,Other,0.00166207,3.62135830
2018,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00108268,1.23840396
2018,Food Related,0.00051088,1.22399459
2018,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00050835,0.06654934
2018,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00035682,0.12826509
