year,product_chapter,importer,value_trln_USD,quantity_mln_metric_tons
1995,10,BRA,0.00000431,0.01933493
1995,10,ZWE,0.00000024,0.00064856
1995,10,USA,0.00000005,0.00000135
1995,11,BRA,0.00001405,0.08179331
1995,12,CAN,0.00000003,0.00001952
1995,13,DEU,0.00000000,0.00000010
1995,13,URY,0.00000000,0.00000004
1995,19,DEU,0.00000000,0.00000050
1995,20,DEU,0.00000009,0.00005220
1995,21,GBR,0.00000000,0.00000007
1995,22,USA,0.00000126,0.00025855
1995,22,FIN,0.00000109,0.00019416
1995,22,NZL,0.00000072,0.00007119
1995,22,CHE,0.00000042,0.00002156
1995,22,DEU,0.00000033,0.00005270
1995,22,Other,0.00000132,0.00027847
1995,23,CAN,0.00000003,0.00003901
1995,24,USA,0.00000003,0.00000363
1995,24,GBR,0.00000001,0.00000075
1995,24,CAN,0.00000000,0.00000010
1995,27,FRA,0.00000333,0.02100650
1995,27,BRA,0.00000205,0.01256903
1995,27,SYC,0.00000002,0.00001575
1995,28,USA,0.00000001,0.00001705
1995,29,NLD,0.00003120,0.00002672
1995,29,CAN,0.00000224,0.00000231
1995,29,BRA,0.00000182,0.00024812
1995,29,ECU,0.00000032,0.00000062
1995,29,VEN,0.00000020,0.00000030
1995,29,Other,0.00000035,0.00012434
1995,30,ESP,0.00000104,0.00000023
1995,30,URY,0.00000014,0.00000000
1995,30,ZA1,0.00000011,0.00000056
1995,30,BRA,0.00000008,0.00000091
1995,30,GTM,0.00000003,0.00000044
1995,30,Other,0.00000004,0.00000040
1995,31,BRA,0.00000116,0.00500000
1995,32,USA,0.00000001,0.00000295
1995,33,USA,0.00000074,0.00000054
1995,33,GBR,0.00000033,0.00002056
1995,33,SVN,0.00000005,0.00000219
1995,33,CAN,0.00000001,0.00000094
1995,33,SWE,0.00000000,0.00000035
1995,33,Other,0.00000000,0.00000002
1995,34,THA,0.00000000,0.00000003
1995,37,GBR,0.00000000,0.00000004
1995,37,USA,0.00000000,0.00000000
1995,39,CAN,0.00000019,0.00009044
1995,39,IRL,0.00000012,0.00015141
1995,39,HKG,0.00000004,0.00005788
1995,39,ESP,0.00000002,0.00001897
1995,39,USA,0.00000001,0.00000150
1995,39,Other,0.00000002,0.00000312
1995,40,UGA,0.00000004,0.00000844
1995,41,HKG,0.00000005,0.00022146
1995,42,USA,0.00000001,0.00000001
1995,42,SVK,0.00000000,0.00000001
1995,44,USA,0.00000000,0.00000002
1995,44,FIN,0.00000000,0.00000644
1995,48,PAN,0.00000007,0.00008998
1995,48,CAN,0.00000001,0.00001100
1995,48,GBR,0.00000001,0.00000059
1995,48,SVN,0.00000000,0.00000005
1995,49,USA,0.00000018,0.00000443
1995,49,CAN,0.00000003,0.00002011
1995,49,GBR,0.00000001,0.00000079
