year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.04284677,4.11462790
1995,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.01779875,1.55119880
1995,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.01668139,106.93342232
1995,Food Related,0.01227303,37.32662608
1995,"Paper and paperboard; articles of paper pulp, of paper or paperboard",0.01169499,14.62127216
1995,Other,0.08886738,160.56156565
1996,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.04328730,5.46468110
1996,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.02030674,118.00273425
1996,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.01945581,1.53783653
1996,Food Related,0.01369746,35.94940724
1996,Wood and articles of wood; wood charcoal,0.01241168,38.61892700
1996,Other,0.09304854,143.67194213
1997,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.04645379,5.70924763
1997,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.02090666,117.98374282
1997,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.02048405,1.75469731
1997,Food Related,0.01389833,39.08824635
1997,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.01351144,0.40446591
1997,Other,0.09793189,190.76100781
1998,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.04803871,5.73094815
1998,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.02170535,1.86057225
1998,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.01735797,117.97190144
1998,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.01405381,0.43496955
1998,Food Related,0.01353668,36.17874762
1998,Other,0.09852745,192.02759159
1999,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.05894920,6.72488561
1999,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.02214778,2.63110539
1999,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.01993987,115.59539555
1999,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.01589802,0.51386923
1999,Wood and articles of wood; wood charcoal,0.01461319,39.79905112
1999,Other,0.10188837,185.64795182
2000,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.05859329,4.18713019
2000,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.03517368,137.41692618
2000,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.02453780,1.38229983
2000,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.02260950,0.74822572
2000,Food Related,0.01365578,25.98597341
2000,Other,0.11488742,110.34154478
2001,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.05294682,3.76750666
2001,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.03554671,137.58006618
2001,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.02323086,1.38226136
2001,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.01544901,0.67636086
2001,Food Related,0.01447475,25.67139476
2001,Other,0.10950900,99.92195939
2002,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.05520680,6.00024795
2002,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.03080520,161.70608473
2002,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.02220918,1.50999830
2002,Food Related,0.01440257,28.76355496
2002,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.01276663,0.52817039
2002,Other,0.10881243,114.29421770
2003,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.05590454,5.54887886
2003,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.04191388,217.74159465
2003,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.02246096,1.45261211
2003,Food Related,0.01455545,26.72793497
2003,Wood and articles of wood; wood charcoal,0.01301016,10.49562291
2003,Other,0.11432357,127.76024474
2004,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.06211294,6.27832592
2004,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.05287348,230.46360719
2004,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.02530856,1.87690831
2004,Food Related,0.01789354,32.22220763
2004,Wood and articles of wood; wood charcoal,0.01719638,11.83086031
2004,Other,0.13317947,136.56593995
2005,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.07303756,282.11226340
2005,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.06505204,6.08835995
