year,product_chapter,importer,value_trln_USD,quantity_mln_metric_tons
1995,10,AUS,0.00000060,0.00000946
1995,10,NLD,0.00000000,0.00000300
1995,11,JPN,0.00000008,0.00019200
1995,12,BEL,0.00000002,0.00000500
1995,12,MKD,0.00000002,0.00002028
1995,18,NLD,0.00000070,0.00046294
1995,20,DEU,0.00000013,0.00002610
1995,21,DEU,0.00000004,0.00000030
1995,22,GRC,0.00000003,0.00000987
1995,22,DNK,0.00000002,0.00000406
1995,22,FRA,0.00000000,0.00000030
1995,22,AUS,0.00000000,0.00000000
1995,23,JPN,0.00000003,0.00001600
1995,25,DEU,0.00000003,0.00002520
1995,25,HRV,0.00000001,0.00004300
1995,26,BEL,0.00000292,0.00022321
1995,26,NLD,0.00000005,0.00008400
1995,27,SVK,0.00000000,0.00004000
1995,30,SVK,0.00000000,0.00000004
1995,30,AUS,0.00000000,0.00000030
1995,33,DEU,0.00000003,0.00000080
1995,34,HRV,0.00000003,0.00001700
1995,39,VEN,0.00000001,0.00000095
1995,39,DEU,0.00000000,0.00000014
1995,40,VEN,0.00000000,0.00000002
1995,41,BEL,0.00000032,0.00007893
1995,42,VEN,0.00000002,0.00000142
1995,42,HRV,0.00000000,0.00000000
1995,44,BEL,0.00000044,0.00055500
1995,44,PRT,0.00000004,0.00010513
1995,44,GRC,0.00000001,0.00000750
1995,50,KOR,0.00000003,0.00000119
1995,52,IRL,0.00000006,0.00002259
1995,52,DEU,0.00000001,0.00000060
1995,52,VEN,0.00000000,0.00000025
1995,53,VEN,0.00000001,0.00000034
1995,54,VEN,0.00000001,0.00000089
1995,55,DEU,0.00000001,0.00000090
1995,55,VEN,0.00000001,0.00000059
1995,57,DEU,0.00000000,0.00000010
1995,60,BEL,0.00000001,0.00000013
1995,61,VEN,0.00000046,0.00002906
1995,61,JPN,0.00000002,0.00000051
1995,61,THA,0.00000000,0.00000005
1995,62,VEN,0.00000130,0.00006837
1995,62,JPN,0.00000007,0.00000316
1995,62,DEU,0.00000002,0.00000080
1995,62,CAN,0.00000000,0.00000002
1995,62,FRA,0.00000000,0.00000001
1995,63,VEN,0.00000005,0.00001113
1995,63,DEU,0.00000001,0.00000066
1995,63,HRV,0.00000000,0.00000000
1995,63,CYP,0.00000000,0.00000000
1995,64,VEN,0.00000012,0.00001339
1995,65,VEN,0.00000000,0.00000014
1995,69,GRC,0.00000001,0.00000150
1995,69,HRV,0.00000000,0.00000100
1995,69,MEX,0.00000000,0.00000001
1995,70,DEU,0.00000009,0.00012290
1995,70,USA,0.00000000,0.00001088
1995,71,USA,0.00000004,0.00000000
1995,73,CYP,0.00000007,0.00000230
1995,73,SUR,0.00000001,0.00000025
1995,76,VEN,0.00000000,0.00000009
1995,80,AUS,0.00000000,0.00000057
1995,81,FRA,0.00000003,0.00001131
1995,81,DEU,0.00000000,0.00000009
1995,82,BOL,0.00000004,0.00000084
1995,82,THA,0.00000001,0.00000513
1995,82,VEN,0.00000000,0.00000023
1995,82,DEU,0.00000000,0.00000004
1995,83,DNK,0.00000001,0.00000006
1995,84,VEN,0.00000011,0.00000600
1995,84,CYP,0.00000007,0.00000000
1995,84,DEU,0.00000000,0.00000010
1995,84,SDN,0.00000000,0.00000004
1995,84,SVK,0.00000000,0.00000000
1995,85,VEN,0.00000008,0.00000610
1995,85,AUS,0.00000000,0.00000001
1995,85,BEL,0.00000000,0.00000000
1995,85,DEU,0.00000000,0.00000002
1995,85,CYP,0.00000000,0.00000000
1995,87,DEU,0.00000001,0.00000070
1995,87,CRI,0.00000000,0.00000017
1995,90,FRA,0.00000002,0.00000688
1995,90,DEU,0.00000001,0.00001103
1995,90,NLD,0.00000001,0.00000016
1995,90,CYP,0.00000001,0.00000000
1995,90,VEN,0.00000000,0.00000004
1995,91,VEN,0.00000007,0.00000000
1995,91,JPN,0.00000000,0.00000000
1995,92,VEN,0.00000000,0.00000001
1995,94,VEN,0.00000001,0.00000125
1995,95,VEN,0.00000002,0.00000171
1995,95,DEU,0.00000000,0.00000004
1995,96,VEN,0.00000001,0.00000036
1996,10,FRA,0.00000019,0.00075000
1996,10,TGO,0.00000000,0.00000028
1996,12,BEL,0.00000004,0.00000281
1996,12,GRC,0.00000001,0.00000025
1996,12,NLD,0.00000000,0.00000001
1996,17,COL,0.00000000,0.00000181
1996,18,NLD,0.00000067,0.00049219
1996,20,FRA,0.00000003,0.00001720
1996,20,GRC,0.00000000,0.00000063
1996,22,AND,0.00000000,0.00000003
1996,26,BGR,0.00000009,0.00060131
1996,26,BEL,0.00000007,0.00000937
1996,26,GRC,0.00000002,0.00004000
1996,28,ZA1,0.00000015,0.00010000
1996,30,GRC,0.00000032,0.00000747
1996,30,SVK,0.00000001,0.00000008
1996,30,CYP,0.00000000,0.00000066
1996,31,DEU,0.00000008,0.00024070
1996,31,CYP,0.00000001,0.00003150
1996,33,GRC,0.00000001,0.00000044
1996,36,COL,0.00000000,0.00000008
