year,product_chapter,imports_trln_USD,exports_trln_USD
1995,10,0.00023910,0.00000044
1995,11,0.00001893,0.00000022
1995,12,0.00000452,0.00001060
1995,13,0.00000137,0.00000027
1995,14,0.00000013,0.00000090
1995,15,0.00000686,0.00011618
1995,16,0.00000797,0.00024646
1995,17,0.00003273,0.00001364
1995,18,0.00000049,0.00147837
1995,19,0.00000897,0.00000452
1995,20,0.00001863,0.00000305
1995,21,0.00001553,0.00008596
1995,22,0.00001951,0.00000097
1995,23,0.00000266,0.00001086
1995,24,0.00001515,0.00000134
1995,25,0.00006017,0.00003845
1995,26,0.00000409,0.00000001
1995,27,0.00047899,0.00039409
1995,28,0.00002486,0.00000216
1995,29,0.00003815,0.00000125
1995,30,0.00029480,0.00001615
1995,31,0.00001891,0.00004138
1995,32,0.00002150,0.00000806
1995,33,0.00001511,0.00004200
1995,34,0.00000697,0.00001227
1995,35,0.00000270,0.00000187
1995,36,0.00000067,0.00000082
1995,37,0.00000673,0.00000009
1995,38,0.00004898,0.00001847
1995,39,0.00007460,0.00006032
1995,40,0.00010179,0.00018178
1995,41,0.00000854,0.00000181
1995,42,0.00000292,0.00000092
1995,43,0.00000012,
1995,44,0.00000533,0.00071766
1995,45,0.00000004,
1995,46,0.00000029,0.00000322
1995,47,0.00000029,0.00000626
1995,48,0.00008631,0.00002370
1995,49,0.00003344,0.00000147
1995,50,0.00000021,0.00000006
1995,51,0.00000026,0.00000006
1995,52,0.00010863,0.00020336
1995,53,0.00000908,0.00000201
1995,54,0.00001136,0.00000186
1995,55,0.00002090,0.00000268
1995,56,0.00000386,0.00000174
1995,57,0.00000184,0.00000002
1995,58,0.00000247,0.00000005
1995,59,0.00000238,0.00000528
1995,60,0.00000541,0.00000470
1995,61,0.00000319,0.00000512
1995,62,0.00000700,0.00000792
1995,63,0.00001202,0.00001191
1995,64,0.00000829,0.00004130
1995,65,0.00000055,0.00000002
1995,66,0.00000046,0.00000005
1995,67,0.00000028,0.00000150
1995,68,0.00000825,0.00000064
1995,69,0.00001101,0.00000034
1995,70,0.00002847,0.00000179
1995,71,0.00000505,0.00016132
1995,72,0.00008246,0.00002624
1995,73,0.00004515,0.00001836
1995,74,0.00000615,0.00000420
1995,75,0.00000009,0.00000001
1995,76,0.00002653,0.00000115
