year,product_chapter,importer,value_trln_USD,quantity_mln_metric_tons
1995,10,SAU,0.00000309,0.00167865
1995,10,ETH,0.00000002,0.00006574
1995,11,ETH,0.00000005,0.00016310
1995,12,SAU,0.00000007,0.00007500
1995,13,FRA,0.00000015,0.00003970
1995,13,NLD,0.00000001,0.00000300
1995,13,SAU,0.00000001,0.00000100
1995,13,CHE,0.00000001,0.00000007
1995,13,ITA,0.00000000,0.00000005
1995,15,ETH,0.00000032,0.00074888
1995,16,ETH,0.00000001,0.00001112
1995,17,ETH,0.00000053,0.00141306
1995,17,COM,0.00000002,0.00004000
1995,19,ETH,0.00000003,0.00005015
1995,20,ETH,0.00000005,0.00005181
1995,20,ESP,0.00000002,0.00001388
1995,20,DEU,0.00000000,0.00000188
1995,21,ETH,0.00000012,0.00006812
1995,22,DEU,0.00000005,0.00000994
1995,22,ETH,0.00000002,0.00008724
1995,22,NLD,0.00000002,0.00002468
1995,22,GRL,0.00000000,0.00000018
1995,24,COM,0.00000019,0.00002480
1995,24,ETH,0.00000007,0.00000822
1995,25,ETH,0.00000002,0.00020400
1995,25,ITA,0.00000000,0.00000018
1995,26,ITA,0.00000270,0.12071800
1995,27,UGA,0.00000250,0.00183170
1995,27,ITA,0.00000064,0.01321000
1995,27,ETH,0.00000028,0.00074465
1995,27,BDI,0.00000001,0.00002482
1995,28,PRT,0.00000002,0.00002000
1995,28,ETH,0.00000002,0.00004600
1995,29,DNK,0.00000002,0.00000090
1995,29,SAU,0.00000002,0.00001319
1995,30,ETH,0.00000011,0.00000841
1995,30,HKG,0.00000002,0.00000012
1995,30,JPN,0.00000002,0.00000013
1995,30,FRA,0.00000002,0.00000050
1995,30,NLD,0.00000001,0.00000023
1995,30,Other,0.00000001,0.00000041
1995,32,ETH,0.00000017,0.00011323
1995,33,ETH,0.00000022,0.00007349
1995,33,SDN,0.00000000,0.00000014
1995,34,ETH,0.00000100,0.00197194
1995,34,UGA,0.00000000,0.00000325
1995,35,ETH,0.00000002,0.00000256
1995,36,ETH,0.00000005,0.00005816
1995,37,ETH,0.00000002,0.00000528
1995,37,FRA,0.00000000,0.00000001
1995,38,ETH,0.00000041,0.00011239
1995,38,UGA,0.00000001,0.00015135
1995,38,ESP,0.00000000,0.00000000
1995,39,ETH,0.00000092,0.00102304
1995,39,SAU,0.00000000,0.00000025
1995,40,ETH,0.00000210,0.00105566
1995,41,GRC,0.00000035,0.00007032
1995,41,HKG,0.00000017,0.00002887
1995,41,ESP,0.00000014,0.00002262
1995,41,TUR,0.00000013,0.00002705
1995,41,ITA,0.00000007,0.00001419
1995,42,ETH,0.00000001,0.00000419
1995,44,NLD,0.00000001,0.00001231
1995,44,ETH,0.00000000,0.00000313
1995,44,SAU,0.00000000,0.00000350
1995,47,ESP,0.00000095,0.00101400
1995,47,ETH,0.00000004,0.00019300
1995,48,ETH,0.00000026,0.00007760
1995,49,ETH,0.00000001,0.00002433
1995,49,NOR,0.00000000,0.00000013
1995,49,USA,0.00000000,0.00000000
1995,49,UGA,0.00000000,0.00000038
1995,51,FRA,0.00000008,0.00000020
1995,51,DEU,0.00000000,0.00000200
1995,52,ETH,0.00000012,0.00005135
1995,52,DEU,0.00000002,0.00002800
1995,54,ETH,0.00000008,0.00001475
1995,55,ETH,0.00000502,0.00139743
1995,56,ETH,0.00000002,0.00000113
1995,57,PRT,0.00000002,0.00000003
1995,57,ETH,0.00000002,0.00000360
1995,58,ETH,0.00000005,0.00001594
1995,59,ETH,0.00000009,0.00003432
1995,59,MWI,0.00000001,0.00000350
1995,60,FIN,0.00000000,0.00000007
1995,61,ETH,0.00000009,0.00000941
1995,61,DEU,0.00000001,0.00000020
1995,61,SAU,0.00000000,0.00000010
1995,62,ETH,0.00000022,0.00001945
1995,63,ETH,0.00000015,0.00007101
1995,63,HUN,0.00000001,0.00002030
1995,63,SAU,0.00000000,0.00000100
1995,64,FRA,0.00000001,0.00000040
1995,64,ETH,0.00000000,0.00000013
1995,66,ETH,0.00000002,0.00000616
1995,68,ETH,0.00000017,0.00006325
1995,68,DEU,0.00000004,0.00002488
1995,68,SAU,0.00000000,0.00000337
1995,69,ETH,0.00000025,0.00026108
1995,70,ETH,0.00000017,0.00029335
1995,71,ITA,0.00000218,0.00000012
1995,71,ISR,0.00000087,0.00000000
1995,71,DEU,0.00000006,0.00000207
1995,71,CHN,0.00000005,0.00000000
1995,71,IRL,0.00000002,0.00000000
1995,71,Other,0.00000001,0.00000000
1995,72,ETH,0.00000246,0.00348069
1995,72,IND,0.00000015,0.00081200
1995,72,FRA,0.00000011,0.00023110
1995,72,DEU,0.00000006,0.00006140
1995,73,ETH,0.00000099,0.00094583
1995,73,KOR,0.00000026,0.00033300
1995,73,NLD,0.00000005,0.00003425
1995,73,UGA,0.00000002,0.00001765
1995,73,SAU,0.00000000,0.00000050
1995,74,NLD,0.00000004,0.00002140
1995,74,SGP,0.00000004,0.00001900
1995,74,IND,0.00000002,0.00001800
1995,74,ETH,0.00000000,0.00000058
1995,76,JPN,0.00000016,0.00012000
1995,76,ETH,0.00000009,0.00003442
1995,76,IND,0.00000006,0.00004510
1995,78,IND,0.00000001,0.00006000
1995,79,BEL,0.00000001,0.00000500
1995,80,PRT,0.00000024,0.00057650
1995,80,DEU,0.00000004,0.00006819
1995,80,NLD,0.00000003,0.00002014
1995,80,ETH,0.00000003,0.00003857
1995,81,DEU,0.00000003,0.00004010
1995,81,ETH,0.00000000,0.00000100
1995,82,ETH,0.00000025,0.00015065
1995,82,DEU,0.00000000,0.00000027
1995,83,ETH,0.00000013,0.00005893
1995,84,ETH,0.00000252,0.00046475
1995,84,ITA,0.00000013,0.00001417
1995,84,FRA,0.00000012,0.00000573
1995,84,DEU,0.00000002,0.00000035
1995,84,UGA,0.00000001,0.00000315
1995,84,Other,0.00000001,0.00000061
1995,85,ETH,0.00000331,0.00217837
1995,85,DEU,0.00000001,0.00000051
1995,85,FRA,0.00000000,0.00000031
1995,85,CHE,0.00000000,0.00000002
1995,85,BEL,0.00000000,0.00000001
1995,85,Other,0.00000000,0.00000018
1995,86,ETH,0.00000001,0.00000256
1995,87,ETH,0.00000450,0.00055347
1995,87,FRA,0.00000006,0.00001432
1995,87,DEU,0.00000003,0.00000481
1995,87,UGA,0.00000001,0.00000237
1995,87,MDG,0.00000001,0.00000150
1995,87,Other,0.00000001,0.00000238
1995,89,ESP,0.00000003,0.00000096
1995,89,ETH,0.00000000,0.00000200
1995,90,SAU,0.00000048,0.00012650
1995,90,ETH,0.00000017,0.00003429
1995,90,GBR,0.00000007,0.00001680
1995,90,NLD,0.00000003,0.00000433
1995,90,USA,0.00000003,0.00000000
1995,90,Other,0.00000001,0.00000010
1995,91,ETH,0.00000001,0.00000200
1995,92,ETH,0.00000000,0.00000002
1995,94,ETH,0.00000033,0.00007009
1995,95,ETH,0.00000002,0.00003083
1995,96,ETH,0.00000006,0.00001456
1995,96,SAU,0.00000001,0.00000313
1995,97,CHE,0.00000016,0.00000000
1995,97,FRA,0.00000008,0.00000000
1996,10,ESP,0.00000006,0.00000070
1996,12,NLD,0.00000003,0.00002970
1996,13,GBR,0.00000008,0.00002040
1996,13,FRA,0.00000003,0.00001200
1996,13,SAU,0.00000001,0.00000906
1996,13,CHE,0.00000000,0.00000007
1996,15,SGP,0.00000008,0.00011808
1996,17,DNK,0.00000053,0.00456070
1996,20,ESP,0.00000013,0.00007853
1996,22,ZA1,0.00000002,0.00001531
