year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00152056,13.15172882
1995,Tin; articles thereof,0.00135168,3.43791937
1995,Pharmaceutical products,0.00090330,0.13459058
1995,Food Related,0.00053005,0.38514572
1995,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00025272,0.08636046
1995,Other,0.00073729,0.60452403
1996,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00174990,13.55178053
1996,Tin; articles thereof,0.00143926,3.59331133
1996,Pharmaceutical products,0.00085040,0.12925597
1996,Food Related,0.00067202,0.58344057
1996,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00015905,0.07663894
1996,Other,0.00093907,0.98609641
1997,Tin; articles thereof,0.00173252,4.04392029
1997,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00160199,12.30354925
1997,Pharmaceutical products,0.00113316,0.16297801
1997,Food Related,0.00062361,0.56343573
1997,Fabrics; knitted or crocheted,0.00018779,0.01500797
1997,Other,0.00078557,0.94299176
1998,Tin; articles thereof,0.00154961,3.95800578
1998,Pharmaceutical products,0.00114225,0.16799863
1998,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00107540,14.01958066
1998,Food Related,0.00066986,0.35982926
1998,Fabrics; knitted or crocheted,0.00021177,0.06017185
1998,Other,0.00078961,0.71576636
1999,Tin; articles thereof,0.00156076,4.24525882
1999,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00141806,13.31087960
1999,Pharmaceutical products,0.00088029,0.16077067
1999,Food Related,0.00077210,0.54656630
1999,Fabrics; knitted or crocheted,0.00023296,0.03732602
1999,Other,0.00082160,0.80594668
2000,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00249185,13.77243424
2000,Tin; articles thereof,0.00128928,4.25501473
2000,Food Related,0.00069821,0.75639899
2000,Pharmaceutical products,0.00050447,0.09876725
2000,Fabrics; knitted or crocheted,0.00021271,0.03686574
2000,Other,0.00082939,1.06447882
2001,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00202053,14.46120097
2001,Tin; articles thereof,0.00144588,3.96970040
2001,Food Related,0.00074842,0.72806256
2001,Pharmaceutical products,0.00051182,0.11789527
2001,Fabrics; knitted or crocheted,0.00023976,0.06932227
2001,Other,0.00086193,0.85960374
2002,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00222015,14.04889131
2002,Tin; articles thereof,0.00154467,4.31961368
2002,Food Related,0.00085913,0.64739498
2002,Pharmaceutical products,0.00047492,0.10070702
2002,Fabrics; knitted or crocheted,0.00027336,0.07533495
2002,Other,0.00082059,1.03840030
2003,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00294597,15.26584935
2003,Tin; articles thereof,0.00184697,4.70143746
2003,Food Related,0.00098809,0.76400903
2003,Pharmaceutical products,0.00054592,0.12584260
2003,Fabrics; knitted or crocheted,0.00029869,0.05263169
2003,Other,0.00101869,0.86152001
2004,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00539306,21.78699577
2004,Tin; articles thereof,0.00193514,4.35066602
2004,Food Related,0.00104279,0.75350614
2004,Pharmaceutical products,0.00058167,0.15148182
2004,Fabrics; knitted or crocheted,0.00035622,0.06061836
2004,Other,0.00105957,0.91761243
2005,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00662750,21.31342595
2005,Tin; articles thereof,0.00213137,4.25541780
2005,Food Related,0.00126273,0.77790791
2005,Pharmaceutical products,0.00074188,0.15191260
2005,Fabrics; knitted or crocheted,0.00038248,0.06249726
