imports_trln_USD,exports_trln_USD
0.00138545,0.00007171
0.00007817,0.00000134
0.00008906,0.00003766
0.00000699,0.00000566
0.00000197,0.00000106
0.00067746,0.00000607
0.00003795,0.00000122
0.00035547,0.00004574
0.00000894,0.00000577
0.00001506,0.00000843
0.00019024,0.00002141
0.00002748,0.00002447
0.00001491,0.00000486
0.00014939,0.00000971
0.00019563,0.00000487
0.00010611,0.00002966
0.00013357,0.00000588
0.00026155,0.00308773
0.00011454,0.00003148
0.00039452,0.00001792
0.00025293,0.00005208
0.00002516,0.00008925
0.00018311,0.00001178
0.00004503,0.00003118
0.00004047,0.00001419
0.00001909,0.00000105
0.00000464,0.00000047
0.00004827,0.00000048
0.00020188,0.00002452
0.00062507,0.00004570
0.00040228,0.00001217
0.00000745,0.00001200
0.00000772,0.00000954
0.00000089,0.00000009
0.00059761,0.00001462
0.00000060,0.00000001
0.00000064,0.00000227
0.00005938,0.00000025
0.00060153,0.00002948
0.00003897,0.00001424
0.00000965,0.00001340
0.00004536,0.00000385
0.00017405,0.00068075
0.00001787,0.00001825
0.00021100,0.00002068
0.00017498,0.00005726
0.00001627,0.00000775
0.00000559,0.00006103
0.00001132,0.00000229
0.00002553,0.00000338
0.00000908,0.00001051
0.00009237,0.00023283
0.00016790,0.00028389
0.00004224,0.00009525
0.00006822,0.00001989
0.00000179,0.00000085
0.00000149,0.00000001
0.00000157,0.00000006
0.00003178,0.00000499
0.00005422,0.00002795
0.00013596,0.00021910
0.00011710,0.00006600
0.00081629,0.00027172
0.00039042,0.00002893
0.00011360,0.00001808
0.00000651,0.00000019
0.00008503,0.00024383
0.00000796,0.00000017
0.00001788,0.00000006
0.00003192,0.00007100
0.00001062,0.00000590
0.00005706,0.00001528
0.00005665,0.00000496
0.00224539,0.00007610
0.00121664,0.00003256
0.00013926,0.00000046
0.00121214,0.00000999
0.00035663,0.00002348
0.00012137,0.00000593
0.00048797,0.00002917
0.00003642,0.00000119
0.00000310,0.00000053
0.00002509,0.00000207
0.00004807,0.00004144
0.00004474,0.00000149
0.00003527,0.00000694
0.00000202,0.00000883
0.00165307,0.00015095
0.00003426,0.00000347
0.00011767,0.00003970
0.00000890,0.00001393
0.00000207,0.00000095
0.00060710,0.00000813
0.00003246,0.00000024
0.00026337,0.00004633
0.00000839,0.00000843
0.00001708,0.00000572
0.00018023,0.00001767
0.00003000,0.00002716
0.00002073,0.00000693
0.00021224,0.00001217
0.00020859,0.00000344
0.00016403,0.00003817
0.00018232,0.00000708
0.00034094,0.00379914
0.00011503,0.00004456
0.00041838,0.00001961
0.00027503,0.00006597
0.00005867,0.00001976
0.00018328,0.00000915
0.00004699,0.00003311
0.00003630,0.00001456
0.00001911,0.00000096
0.00000909,0.00000123
0.00004640,0.00000044
0.00022627,0.00002007
0.00065910,0.00004815
0.00046390,0.00002360
0.00000567,0.00001392
0.00001054,0.00000875
0.00000137,0.00000003
0.00054314,0.00000765
0.00000061,0.00000005
0.00000033,0.00000332
0.00005941,0.00000040
0.00046465,0.00002327
0.00004622,0.00001301
0.00000919,0.00001421
0.00003501,0.00000243
0.00017285,0.00043040
0.00002170,0.00001262
0.00019707,0.00001346
0.00019816,0.00003589
0.00001849,0.00000829
0.00000386,0.00007959
0.00001231,0.00000234
0.00002600,0.00000202
0.00001652,0.00001173
0.00012272,0.00026395
0.00020579,0.00029054
0.00003657,0.00010347
0.00004165,0.00002041
0.00000180,0.00000139
0.00000081,0.00000002
0.00000092,0.00000002
0.00003912,0.00000523
0.00006045,0.00003398
0.00011512,0.00018059
0.00011261,0.00006374
0.00119777,0.00012702
0.00041597,0.00003088
0.00012091,0.00001249
0.00000411,0.00000010
0.00008395,0.00021450
0.00000619,0.00000011
0.00001276,0.00000005
0.00003469,0.00007936
0.00000828,0.00000586
0.00005830,0.00001950
0.00005408,0.00000376
0.00274707,0.00009673
0.00133900,0.00002553
0.00013300,0.00000024
0.00125865,0.00001187
0.00056660,0.00000254
0.00006857,0.00000286
0.00050246,0.00004159
0.00002896,0.00000149
0.00000269,0.00000148
0.00006812,0.00000167
0.00004665,0.00004624
0.00005189,0.00000196
0.00003808,0.00000671
0.00000434,0.00003332
0.00184209,0.00007843
0.00002775,0.00000107
0.00013436,0.00004426
0.00001035,0.00000066
0.00000164,0.00000150
0.00058785,0.00001363
0.00003236,0.00000056
0.00038828,0.00002678
0.00000866,0.00000572
0.00002481,0.00000708
0.00020859,0.00001818
0.00003600,0.00003253
0.00001693,0.00000593
0.00024488,0.00000876
0.00019476,0.00000512
0.00015895,0.00006354
0.00017872,0.00000673
0.00041171,0.00334600
0.00013126,0.00005148
0.00043206,0.00002350
0.00034349,0.00007003
0.00002399,0.00005209
0.00018874,0.00000636
0.00005435,0.00003689
0.00004252,0.00002085
0.00002176,0.00000145
0.00000927,0.00000093
0.00005044,0.00000093
0.00021459,0.00002326
0.00073446,0.00005014
0.00045249,0.00002681
0.00000239,0.00002590
0.00000966,0.00000768
0.00000143,0.00000006
0.00060099,0.00000624
0.00000121,0.00000001
0.00000051,0.00000268
0.00005391,0.00000000
0.00045230,0.00002374
0.00003341,0.00001309
0.00000829,0.00001530
0.00003389,0.00000094
0.00017885,0.00061431
0.00001703,0.00001232
0.00023028,0.00003370
0.00021563,0.00003857
0.00001750,0.00000924
0.00000450,0.00009270
0.00002284,0.00000206
0.00002954,0.00000334
0.00002959,0.00001127
0.00016588,0.00033100
0.00017957,0.00030128
0.00002062,0.00011173
0.00004775,0.00001367
0.00000147,0.00000075
0.00000045,0.00000004
0.00000396,0.00000004
0.00004756,0.00001084
0.00007953,0.00005579
0.00014305,0.00014022
0.00021469,0.00009124
0.00103154,0.00020031
0.00047882,0.00004025
0.00011024,0.00001397
0.00000455,0.00000004
0.00006730,0.00022465
0.00001499,0.00000000
0.00002023,0.00000115
0.00004470,0.00003646
0.00001101,0.00000563
0.00006606,0.00003498
0.00005840,0.00000571
0.00292411,0.00008153
0.00145619,0.00003257
0.00014901,0.00000005
0.00124676,0.00001548
0.00100763,0.00000335
0.00015659,0.00000104
0.00056457,0.00003273
0.00003704,0.00000264
0.00000307,0.00000066
0.00028189,0.00000306
0.00006680,0.00005677
0.00005762,0.00000282
0.00004197,0.00000633
0.00000334,0.00002824
0.00141458,0.00013007
0.00003997,0.00000147
0.00011387,0.00004480
0.00000769,0.00000172
0.00000229,0.00000105
0.00063825,0.00000775
0.00007081,0.00000070
0.00029428,0.00002855
0.00000945,0.00000546
0.00002138,0.00000609
0.00024395,0.00002019
0.00004868,0.00005578
0.00001568,0.00000404
0.00024749,0.00001054
0.00033683,0.00000778
0.00020782,0.00006388
0.00020329,0.00000548
0.00049079,0.00208830
0.00014085,0.00007825
0.00045704,0.00001563
0.00040429,0.00008501
0.00006928,0.00006769
0.00022791,0.00000509
0.00006769,0.00002570
0.00005490,0.00003140
0.00002646,0.00000082
0.00001028,0.00000097
0.00005502,0.00000035
0.00023506,0.00001815
0.00073482,0.00005733
0.00044447,0.00002729
0.00000146,0.00002601
0.00001096,0.00000577
0.00000087,0.00000009
0.00067979,0.00000626
0.00000065,0.00000001
0.00000046,0.00000150
0.00006547,0.00000004
0.00053896,0.00002918
0.00003348,0.00001713
0.00000791,0.00001258
0.00003355,0.00000097
0.00017087,0.00053767
0.00001398,0.00001424
0.00024184,0.00002389
0.00021391,0.00001727
0.00002612,0.00000685
0.00000540,0.00012197
0.00001983,0.00000297
0.00002989,0.00000171
0.00002719,0.00000868
0.00014610,0.00035112
0.00022606,0.00035910
0.00001820,0.00011311
0.00006048,0.00001280
0.00000178,0.00000198
0.00000053,0.00000043
0.00000171,0.00000003
0.00004964,0.00000699
0.00008021,0.00004931
0.00013760,0.00017449
0.00018620,0.00007160
0.00130751,0.00019781
0.00068089,0.00003302
0.00017670,0.00000400
0.00000441,0.00000003
0.00008586,0.00017258
0.00000888,0.00000004
0.00002093,0.00000035
0.00005604,0.00008423
0.00001150,0.00000812
0.00007190,0.00003101
0.00006963,0.00000477
0.00327962,0.00011219
0.00181253,0.00004074
0.00006373,0.00000073
0.00139705,0.00001044
0.00038391,0.00000615
