year,product_chapter,importer,value_trln_USD,quantity_mln_metric_tons
1995,10,SAU,0.00000163,0.00073206
1995,10,ISR,0.00000014,0.00000181
1995,10,DJI,0.00000005,0.00017143
1995,10,OMN,0.00000001,0.00000119
1995,10,ITA,0.00000000,0.00000009
1995,10,Other,0.00000000,0.00000009
1995,11,ISR,0.00000008,0.00027437
1995,11,USA,0.00000005,0.00007074
1995,11,IND,0.00000001,0.00003500
1995,11,ZMB,0.00000000,0.00000067
1995,11,GRC,0.00000000,0.00000095
1995,12,EGY,0.00001739,0.00496750
1995,12,USA,0.00000300,0.00304274
1995,12,JPN,0.00000218,0.00228430
1995,12,TUR,0.00000153,0.00151386
1995,12,SAU,0.00000112,0.00105030
1995,12,Other,0.00000508,0.00529984
1995,13,DEU,0.00000089,0.00043801
1995,13,CHN,0.00000071,0.00068476
1995,13,SAU,0.00000028,0.00003080
1995,13,DNK,0.00000028,0.00006000
1995,13,FRA,0.00000023,0.00006358
1995,13,Other,0.00000037,0.00015473
1995,14,DJI,0.00002785,0.00408319
1995,14,GBR,0.00000195,0.00005035
1995,14,DEU,0.00000000,0.00000010
1995,14,NLD,0.00000000,0.00000009
1995,14,ITA,0.00000000,0.00000002
1995,14,Other,0.00000000,0.00000002
1995,15,USA,0.00000054,0.00013033
1995,15,JPN,0.00000040,0.00010592
1995,15,DEU,0.00000025,0.00006182
1995,15,GBR,0.00000006,0.00002097
1995,15,NLD,0.00000006,0.00001700
1995,17,ESP,0.00000179,0.01783987
1995,17,DEU,0.00000055,0.00685050
1995,17,EGY,0.00000002,0.00001777
1995,19,SAU,0.00000011,0.00011382
1995,20,SAU,0.00000216,0.00051956
1995,20,OMN,0.00000001,0.00000318
1995,20,YEM,0.00000001,0.00000300
1995,20,PER,0.00000000,0.00000162
1995,20,EST,0.00000000,0.00000054
1995,21,TZA,0.00000000,0.00000035
1995,22,KEN,0.00000002,0.00006325
1995,22,USA,0.00000001,0.00000762
1995,22,DJI,0.00000001,0.00001394
1995,22,UGA,0.00000000,0.00000800
1995,22,NLD,0.00000000,0.00000119
1995,23,HUN,0.00000041,0.00059088
1995,23,DJI,0.00000008,0.00076300
1995,23,GBR,0.00000000,0.00000975
1995,24,ZMB,0.00000000,0.00000137
1995,25,ITA,0.00000020,0.00045174
1995,25,KEN,0.00000006,0.00055000
1995,25,ROU,0.00000004,0.00019000
1995,26,USA,0.00000026,0.00000731
1995,26,ITA,0.00000005,0.00005500
1995,27,DJI,0.00000445,0.04898237
1995,27,YEM,0.00000237,0.02362571
1995,27,KWT,0.00000128,0.01155991
1995,27,SDN,0.00000114,0.01098221
1995,27,IND,0.00000109,0.01243147
1995,27,Other,0.00000234,0.02149659
1995,28,IDN,0.00000004,0.00003300
1995,28,GBR,0.00000000,0.00001363
1995,30,TCD,0.00000013,0.00000156
1995,30,HKG,0.00000008,0.00000210
1995,30,SAU,0.00000006,0.00002903
1995,30,TZA,0.00000005,0.00000175
1995,30,ISR,0.00000004,0.00000000
1995,30,Other,0.00000018,0.00002065
1995,32,DEU,0.00000130,0.00004500
1995,32,ESP,0.00000006,0.00000225
1995,32,MEX,0.00000002,0.00000546
1995,32,AUT,0.00000001,0.00000010
1995,33,DEU,0.00000070,0.00002500
1995,33,USA,0.00000052,0.00001507
1995,33,ESP,0.00000045,0.00001419
1995,33,JPN,0.00000005,0.00000100
1995,33,AUT,0.00000001,0.00000021
1995,33,Other,0.00000001,0.00000526
1995,34,CHL,0.00000002,0.00001622
1995,37,SWE,0.00000000,0.00000001
1995,38,MEX,0.00000001,0.00000009
1995,38,UGA,0.00000001,0.00000481
1995,38,ZA1,0.00000000,0.00000000
1995,39,SDN,0.00000052,0.00031500
1995,39,MEX,0.00000004,0.00001119
1995,39,SWE,0.00000002,0.00000200
1995,39,IDN,0.00000002,0.00001600
1995,39,UGA,0.00000001,0.00000062
1995,39,Other,0.00000001,0.00000520
1995,40,IDN,0.00000104,0.00050000
1995,40,MEX,0.00000004,0.00001500
1995,40,SAU,0.00000000,0.00000075
1995,40,OMN,0.00000000,0.00000006
1995,41,ITA,0.00003860,0.00754471
1995,41,GBR,0.00002433,0.00203228
1995,41,USA,0.00000587,0.00051131
1995,41,JPN,0.00000557,0.00041001
