year,product_chapter,exporter,value_trln_USD,quantity_mln_metric_tons
1995,10,DEU,0.00001950,0.09462116
1995,10,SWE,0.00001211,0.06088091
1995,10,DNK,0.00000462,0.02190568
1995,10,ITA,0.00000384,0.00458218
1995,10,ESP,0.00000343,0.00481323
1995,10,Other,0.00000872,0.02128485
1995,11,DEU,0.00000572,0.00886284
1995,11,NLD,0.00000529,0.00771943
1995,11,SWE,0.00000285,0.00566287
1995,11,GBR,0.00000251,0.00507745
1995,11,DNK,0.00000124,0.00123911
1995,11,Other,0.00000192,0.00168632
1995,12,USA,0.00003046,0.10929734
1995,12,NLD,0.00001223,0.00110666
1995,12,ARG,0.00000941,0.03580212
1995,12,GBR,0.00000872,0.02587912
1995,12,DEU,0.00000823,0.02011553
1995,12,Other,0.00002629,0.05578063
1995,13,USA,0.00000244,0.00042261
1995,13,CHE,0.00000218,0.00011787
1995,13,DNK,0.00000166,0.00012953
1995,13,DEU,0.00000153,0.00034159
1995,13,FRA,0.00000114,0.00008270
1995,13,Other,0.00000343,0.00060309
1995,14,MEX,0.00000070,0.00053222
1995,14,USA,0.00000010,0.00009453
1995,14,IDN,0.00000007,0.00001775
1995,14,NLD,0.00000007,0.00001798
1995,14,CHN,0.00000007,0.00002797
1995,14,Other,0.00000030,0.00013547
1995,15,SWE,0.00002087,0.01998662
1995,15,DEU,0.00001152,0.01037157
1995,15,DNK,0.00000835,0.00941401
1995,15,MYS,0.00000768,0.01013971
1995,15,NLD,0.00000644,0.00466452
1995,15,Other,0.00001218,0.00917431
1995,16,SWE,0.00002101,0.00593643
1995,16,NOR,0.00001667,0.00269914
1995,16,DNK,0.00000796,0.00177728
1995,16,THA,0.00000753,0.00340127
1995,16,DEU,0.00000352,0.00084328
1995,16,Other,0.00001060,0.00302920
1995,17,SWE,0.00001147,0.00435469
1995,17,DNK,0.00000985,0.00323163
1995,17,FJI,0.00000979,0.01594855
1995,17,DEU,0.00000956,0.00831296
1995,17,BRA,0.00000834,0.02137148
1995,17,Other,0.00003483,0.04727251
1995,18,NLD,0.00002401,0.00602953
1995,18,SWE,0.00002035,0.00456770
1995,18,DEU,0.00001157,0.00314162
1995,18,GBR,0.00000740,0.00201926
1995,18,BEL,0.00000737,0.00039529
1995,18,Other,0.00001405,0.00303630
1995,19,SWE,0.00002217,0.00770235
1995,19,DNK,0.00001411,0.00427538
1995,19,GBR,0.00001207,0.00525734
1995,19,NLD,0.00000941,0.00238478
1995,19,DEU,0.00000897,0.00260452
1995,19,Other,0.00002558,0.01135356
1995,20,DNK,0.00004866,0.01269746
1995,20,SWE,0.00002222,0.00863672
1995,20,BRA,0.00001710,0.00859691
1995,20,NLD,0.00001539,0.01038607
1995,20,USA,0.00001176,0.01162703
1995,20,Other,0.00008880,0.05477074
1995,21,SWE,0.00004148,0.01725390
1995,21,IRL,0.00001739,0.00044411
1995,21,NLD,0.00001617,0.00492236
1995,21,DNK,0.00001219,0.00259271
1995,21,IND,0.00001185,0.00109241
1995,21,Other,0.00005200,0.01233539
1995,22,FRA,0.00004327,0.00707481
1995,22,GBR,0.00002157,0.00800223
1995,22,ITA,0.00001585,0.00711372
1995,22,ESP,0.00001547,0.00554970
1995,22,DEU,0.00001001,0.00529088
1995,22,Other,0.00004446,0.02304357
1995,23,DEU,0.00002085,0.01673372
1995,23,DNK,0.00001610,0.02316488
1995,23,NOR,0.00001244,0.03919247
1995,23,NLD,0.00001148,0.02032423
1995,23,SWE,0.00001056,0.02335854
1995,23,Other,0.00003095,0.03949956
1995,24,USA,0.00001767,0.00162352
1995,24,NLD,0.00000990,0.00032442
1995,24,TUR,0.00000917,0.00227913
1995,24,BRA,0.00000764,0.00120884
1995,24,DEU,0.00000737,0.00071166
1995,24,Other,0.00001735,0.00319509
1995,25,GBR,0.00010440,0.92013758
1995,25,USA,0.00007974,0.42885378
1995,25,DEU,0.00002166,0.26846110
1995,25,SWE,0.00002132,0.97804733
1995,25,DNK,0.00001741,0.22317530
1995,25,Other,0.00007122,1.06595452
1995,26,AUS,0.00016520,0.13022557
1995,26,SWE,0.00011128,2.09161055
1995,26,CHL,0.00005344,0.03274804
1995,26,PRT,0.00005203,0.10631264
1995,26,NOR,0.00003992,0.07786234
1995,26,Other,0.00018485,1.28123648
1995,27,RUS,0.00097403,5.67731032
1995,27,NOR,0.00052784,3.60123332
1995,27,GBR,0.00036951,2.72481153
1995,27,SWE,0.00013913,0.46092740
1995,27,POL,0.00012738,2.64414272
1995,27,Other,0.00041857,3.77802074
1995,28,DEU,0.00009305,0.33602095
1995,28,AUS,0.00007618,0.00406782
1995,28,RUS,0.00006745,0.02612069
1995,28,BEL,0.00004209,0.12997929
1995,28,NOR,0.00003468,0.24050957
1995,28,Other,0.00018473,0.54708836
1995,29,NLD,0.00011425,0.12729913
1995,29,DEU,0.00008225,0.03887351
1995,29,RUS,0.00007648,0.16513732
1995,29,FRA,0.00006631,0.03928530
1995,29,SWE,0.00006524,0.08335093
1995,29,Other,0.00021027,0.10631414
1995,30,DNK,0.00008343,0.00232650
1995,30,SWE,0.00008002,0.00502056
1995,30,DEU,0.00007989,0.00157842
1995,30,GBR,0.00007007,0.00125503
1995,30,NLD,0.00006296,0.00056448
1995,30,Other,0.00023593,0.01667768
1995,31,DEU,0.00002192,0.04541899
