year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,Pharmaceutical products,0.00001797,0.01810257
1995,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000361,0.00236662
1995,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000263,0.00003661
1995,Pulp of wood or other fibrous cellulosic material; recovered (waste and scrap) paper or paperboard,0.00000072,0.00102448
1995,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000071,0.00001553
1995,Other,0.00000101,0.00038171
1996,Pharmaceutical products,0.00004295,0.03366807
1996,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000486,0.00242175
1996,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000173,0.00001675
1996,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000057,0.00000719
1996,Iron or steel articles,0.00000051,0.00121829
1996,Other,0.00000169,0.00102613
1997,Pharmaceutical products,0.00004771,0.02439720
1997,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000538,0.00268127
1997,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000356,0.00003900
1997,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000322,0.00020448
1997,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000057,0.00001161
1997,Other,0.00000202,0.00144026
1998,Pharmaceutical products,0.00008322,0.04348016
1998,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000548,0.00005121
1998,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000542,0.00223661
1998,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000253,0.00024125
1998,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",0.00000100,0.00029762
1998,Other,0.00000253,0.00084889
1999,Pharmaceutical products,0.00007104,0.04236804
1999,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000845,0.00030844
1999,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000829,0.00066395
1999,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000354,0.00227501
1999,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",0.00000271,0.01403210
1999,Other,0.00000926,0.01356504
2000,Pharmaceutical products,0.00007969,0.06180612
2000,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000652,0.00438339
2000,Fertilizers,0.00000115,0.00835000
2000,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000086,0.00000316
2000,Cereals,0.00000075,0.00645000
2000,Other,0.00000190,0.00103740
2001,Pharmaceutical products,0.00006846,0.06123205
2001,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000714,0.00458990
2001,Fertilizers,0.00000107,0.00001500
2001,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000060,0.00000977
2001,Plastics and articles thereof,0.00000026,0.00004717
2001,Other,0.00000070,0.00033015
2002,Pharmaceutical products,0.00007661,0.05625108
2002,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000957,0.00407463
2002,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000025,0.00000621
2002,"Products of the milling industry; malt, starches, inulin, wheat gluten",0.00000015,0.00066000
2002,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",0.00000009,0.00000000
2002,Other,0.00000062,0.00016267
2003,Pharmaceutical products,0.00013214,0.06460335
2003,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00001376,0.00453580
2003,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000417,0.00005805
2003,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000168,0.00030313
2003,Iron or steel articles,0.00000060,0.00044758
2003,Other,0.00000117,0.00034597
2004,Pharmaceutical products,0.00011452,0.04451452
2004,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00001117,0.00427753
2004,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000090,0.00025013
2004,Fertilizers,0.00000088,0.00250000
2004,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000061,0.00207266
2004,Other,0.00000222,0.00078432
2005,Pharmaceutical products,0.00015428,0.06258713
2005,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000789,0.00288644
2005,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000112,0.00027984
2005,Copper and articles thereof,0.00000064,0.00015780
2005,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000030,0.00003514
2005,Other,0.00000126,0.00071107
2006,Pharmaceutical products,0.00013726,0.06114829
2006,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00001338,0.00502110
2006,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000102,0.00030522
2006,Plastics and articles thereof,0.00000092,0.00043152
2006,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000034,0.00007536
2006,Other,0.00000115,0.00014316
2007,Pharmaceutical products,0.00016549,0.06441790
2007,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000471,0.00128144
2007,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000123,0.00032063
2007,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000053,0.00002144
2007,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000031,0.00022894
2007,Other,0.00000130,0.00148574
2008,Pharmaceutical products,0.00016510,0.06586874
2008,"Ships, boats and floating structures",0.00001776,0.00000000
2008,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000584,0.00176067
2008,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000133,0.00029827
2008,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000044,0.00000187
2008,Other,0.00000131,0.00020676
2009,Pharmaceutical products,0.00013120,0.05543589
2009,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000572,0.00189551
2009,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000138,0.00033406
2009,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000038,0.00003968
2009,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000023,0.00000329
2009,Other,0.00000108,0.00039402
2010,Pharmaceutical products,0.00016580,0.07131137
2010,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000678,0.00162227
2010,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000174,0.00039359
2010,"Meat, fish, crustaceans, molluscs or other aquatic invertebrates, or insects; preparations thereof",0.00000025,0.00003917
2010,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000023,0.00000469
2010,Other,0.00000075,0.00033245
2011,Pharmaceutical products,0.00016958,0.05390936
2011,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000869,0.00167579
2011,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000283,0.00039624
2011,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000036,0.00003441
2011,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000032,0.00000739
2011,Other,0.00000116,0.00034858
2012,Pharmaceutical products,0.00019481,0.07294233
2012,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00001121,0.00198827
2012,"Preparations of vegetables, fruit, nuts or other parts of plants",0.00000258,0.00044768
