year,product_chapter,exporter,value_trln_USD,quantity_mln_metric_tons
1995,10,IND,0.00002778,0.10586735
1995,10,PAK,0.00001606,0.05623635
1995,10,USA,0.00001193,0.04005109
1995,10,VNM,0.00001141,0.03671015
1995,10,FRA,0.00000818,0.03019214
1995,10,Other,0.00002206,0.07003127
1995,11,FRA,0.00001824,0.06517918
1995,11,USA,0.00000597,0.01164971
1995,11,DNK,0.00000076,0.00196419
1995,11,SLE,0.00000053,0.00239681
1995,11,NLD,0.00000046,0.00163317
1995,11,Other,0.00000045,0.00219028
1995,12,FRA,0.00000020,0.00025687
1995,12,BEL,0.00000008,0.00000289
1995,12,ITA,0.00000004,0.00000881
1995,12,NLD,0.00000003,0.00000156
1995,12,DEU,0.00000002,0.00000137
1995,12,Other,0.00000002,0.00000754
1995,13,ISR,0.00000008,0.00000000
1995,13,DEU,0.00000003,0.00000089
1995,15,NLD,0.00001605,0.01737815
1995,15,BEL,0.00000258,0.00260665
1995,15,DEU,0.00000192,0.00204160
1995,15,SGP,0.00000184,0.00280964
1995,15,FRA,0.00000151,0.00114170
1995,15,Other,0.00000338,0.00450225
1995,16,MAR,0.00000188,0.00115878
1995,16,BEL,0.00000046,0.00019639
1995,16,NOR,0.00000040,0.00021150
1995,16,FRA,0.00000027,0.00007497
1995,16,NLD,0.00000022,0.00016353
1995,16,Other,0.00000030,0.00020041
1995,17,FRA,0.00002680,0.04669827
1995,17,BEL,0.00001547,0.02880689
1995,17,DEU,0.00000186,0.00344766
1995,17,BRA,0.00000137,0.00121029
1995,17,NGA,0.00000047,0.00033694
1995,17,Other,0.00000288,0.00302112
1995,18,ESP,0.00000050,0.00013918
1995,18,FRA,0.00000028,0.00008526
1995,18,ITA,0.00000016,0.00007581
1995,18,GBR,0.00000010,0.00006653
1995,18,BEL,0.00000005,0.00004019
1995,18,Other,0.00000012,0.00006718
1995,19,NLD,0.00000058,0.00034013
1995,19,ITA,0.00000057,0.00086763
1995,19,BEL,0.00000053,0.00016154
1995,19,CZE,0.00000043,0.00031018
1995,19,FRA,0.00000037,0.00014004
1995,19,Other,0.00000133,0.00090878
1995,20,ITA,0.00000599,0.00526107
1995,20,FRA,0.00000165,0.00138171
1995,20,BEL,0.00000072,0.00044904
1995,20,USA,0.00000053,0.00024282
1995,20,GBR,0.00000050,0.00019993
1995,20,Other,0.00000117,0.00155062
1995,21,ESP,0.00000768,0.00272765
1995,21,USA,0.00000247,0.00222483
1995,21,NLD,0.00000211,0.00063924
1995,21,HRV,0.00000167,0.00091300
1995,21,ITA,0.00000164,0.00138278
1995,21,Other,0.00000756,0.00422437
1995,22,FRA,0.00000327,0.00453967
1995,22,GBR,0.00000309,0.00464069
1995,22,DEU,0.00000289,0.00262740
1995,22,ESP,0.00000113,0.00169950
1995,22,USA,0.00000102,0.00146899
1995,22,Other,0.00000139,0.00176041
1995,23,FRA,0.00000013,0.00030568
1995,23,CMR,0.00000010,0.00100000
1995,23,USA,0.00000008,0.00025050
1995,23,GBR,0.00000003,0.00000002
1995,23,BEL,0.00000002,0.00002984
1995,23,Other,0.00000002,0.00010463
1995,24,AUT,0.00000989,0.00173009
1995,24,GBR,0.00000926,0.00066944
1995,24,USA,0.00000659,0.00051874
1995,24,CHE,0.00000415,0.00027255
1995,24,BEL,0.00000318,0.00055305
1995,24,Other,0.00000547,0.00106567
1995,25,ESP,0.00000506,0.11709700
1995,25,MAR,0.00000383,0.10094081
1995,25,TUR,0.00000165,0.03309043
1995,25,SCG,0.00000161,0.03281600
1995,25,FRA,0.00000131,0.01016547
1995,25,Other,0.00000469,0.06685447
1995,26,FRA,0.00000000,0.00000039
1995,26,BEL,0.00000000,0.00000300
1995,27,CIV,0.00004721,0.25548304
1995,27,FRA,0.00001102,0.01492358
1995,27,BRA,0.00000989,0.06386553
1995,27,BHS,0.00000873,0.08302481
1995,27,ITA,0.00000753,0.08473016
1995,27,Other,0.00001993,0.15502199
1995,28,BRA,0.00000303,0.01496727
1995,28,FRA,0.00000279,0.01546967
1995,28,DEU,0.00000257,0.00764131
1995,28,USA,0.00000219,0.02860806
1995,28,BEL,0.00000057,0.00131688
1995,28,Other,0.00000075,0.00152384
1995,29,FRA,0.00000102,0.00029594
1995,29,CAN,0.00000092,0.00061500
1995,29,BEL,0.00000038,0.00025617
1995,29,ITA,0.00000023,0.00008048
1995,29,CHN,0.00000021,0.00001275
1995,29,Other,0.00000058,0.00024530
1995,30,FRA,0.00001096,0.00045282
1995,30,BEL,0.00000284,0.00014251
1995,30,NLD,0.00000273,0.00020520
1995,30,ITA,0.00000040,0.00003602
1995,30,IND,0.00000037,0.00000000
1995,30,Other,0.00000195,0.00036160
1995,31,BEL,0.00000177,0.00632549
1995,31,CIV,0.00000125,0.00301519
1995,31,FRA,0.00000071,0.00312962
1995,31,JPN,0.00000069,0.00142084
1995,31,USA,0.00000061,0.00077879
1995,31,Other,0.00000092,0.00230915
1995,32,FRA,0.00000072,0.00025115
1995,32,ITA,0.00000072,0.00143640
1995,32,BRA,0.00000053,0.00048984
1995,32,USA,0.00000050,0.00025184
1995,32,CIV,0.00000024,0.00021219
1995,32,Other,0.00000118,0.00045805
1995,33,CIV,0.00000120,0.00036656
1995,33,FRA,0.00000076,0.00008110
1995,33,USA,0.00000029,0.00013144
1995,33,HKG,0.00000025,0.00021582
1995,33,CHN,0.00000024,0.00017669
1995,33,Other,0.00000101,0.00050900
1995,34,SGP,0.00000171,0.00289311
1995,34,IDN,0.00000102,0.00131883
1995,34,BEL,0.00000054,0.00049298
1995,34,USA,0.00000052,0.00044054
1995,34,CIV,0.00000051,0.00115065
1995,34,Other,0.00000293,0.00445095
