year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,Pharmaceutical products,0.00028952,0.06180804
1995,Food Related,0.00011195,0.01355125
1995,"Ships, boats and floating structures",0.00001514,0.00280300
1995,Works of art; collectors' pieces and antiques,0.00000153,0.00000000
1995,Furskins and artificial fur; manufactures thereof,0.00000144,0.00003184
1995,Other,0.00000762,0.00187919
1996,Pharmaceutical products,0.00028984,0.06615111
1996,Food Related,0.00012030,0.01621737
1996,"Ships, boats and floating structures",0.00000535,0.00125637
1996,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000400,0.00033359
1996,"Aircraft, spacecraft, and parts thereof",0.00000336,0.00001431
1996,Other,0.00001276,0.03418774
1997,Pharmaceutical products,0.00024876,0.06704057
1997,Food Related,0.00009757,0.01482221
1997,"Ships, boats and floating structures",0.00000708,0.00145853
1997,"Aircraft, spacecraft, and parts thereof",0.00000466,0.00001429
1997,Furskins and artificial fur; manufactures thereof,0.00000270,0.00006423
1997,Other,0.00000969,0.00908468
1998,Pharmaceutical products,0.00026550,0.06858735
1998,Food Related,0.00008916,0.01378823
1998,"Ships, boats and floating structures",0.00000564,0.00117860
1998,Furskins and artificial fur; manufactures thereof,0.00000184,0.00002799
1998,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000148,0.01365424
1998,Other,0.00000545,0.00249898
1999,Pharmaceutical products,0.00030344,0.08532307
1999,Food Related,0.00008666,0.01425006
1999,"Aircraft, spacecraft, and parts thereof",0.00000240,0.00000101
1999,Furskins and artificial fur; manufactures thereof,0.00000189,0.00003759
1999,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000115,0.00022812
1999,Other,0.00000754,0.00542564
2000,Pharmaceutical products,0.00029953,0.07598731
2000,Food Related,0.00007625,0.02662523
2000,"Ships, boats and floating structures",0.00001615,0.00460889
2000,"Aircraft, spacecraft, and parts thereof",0.00000765,0.00002890
2000,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000266,0.00028309
2000,Other,0.00000906,0.03078066
2001,Pharmaceutical products,0.00026175,0.11730134
2001,Food Related,0.00008171,0.01627266
2001,"Ships, boats and floating structures",0.00000712,0.00041018
2001,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000363,0.00029742
2001,Furskins and artificial fur; manufactures thereof,0.00000238,0.00005076
2001,Other,0.00000751,0.04003910
2002,Pharmaceutical products,0.00032984,0.15382063
2002,Food Related,0.00008947,0.01803538
2002,"Aircraft, spacecraft, and parts thereof",0.00000751,0.00004194
2002,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000346,0.03645766
2002,Furskins and artificial fur; manufactures thereof,0.00000225,0.00009704
2002,Other,0.00000957,0.00251437
2003,Pharmaceutical products,0.00039388,0.14433485
2003,Food Related,0.00008648,0.01587474
2003,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00001441,0.00007339
2003,Furskins and artificial fur; manufactures thereof,0.00000320,0.00003930
2003,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000306,0.03528850
2003,Other,0.00000804,0.00320264
2004,Pharmaceutical products,0.00035715,0.13523353
2004,Food Related,0.00011531,0.02065764
2004,"Ores, slag and ash",0.00002058,0.09979730
2004,Furskins and artificial fur; manufactures thereof,0.00000418,0.00004612
2004,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000301,0.02727540
2004,Other,0.00001066,0.00380869
2005,Pharmaceutical products,0.00032685,0.13344209
2005,Food Related,0.00014342,0.02622212
2005,"Ores, slag and ash",0.00002488,0.11726696
2005,Furskins and artificial fur; manufactures thereof,0.00000518,0.00005799
2005,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.00000251,0.12566370
2005,Other,0.00000952,0.02213493
2006,Pharmaceutical products,0.00035876,0.14416595
2006,Food Related,0.00013092,0.02421752
2006,"Ores, slag and ash",0.00001948,0.06977548
2006,"Ships, boats and floating structures",0.00001591,0.00233909
2006,Furskins and artificial fur; manufactures thereof,0.00000642,0.00005871
2006,Other,0.00001755,0.18378125
2007,Pharmaceutical products,0.00040850,0.14181597
2007,Food Related,0.00014210,0.02430945
2007,"Ores, slag and ash",0.00004283,0.07710183
2007,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.00001029,0.57706197
2007,Works of art; collectors' pieces and antiques,0.00000269,0.00001864
2007,Other,0.00001470,0.01648704
2008,Pharmaceutical products,0.00046948,0.12773942
2008,Food Related,0.00017223,0.02790228
2008,"Ores, slag and ash",0.00003090,0.06281765
2008,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.00001620,0.36641280
2008,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000453,0.00021509
2008,Other,0.00001655,0.01687361
2009,Pharmaceutical products,0.00039124,0.12805110
2009,Food Related,0.00013692,0.02511917
2009,"Ores, slag and ash",0.00001363,0.02582559
2009,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.00000817,0.12652555
2009,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000183,0.00013498
2009,Other,0.00000924,0.00555436
2010,Pharmaceutical products,0.00045233,0.14314659
2010,Food Related,0.00013234,0.02595450
2010,"Aircraft, spacecraft, and parts thereof",0.00001230,0.00001542
2010,"Salt; sulphur; earths, stone; plastering materials, lime and cement",0.00000866,0.32190959
2010,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000302,0.00059197
2010,Other,0.00001395,0.00999227
2011,Pharmaceutical products,0.00053100,0.13360543
2011,Food Related,0.00014899,0.02440959
2011,"Ships, boats and floating structures",0.00002393,0.00186199
2011,Iron and steel,0.00000540,0.01182791
2011,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000510,0.01800272
2011,Other,0.00001861,0.00449470
2012,Pharmaceutical products,0.00054711,0.14042540
2012,Food Related,0.00016147,0.02435836
2012,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00001369,0.00000037
2012,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000588,0.02661039
2012,"Aircraft, spacecraft, and parts thereof",0.00000285,0.00000274
2012,Other,0.00000992,0.11342549
2013,Pharmaceutical products,0.00060197,0.14791137
2013,Food Related,0.00016331,0.02382338
2013,"Ships, boats and floating structures",0.00002707,0.00146469
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00001531,0.00000044
2013,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00001067,0.03545943
2013,Other,0.00000982,0.00499763
2014,Pharmaceutical products,0.00067624,0.19614881
2014,Food Related,0.00014767,0.02049605
2014,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000504,0.02207023
2014,Iron and steel,0.00000327,0.00441636
2014,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000187,0.00170367
2014,Other,0.00000907,0.00227850
2015,Pharmaceutical products,0.00063695,0.19411764
2015,Food Related,0.00012187,0.01627125
2015,"Aircraft, spacecraft, and parts thereof",0.00001274,0.00000707
2015,"Ships, boats and floating structures",0.00000819,0.00054935
2015,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000797,0.03379668
2015,Other,0.00000732,0.00544650
2016,Pharmaceutical products,0.00073285,0.20183294
2016,Food Related,0.00011837,0.01797838
2016,"Ships, boats and floating structures",0.00004810,0.00218884
2016,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000435,0.01308217
2016,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000258,0.00039194
2016,Other,0.00000781,0.00818014
2017,Pharmaceutical products,0.00081483,0.25790101
2017,Food Related,0.00012821,0.01912347
2017,"Ships, boats and floating structures",0.00002636,0.00177653
2017,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000402,0.02210995
2017,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000302,0.00095946
2017,Other,0.00000784,0.00593517
2018,Pharmaceutical products,0.00094868,0.27245763
2018,Food Related,0.00015292,0.02092024
2018,"Ships, boats and floating structures",0.00002397,0.00001000
2018,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000232,0.00868456
2018,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000195,0.00001218
2018,Other,0.00000764,0.00679063
2019,Pharmaceutical products,0.00103867,0.22267052
2019,Food Related,0.00019879,0.02213388
2019,"Ships, boats and floating structures",0.00001941,0.00282586
2019,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000112,0.00248928
2019,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000106,0.00067868
2019,Other,0.00000683,0.00733488
2020,Pharmaceutical products,0.00107854,0.23611218
2020,Food Related,0.00021737,0.02790663
2020,"Ships, boats and floating structures",0.00002738,0.00073941
2020,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000411,0.00014743
2020,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000204,0.00003530
2020,Other,0.00000677,0.00995802
2021,Pharmaceutical products,0.00117697,0.26958077
2021,Food Related,0.00020508,0.02717782
2021,"Ships, boats and floating structures",0.00001542,0.00033061
2021,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000459,0.00001015
2021,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000392,0.00026827
2021,Other,0.00001414,0.01191065
2022,Pharmaceutical products,0.00122946,0.26392462
2022,Food Related,0.00026190,0.03465313
2022,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000840,0.00001057
2022,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000514,0.01393860
2022,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000353,0.00028242
2022,Other,0.00001413,0.02580296
2023,Pharmaceutical products,0.00132919,0.27465817
2023,Food Related,0.00026206,0.03326807
2023,"Ships, boats and floating structures",0.00002761,0.00266284
2023,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000907,0.00000050
2023,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",0.00000616,0.00885721
2023,Other,0.00002554,0.04900918
