year,product_chapter,exporter,value_trln_USD,quantity_mln_metric_tons
1995,10,USA,0.00011313,0.58061184
1995,10,CAN,0.00001056,0.04597549
1995,10,SLV,0.00000226,0.00079539
1995,10,CHL,0.00000027,0.00000654
1995,10,NLD,0.00000017,0.00000354
1995,10,Other,0.00000060,0.00059574
1995,11,BEL,0.00000677,0.01502028
1995,11,MEX,0.00000296,0.01102745
1995,11,USA,0.00000271,0.00669835
1995,11,FRA,0.00000231,0.00386668
1995,11,CAN,0.00000140,0.00389137
1995,11,Other,0.00000204,0.00425691
1995,12,USA,0.00000419,0.00400005
1995,12,SLV,0.00000172,0.00174760
1995,12,NIC,0.00000143,0.00409527
1995,12,VEN,0.00000049,0.00055906
1995,12,BRA,0.00000042,0.00032882
1995,12,Other,0.00000082,0.00073005
1995,13,USA,0.00000068,0.00010499
1995,13,DEU,0.00000064,0.00028574
1995,13,DNK,0.00000050,0.00003556
1995,13,MEX,0.00000037,0.00009718
1995,13,CRI,0.00000014,0.00002564
1995,13,Other,0.00000030,0.00011205
1995,14,USA,0.00000012,0.00008161
1995,14,CRI,0.00000004,0.00001984
1995,14,MEX,0.00000002,0.00000381
1995,14,SLV,0.00000001,0.00004195
1995,14,HND,0.00000000,0.00000021
1995,15,USA,0.00003932,0.06834783
1995,15,ARG,0.00000724,0.01222896
1995,15,HND,0.00000488,0.00674642
1995,15,SLV,0.00000404,0.00602399
1995,15,ESP,0.00000060,0.00018572
1995,15,Other,0.00000249,0.00252990
1995,16,USA,0.00000258,0.00139112
1995,16,CRI,0.00000229,0.00168992
1995,16,MEX,0.00000152,0.00081639
1995,16,THA,0.00000022,0.00018256
1995,16,SLV,0.00000011,0.00005281
1995,16,Other,0.00000055,0.00028129
1995,17,SLV,0.00000282,0.00244923
1995,17,CRI,0.00000280,0.00099235
1995,17,MEX,0.00000262,0.00694500
1995,17,USA,0.00000131,0.00078941
1995,17,ARG,0.00000059,0.00012524
1995,17,Other,0.00000164,0.00105211
1995,18,USA,0.00000159,0.00073830
1995,18,CRI,0.00000146,0.00049361
1995,18,CHL,0.00000084,0.00018463
1995,18,MEX,0.00000045,0.00019065
1995,18,HND,0.00000036,0.00012615
1995,18,Other,0.00000079,0.00050640
1995,19,SLV,0.00001622,0.01973802
1995,19,MEX,0.00000586,0.00459388
1995,19,CRI,0.00000323,0.00441496
1995,19,IRL,0.00000322,0.00070322
1995,19,USA,0.00000284,0.00175944
1995,19,Other,0.00000590,0.00263435
1995,20,USA,0.00000914,0.00846713
1995,20,CHL,0.00000351,0.00495489
1995,20,CRI,0.00000209,0.00191709
1995,20,CAN,0.00000155,0.00189187
1995,20,MEX,0.00000093,0.00122117
1995,20,Other,0.00000388,0.00439287
1995,21,USA,0.00003468,0.00406039
1995,21,SLV,0.00000812,0.00182057
1995,21,CRI,0.00000576,0.00164476
1995,21,HND,0.00000438,0.00253913
1995,21,MEX,0.00000222,0.00145790
1995,21,Other,0.00000234,0.00083508
1995,22,GBR,0.00000648,0.00130469
1995,22,USA,0.00000257,0.00331024
1995,22,SLV,0.00000241,0.00514022
1995,22,ESP,0.00000135,0.00047550
1995,22,MEX,0.00000100,0.00159505
1995,22,Other,0.00000284,0.00305662
1995,23,USA,0.00002440,0.09020283
1995,23,PER,0.00000327,0.00804057
1995,23,DEU,0.00000042,0.00004310
1995,23,MEX,0.00000028,0.00018377
1995,23,FRA,0.00000023,0.00001670
1995,23,Other,0.00000092,0.00191249
1995,24,SLV,0.00000305,0.00056274
1995,24,USA,0.00000137,0.00057041
1995,24,HND,0.00000027,0.00012401
1995,24,PAN,0.00000013,0.00003727
1995,24,TUR,0.00000004,0.00001852
1995,24,Other,0.00000004,0.00000426
1995,25,MEX,0.00001287,0.19981048
1995,25,USA,0.00000242,0.01012139
1995,25,HND,0.00000218,0.01484624
1995,25,DEU,0.00000021,0.00088411
1995,25,SLV,0.00000015,0.00189020
1995,25,Other,0.00000069,0.00249932
1995,26,BEL,0.00000020,0.00044000
1995,26,USA,0.00000014,0.00009772
1995,26,NLD,0.00000004,0.00004270
1995,26,VEN,0.00000003,0.00005880
1995,26,MEX,0.00000003,0.00013810
1995,26,Other,0.00000001,0.00002161
1995,27,VEN,0.00011642,0.79676320
1995,27,USA,0.00010807,0.40916245
1995,27,ABW,0.00010158,0.50135077
1995,27,MEX,0.00004997,0.13876271
1995,27,ECU,0.00002590,0.18036267
1995,27,Other,0.00002165,0.09382778
1995,28,USA,0.00001484,0.04400622
1995,28,MEX,0.00000821,0.03153382
1995,28,DEU,0.00000311,0.00322398
1995,28,BEL,0.00000198,0.00478781
1995,28,VEN,0.00000176,0.00314159
1995,28,Other,0.00001017,0.42385539
1995,29,USA,0.00002152,0.38974288
1995,29,DEU,0.00001784,0.00316299
1995,29,MEX,0.00001266,0.35884935
1995,29,GBR,0.00000688,0.40192663
1995,29,ITA,0.00000569,0.00135272
1995,29,Other,0.00003087,0.41145978
1995,30,PAN,0.00002578,0.00211169
1995,30,MEX,0.00001336,0.00076936
1995,30,SLV,0.00000936,0.00330772
1995,30,USA,0.00000925,0.00098402
1995,30,CRI,0.00000649,0.00058770
