year,product_chapter,importer,value_trln_USD,quantity_mln_metric_tons
1995,10,BIH,0.00001018,0.03657500
1995,10,IRN,0.00000978,0.07426000
1995,10,SVN,0.00000911,0.05218366
1995,10,ITA,0.00000497,0.00893455
1995,10,TKM,0.00000491,0.03510000
1995,10,Other,0.00001454,0.06968254
1995,11,BIH,0.00000588,0.01973300
1995,11,SVN,0.00000079,0.00123706
1995,11,CHE,0.00000008,0.00034600
1995,11,SWE,0.00000006,0.00007329
1995,11,ITA,0.00000001,0.00000400
1995,11,Other,0.00000002,0.00003314
1995,12,HUN,0.00000337,0.01261510
1995,12,DEU,0.00000140,0.00337084
1995,12,BIH,0.00000127,0.00064100
1995,12,ITA,0.00000117,0.00042719
1995,12,SVN,0.00000097,0.00029783
1995,12,Other,0.00000175,0.00062909
1995,13,SVN,0.00000015,0.00000586
1995,13,BIH,0.00000001,0.00000100
1995,13,AUT,0.00000000,0.00000020
1995,14,BIH,0.00000010,0.00007500
1995,14,ITA,0.00000004,0.00002252
1995,14,DEU,0.00000002,0.00002780
1995,14,SVN,0.00000002,0.00001151
1995,15,BIH,0.00000442,0.00301200
1995,15,SVN,0.00000377,0.00336364
1995,15,TUR,0.00000257,0.00399544
1995,15,CHE,0.00000231,0.00402216
1995,15,ITA,0.00000067,0.00215187
1995,15,Other,0.00000150,0.00242185
1995,16,BIH,0.00001485,0.00332400
1995,16,CZE,0.00000638,0.00189697
1995,16,SVN,0.00000630,0.00173325
1995,16,MKD,0.00000613,0.00206083
1995,16,USA,0.00000590,0.00219683
1995,16,Other,0.00001381,0.00580028
1995,17,BIH,0.00000298,0.00181100
1995,17,SVN,0.00000221,0.00305665
1995,17,USA,0.00000064,0.00048142
1995,17,AUS,0.00000034,0.00018019
1995,17,MKD,0.00000030,0.00007080
1995,17,Other,0.00000109,0.00304494
1995,18,BIH,0.00000662,0.00178700
1995,18,SVN,0.00000513,0.00099964
1995,18,CZE,0.00000365,0.00060135
1995,18,RUS,0.00000211,0.00045500
1995,18,AUS,0.00000125,0.00024779
1995,18,Other,0.00000478,0.00099367
1995,19,SVN,0.00001397,0.00569028
1995,19,BIH,0.00000760,0.00244800
1995,19,SAU,0.00000191,0.00115364
1995,19,AUS,0.00000087,0.00039937
1995,19,MKD,0.00000084,0.00032755
1995,19,Other,0.00000409,0.00171072
1995,20,ITA,0.00001292,0.00262478
1995,20,BIH,0.00001234,0.00731400
1995,20,DEU,0.00000669,0.00538703
1995,20,AUT,0.00000493,0.00572945
1995,20,SVN,0.00000412,0.00491911
1995,20,Other,0.00000496,0.00416161
1995,21,POL,0.00002647,0.01153200
1995,21,SVN,0.00001464,0.00376604
1995,21,BIH,0.00000905,0.00291200
1995,21,RUS,0.00000834,0.00283200
1995,21,MKD,0.00000512,0.00140199
1995,21,Other,0.00003471,0.01506644
1995,22,BIH,0.00003372,0.05167700
1995,22,DEU,0.00000891,0.00635997
1995,22,POL,0.00000543,0.01406664
1995,22,SVN,0.00000540,0.00616646
1995,22,ITA,0.00000196,0.00473305
1995,22,Other,0.00000779,0.00864723
1995,23,BIH,0.00000728,0.02641400
1995,23,ITA,0.00000576,0.04462536
1995,23,USA,0.00000511,0.00114100
1995,23,SVN,0.00000138,0.01097012
1995,23,RUS,0.00000071,0.00010600
1995,23,Other,0.00000065,0.00342948
1995,24,BIH,0.00001678,0.00182000
1995,24,EGY,0.00000360,0.00123629
1995,24,SVN,0.00000247,0.00095715
1995,24,AUT,0.00000161,0.00038437
1995,24,MKD,0.00000103,0.00056391
1995,24,Other,0.00000163,0.00261847
1995,25,ITA,0.00002268,0.92630014
1995,25,BIH,0.00000812,0.10705100
1995,25,SVN,0.00000672,0.39482165
1995,25,ESP,0.00000337,0.07356804
1995,25,DEU,0.00000173,0.00657566
1995,25,Other,0.00000805,0.09798178
1995,26,DEU,0.00000684,0.00021090
1995,26,ITA,0.00000029,0.00054220
1995,26,SVN,0.00000023,0.00450709
1995,26,POL,0.00000011,0.00154997
1995,26,IND,0.00000004,0.00009200
1995,26,Other,0.00000003,0.00029400
1995,27,SVN,0.00013849,0.90684105
1995,27,ITA,0.00011690,0.79392033
1995,27,BIH,0.00003032,0.12102000
1995,27,HUN,0.00002453,0.15495817
1995,27,AUT,0.00001523,0.11104684
1995,27,Other,0.00004447,0.28794841
1995,28,ITA,0.00000820,0.01975547
1995,28,SVN,0.00000647,0.01294525
1995,28,AUT,0.00000136,0.00347286
1995,28,CZE,0.00000092,0.00192566
1995,28,BIH,0.00000085,0.00069200
1995,28,Other,0.00000086,0.00901085
1995,29,ITA,0.00001936,0.02604073
1995,29,USA,0.00001933,0.00051664
1995,29,IRL,0.00001500,0.00006830
1995,29,FRA,0.00000831,0.00137759
1995,29,DEU,0.00000824,0.00324105
1995,29,Other,0.00003717,0.03232323
1995,30,SVN,0.00003080,0.00107559
1995,30,ITA,0.00002204,0.00719071
1995,30,RUS,0.00001966,0.00031700
1995,30,BIH,0.00000579,0.00062800
1995,30,MKD,0.00000499,0.00026029
1995,30,Other,0.00002830,0.00204049
1995,31,ITA,0.00002178,0.15068021
1995,31,SVN,0.00002059,0.12283029
1995,31,CHN,0.00001949,0.12165884
1995,31,DEU,0.00001281,0.09753934
1995,31,BIH,0.00000751,0.03447200
1995,31,Other,0.00003337,0.19975617
1995,32,BIH,0.00000318,0.00372000
1995,32,SVN,0.00000306,0.00174963
1995,32,UKR,0.00000278,0.00093000
1995,32,SVK,0.00000238,0.00071252
1995,32,RUS,0.00000149,0.00114400
1995,32,Other,0.00000606,0.00355402
1995,33,BIH,0.00000247,0.00036600
1995,33,FRA,0.00000105,0.00024545
1995,33,SVN,0.00000104,0.00010977
1995,33,DEU,0.00000086,0.00005266
1995,33,MKD,0.00000085,0.00020548
1995,33,Other,0.00000119,0.00019341
1995,34,SVN,0.00000743,0.00276324
1995,34,BIH,0.00000681,0.00549700
1995,34,MKD,0.00000262,0.00265075
1995,34,AUT,0.00000126,0.00141848
1995,34,FRA,0.00000041,0.00028205
1995,34,Other,0.00000283,0.00219472
1995,35,BIH,0.00000075,0.00051800
1995,35,SVN,0.00000043,0.00014006
1995,35,EGY,0.00000038,0.00002000
1995,35,RUS,0.00000023,0.00036500
1995,35,MKD,0.00000018,0.00006971
1995,35,Other,0.00000014,0.00008232
1995,36,NLD,0.00000126,0.00067539
1995,36,BIH,0.00000052,0.00004400
1995,36,FRA,0.00000035,0.00013905
1995,36,SVN,0.00000019,0.00006822
1995,36,ESP,0.00000014,0.00008008
1995,36,Other,0.00000020,0.00007635
1995,37,GBR,0.00000065,0.00004795
1995,37,SVN,0.00000045,0.00002553
1995,37,IND,0.00000038,0.00001119
1995,37,BIH,0.00000024,0.00001500
1995,37,DEU,0.00000013,0.00000931
1995,37,Other,0.00000067,0.00004010
1995,38,DEU,0.00000704,0.00046144
1995,38,SVN,0.00000649,0.00302438
1995,38,USA,0.00000486,0.00101100
1995,38,ITA,0.00000440,0.00145159
1995,38,BIH,0.00000427,0.00192400
1995,38,Other,0.00000892,0.00572464
1995,39,ITA,0.00018445,0.16523014
1995,39,DEU,0.00005747,0.05387621
1995,39,SVN,0.00003938,0.02219101
1995,39,BIH,0.00001159,0.00604669
1995,39,AUT,0.00000967,0.00727360
1995,39,Other,0.00005364,0.04311404
1995,40,BIH,0.00001326,0.00859900
1995,40,DEU,0.00000548,0.00159207
1995,40,SVN,0.00000547,0.00118615
1995,40,ITA,0.00000185,0.00042848
1995,40,MKD,0.00000157,0.00065557
1995,40,Other,0.00000289,0.00078699
1995,41,ITA,0.00001191,0.00411874
1995,41,SVN,0.00000578,0.00153153
1995,41,BIH,0.00000249,0.00012300
1995,41,AUT,0.00000154,0.00014533
1995,41,HUN,0.00000087,0.00036904
1995,41,Other,0.00000252,0.00067131
1995,42,DEU,0.00001292,0.00017378
1995,42,ITA,0.00000374,0.00031235
1995,42,BIH,0.00000164,0.00008800
1995,42,CHE,0.00000061,0.00001817
