year,product_chapter,imports_trln_USD,exports_trln_USD
1995,10,0.00002903,0.00061204
1995,11,0.00000897,0.00008781
1995,12,0.00004777,0.00015423
1995,13,0.00000836,0.00000214
1995,14,0.00000069,0.00000765
1995,15,0.00006338,0.00009232
1995,16,0.00001188,0.00015426
1995,17,0.00002108,0.00003214
1995,18,0.00005186,0.00005276
1995,19,0.00002903,0.00003766
1995,20,0.00013375,0.00085907
1995,21,0.00006119,0.00005398
1995,22,0.00005173,0.00026200
1995,23,0.00019956,0.00006945
1995,24,0.00005054,0.00000728
1995,25,0.00006669,0.00002050
1995,26,0.00006468,0.00000451
1995,27,0.00184432,0.00040845
1995,28,0.00012098,0.00016491
1995,29,0.00053341,0.00047457
1995,30,0.00044103,0.00028778
1995,31,0.00004570,0.00003050
1995,32,0.00015147,0.00002763
1995,33,0.00013462,0.00001606
1995,34,0.00010145,0.00001607
1995,35,0.00005106,0.00003067
1995,36,0.00000141,0.00000654
1995,37,0.00004279,0.00001808
1995,38,0.00026864,0.00007828
1995,39,0.00065189,0.00077151
1995,40,0.00023487,0.00025701
1995,41,0.00021307,0.00005201
1995,42,0.00003437,0.00007000
1995,43,0.00001394,0.00001047
1995,44,0.00019293,0.00030597
1995,45,0.00000458,0.00000026
1995,46,0.00000183,0.00000471
1995,47,0.00008746,0.00000779
1995,48,0.00055515,0.00019514
1995,49,0.00009227,0.00004834
1995,50,0.00002510,0.00006644
1995,51,0.00011679,0.00002084
1995,52,0.00019531,0.00006693
1995,53,0.00002314,0.00001472
1995,54,0.00019928,0.00005384
1995,55,0.00020234,0.00005259
1995,56,0.00003790,0.00002880
1995,57,0.00002652,0.00001417
1995,58,0.00008099,0.00000912
1995,59,0.00007200,0.00001322
1995,60,0.00010059,0.00002757
1995,61,0.00023176,0.00032925
1995,62,0.00022679,0.00074563
1995,63,0.00004837,0.00009890
1995,64,0.00020754,0.00033838
1995,65,0.00000373,0.00000227
1995,66,0.00000534,0.00000213
1995,67,0.00000655,0.00000183
1995,68,0.00007560,0.00004060
1995,69,0.00008310,0.00011348
1995,70,0.00013062,0.00020038
1995,71,0.00002973,0.00009737
1995,72,0.00041947,0.00057726
1995,73,0.00039937,0.00035228
1995,74,0.00016160,0.00013505
1995,75,0.00001013,0.00000200
1995,76,0.00040255,0.00051826
1995,78,0.00001059,0.00000323
1995,79,0.00001752,0.00000396
1995,80,0.00006671,0.00005014
1995,81,0.00002130,0.00004967
1995,82,0.00008325,0.00002798
1995,83,0.00011051,0.00006455
1995,84,0.00207830,0.00199481
1995,85,0.00179654,0.00192109
1995,86,0.00021720,0.00002764
1995,87,0.00106339,0.00097331
1995,88,0.00002954,0.00000913
1995,89,0.00000343,0.00000121
1995,90,0.00054103,0.00023302
1995,91,0.00001953,0.00000576
1995,92,0.00000522,0.00000134
1995,93,0.00000602,0.00000637
1995,94,0.00021789,0.00034393
1995,95,0.00006749,0.00007175
1995,96,0.00006330,0.00001408
1995,97,0.00000776,0.00000887
1996,10,0.00005007,0.00034521
1996,11,0.00000605,0.00004900
1996,12,0.00004000,0.00018864
1996,13,0.00000867,0.00000323
1996,14,0.00000076,0.00000665
1996,15,0.00005948,0.00010440
1996,16,0.00001196,0.00015825
1996,17,0.00002065,0.00002718
1996,18,0.00006079,0.00005328
1996,19,0.00002338,0.00005528
1996,20,0.00009160,0.00093880
1996,21,0.00005817,0.00006572
1996,22,0.00004030,0.00021064
1996,23,0.00021467,0.00008388
1996,24,0.00008238,0.00007885
1996,25,0.00007562,0.00002309
1996,26,0.00007612,0.00001476
1996,27,0.00208112,0.00054117
1996,28,0.00018354,0.00018637
1996,29,0.00046364,0.00043956
1996,30,0.00045624,0.00029960
1996,31,0.00008728,0.00002555
1996,32,0.00016842,0.00003628
1996,33,0.00015214,0.00003224
1996,34,0.00010549,0.00003062
1996,35,0.00005570,0.00003480
1996,36,0.00000357,0.00000828
1996,37,0.00004624,0.00001382
1996,38,0.00027888,0.00008726
1996,39,0.00070953,0.00070553
1996,40,0.00025800,0.00027361
1996,41,0.00021335,0.00005924
1996,42,0.00003424,0.00007496
1996,43,0.00001524,0.00001073
1996,44,0.00016596,0.00031028
1996,45,0.00000574,0.00000026
1996,46,0.00000206,0.00000405
1996,47,0.00008510,0.00000644
1996,48,0.00055762,0.00023055
1996,49,0.00007647,0.00003839
1996,50,0.00002467,0.00007290
1996,51,0.00012779,0.00002202
1996,52,0.00021571,0.00006272
1996,53,0.00002481,0.00001076
1996,54,0.00016032,0.00004708
1996,55,0.00020626,0.00005183
1996,56,0.00003957,0.00003168
