year,product_chapter,importer,value_trln_USD,quantity_mln_metric_tons
1995,10,JOR,0.00000012,0.00000102
1995,12,JOR,0.00000003,0.00067700
1995,12,IDN,0.00000000,0.00000238
1995,12,HRV,0.00000000,0.00000100
1995,14,CHN,0.00000001,0.00001000
1995,16,IDN,0.00000000,0.00000057
1995,22,SVN,0.00000000,0.00000019
1995,23,JOR,0.00000004,0.00100000
1995,25,DEU,0.00000001,0.00001050
1995,27,JOR,0.00045108,4.13018746
1995,27,HRV,0.00000608,0.05300000
1995,27,DEU,0.00000001,0.00002000
1995,27,IDN,0.00000000,0.00000531
1995,28,IDN,0.00000004,0.00004900
1995,29,CHN,0.00000017,0.00066600
1995,29,IDN,0.00000013,0.00016617
1995,30,BEL,0.00000043,0.00001005
1995,30,THA,0.00000006,0.00005549
1995,30,EGY,0.00000005,0.00000653
1995,30,CHN,0.00000001,0.00002105
1995,32,IDN,0.00000007,0.00002900
1995,32,CHN,0.00000005,0.00006600
1995,34,IDN,0.00000000,0.00000210
1995,35,CHN,0.00000007,0.00027575
1995,36,IDN,0.00000010,0.00000450
1995,38,IDN,0.00000001,0.00000500
1995,39,IDN,0.00000029,0.00025111
1995,39,CHN,0.00000023,0.00015659
1995,39,HRV,0.00000000,0.00000000
1995,39,COL,0.00000000,0.00000004
1995,40,IDN,0.00000046,0.00030163
1995,40,COL,0.00000001,0.00000026
1995,41,IDN,0.00000031,0.00001619
1995,47,IDN,0.00000012,0.00059856
1995,48,IDN,0.00000025,0.00031463
1995,49,IDN,0.00000001,0.00000006
1995,49,TUN,0.00000000,0.00000437
1995,49,EGY,0.00000000,0.00000003
1995,50,AUT,0.00000003,0.00000050
1995,51,DEU,0.00000003,0.00000131
1995,52,IDN,0.00000012,0.00006952
1995,52,ITA,0.00000001,0.00000035
1995,53,IDN,0.00000006,0.00000531
1995,55,IDN,0.00000011,0.00002047
1995,55,CHN,0.00000000,0.00000090
1995,56,IDN,0.00000006,0.00000513
1995,57,ITA,0.00000005,0.00000045
1995,57,DEU,0.00000002,0.00000020
1995,57,NLD,0.00000002,0.00000044
1995,59,IDN,0.00000006,0.00000631
1995,59,CHN,0.00000000,0.00000131
1995,60,IDN,0.00000000,0.00000021
1995,61,DEU,0.00000000,0.00000030
1995,64,IDN,0.00000002,0.00000375
1995,64,SVN,0.00000001,0.00000048
1995,65,IDN,0.00000002,0.00000900
1995,68,IDN,0.00000002,0.00000217
1995,69,IDN,0.00000003,0.00001834
1995,69,MDG,0.00000001,0.00003863
1995,70,IDN,0.00000001,0.00000600
1995,70,PRT,0.00000000,0.00000003
1995,71,DEU,0.00000000,0.00000162
1995,72,IDN,0.00000013,0.00019898
1995,72,IND,0.00000003,0.00006200
1995,72,CHN,0.00000001,0.00000500
1995,73,IDN,0.00000005,0.00001850
1995,73,DEU,0.00000002,0.00000563
1995,73,ECU,0.00000001,0.00000137
1995,73,COL,0.00000000,0.00000003
1995,74,EGY,0.00000001,0.00000131
1995,80,JOR,0.00000006,0.00013230
1995,80,DEU,0.00000004,0.00000538
1995,80,CAN,0.00000003,0.00003875
1995,80,ITA,0.00000000,0.00000106
1995,80,CHN,0.00000000,0.00001431
1995,80,Other,0.00000000,0.00000327
1995,81,NLD,0.00000003,0.00001936
1995,81,DEU,0.00000000,0.00000131
1995,82,IDN,0.00000000,0.00000036
1995,82,GRC,0.00000000,0.00000025
1995,84,IDN,0.00000055,0.00001033
1995,84,ETH,0.00000011,0.00001264
1995,84,GIN,0.00000003,0.00000831
1995,84,DEU,0.00000001,0.00000090
1995,84,ECU,0.00000001,0.00000300
1995,84,Other,0.00000001,0.00000168
1995,85,IDN,0.00000053,0.00000511
1995,85,CHN,0.00000003,0.00002484
1995,85,DEU,0.00000001,0.00000020
1995,85,ETH,0.00000000,0.00000002
1995,85,COL,0.00000000,0.00000071
1995,86,DEU,0.00000001,0.00002600
1995,87,BOL,0.00000001,0.00000153
1995,87,COL,0.00000001,0.00000041
1995,87,EGY,0.00000001,0.00000100
1995,87,ECU,0.00000000,0.00000070
1995,87,IDN,0.00000000,0.00000008
1995,90,TZA,0.00000002,0.00000720
1995,90,IDN,0.00000002,0.00000309
1995,90,ETH,0.00000000,0.00000600
1995,90,DEU,0.00000000,0.00000003
1995,90,MEX,0.00000000,0.00000001
1995,94,HRV,0.00000000,0.00000000
1995,95,CAN,0.00000003,0.00000000
1995,95,SVN,0.00000000,0.00000000
1995,95,DEU,0.00000000,0.00000003
1995,96,IDN,0.00000000,0.00000140
1995,97,DEU,0.00000000,0.00000000
1996,10,TUR,0.00000014,0.00086731
1996,11,TUR,0.00000002,0.00003046
1996,14,CHN,0.00000004,0.00003724
1996,15,IDN,0.00000002,0.00001600
1996,15,MDG,0.00000000,0.00000039
1996,16,DEU,0.00000004,0.00000010
1996,19,TUR,0.00000000,0.00000082
1996,20,SVN,0.00000000,0.00000008
1996,21,ROU,0.00000064,0.00002200
1996,22,IRL,0.00000001,0.00000381
1996,23,THA,0.00000001,0.00010750
1996,23,IDN,0.00000001,0.00001700
1996,24,COM,0.00000000,0.00000013
1996,25,IDN,0.00000041,0.00400100
1996,26,HRV,0.00000001,0.00080000
1996,27,TUR,0.00003154,0.19726626
1996,27,IND,0.00000002,0.00060025
1996,28,DEU,0.00000001,0.00000250
1996,28,IDN,0.00000000,0.00000036
1996,29,IDN,0.00000017,0.00008877
1996,30,DEU,0.00000000,0.00000005
1996,30,BEL,0.00000000,0.00000035
1996,31,IDN,0.00000000,0.00000025
1996,32,PER,0.00000001,0.00000003
1996,32,SVN,0.00000000,0.00000021
1996,34,IDN,0.00000007,0.00009600
1996,38,IDN,0.00000003,0.00000405
1996,39,IDN,0.00000056,0.00050350
1996,39,NGA,0.00000030,0.00005400
1996,39,CHN,0.00000008,0.00011950
1996,39,EGY,0.00000003,0.00005027
1996,39,KGZ,0.00000000,0.00000000
1996,39,Other,0.00000000,0.00000100
1996,40,IDN,0.00000005,0.00001287
1996,40,SVN,0.00000000,0.00000005
1996,40,COL,0.00000000,0.00000002
1996,42,ITA,0.00000001,0.00000082
1996,42,TUR,0.00000000,0.00000006
1996,44,ITA,0.00000001,0.00002990
1996,47,IDN,0.00000002,0.00012224
1996,49,PRY,0.00000002,0.00000028
1996,51,ITA,0.00000001,0.00000663
1996,52,IDN,0.00000045,0.00022571
1996,52,TUR,0.00000008,0.00001400
1996,52,SVN,0.00000000,0.00000009
1996,54,ARG,0.00000010,0.00002964
1996,54,IDN,0.00000001,0.00000022
1996,55,IDN,0.00000013,0.00007250
1996,57,DEU,0.00000010,0.00000288
1996,57,ITA,0.00000008,0.00000043
1996,57,BRA,0.00000006,0.00001250
1996,57,FIN,0.00000002,0.00000065
1996,57,CHL,0.00000000,0.00000002
1996,57,Other,0.00000000,0.00000010
1996,60,DEU,0.00000003,0.00000450
1996,61,GHA,0.00000001,0.00000103
1996,61,RUS,0.00000001,0.00000038
1996,62,DEU,0.00000001,0.00000162
1996,62,GHA,0.00000001,0.00000147
1996,63,TGO,0.00000001,0.00000337
1996,63,IDN,0.00000000,0.00000275
1996,64,IDN,0.00000005,0.00000125
1996,64,TUN,0.00000004,0.00000035
1996,66,ITA,0.00000007,0.00001162
1996,69,IDN,0.00000018,0.00002352
1996,69,GIN,0.00000001,0.00004764
1996,70,DEU,0.00000009,0.00027687
1996,72,IDN,0.00000002,0.00004278
1996,72,IND,0.00000002,0.00011900
1996,72,EGY,0.00000000,0.00000100
1996,73,IDN,0.00000000,0.00000068
1996,73,LVA,0.00000000,0.00000294
1996,76,IDN,0.00000007,0.00001300
1996,76,DEU,0.00000000,0.00000010
1996,80,NLD,0.00000003,0.00004145
1996,80,DEU,0.00000002,0.00001444
1996,80,IDN,0.00000001,0.00001350
1996,80,IRL,0.00000000,0.00000094
1996,80,CHN,0.00000000,0.00002000
1996,80,Other,0.00000000,0.00001075
1996,81,DEU,0.00000006,0.00002023
1996,81,IDN,0.00000003,0.00000034
1996,81,SVN,0.00000000,0.00000048
1996,81,MDA,0.00000000,0.00001908
1996,82,GHA,0.00000000,0.00000027
1996,83,NGA,0.00000011,0.00008720
1996,83,EGY,0.00000009,0.00000900
1996,83,GBR,0.00000002,0.00001500
1996,84,IDN,0.00000081,0.00007876
1996,84,COL,0.00000006,0.00000096
1996,84,NLD,0.00000003,0.00000550
1996,84,SCG,0.00000000,0.00000500
1996,85,IDN,0.00000017,0.00003873
1996,85,GHA,0.00000002,0.00000006
1996,85,GRC,0.00000001,0.00000025
1996,85,DEU,0.00000001,0.00000014
1996,85,NLD,0.00000000,0.00000008
1996,85,Other,0.00000000,0.00000002
1996,87,EGY,0.00000005,0.00000300
1996,87,HND,0.00000004,0.00000337
1996,87,SLV,0.00000003,0.00001105
1996,87,SEN,0.00000002,0.00000756
1996,87,BOL,0.00000001,0.00000112
1996,87,Other,0.00000000,0.00000106
1996,90,NLD,0.00000002,0.00000096
1996,90,IDN,0.00000002,0.00000060
1996,95,EGY,0.00000001,0.00000700
1996,95,DEU,0.00000000,0.00000150
1996,95,NLD,0.00000000,0.00000012
1996,96,COL,0.00000036,0.00003813
1997,10,JOR,0.00000001,0.00000000
1997,10,DZA,0.00000000,0.00002000
1997,10,GRC,0.00000000,0.00000000
1997,14,CHN,0.00000001,0.00000619
1997,16,DEU,0.00000003,0.00000300
1997,16,ESP,0.00000002,0.00000050
1997,22,CYP,0.00000001,0.00000074
1997,24,EGY,0.00000002,0.00000731
1997,25,NGA,0.00000008,0.00001025
1997,27,FRA,0.00052652,3.79420109
1997,27,JOR,0.00051377,4.34729243
1997,27,ESP,0.00043878,3.22747520
1997,27,USA,0.00031709,2.34581641
1997,27,ITA,0.00020220,1.49232896
