year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.05273084,451.95158847
1995,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.03224544,1.58463124
1995,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.02772268,1.03949195
1995,Pharmaceutical products,0.01879111,2.72700253
1995,Wood and articles of wood; wood charcoal,0.01535570,41.68106126
1995,Other,0.18137616,263.58514122
1996,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.05957559,458.42848887
1996,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.03624012,1.51533630
1996,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.03281426,1.44035237
1996,Pharmaceutical products,0.01690343,2.63930265
1996,Wood and articles of wood; wood charcoal,0.01556276,44.04632933
1996,Other,0.17987501,257.33778488
1997,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.06204860,466.18834852
1997,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.03582587,1.42881224
1997,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.03299966,1.47271047
1997,Pharmaceutical products,0.01572768,2.60086563
1997,Wood and articles of wood; wood charcoal,0.01439253,43.08305061
1997,Other,0.17001390,268.27134838
1998,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.04264016,445.73065479
1998,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.03259192,1.39778642
1998,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.02952507,1.42033460
1998,Pharmaceutical products,0.01325960,2.40259249
1998,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.01147270,0.56255420
1998,Other,0.14631950,285.27097419
1999,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.04900892,418.96700541
1999,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.03819568,4.64051474
1999,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.03273553,1.56639612
1999,Pharmaceutical products,0.01556824,2.70251358
1999,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.01293630,0.59558544
1999,Other,0.15511567,318.55490177
2000,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.07556186,468.80660571
2000,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.04762618,1.41242440
