year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00018828,5.53494184
1995,Food Related,0.00010505,0.37359170
1995,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00007789,0.00488561
1995,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00004328,0.00481478
1995,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",0.00003248,0.00075351
1995,Other,0.00028949,0.40074666
1996,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00024106,10.49207263
1996,Food Related,0.00017068,0.45745289
1996,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00016895,0.01124042
1996,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00009106,0.00452062
1996,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00005944,0.00735954
1996,Other,0.00043466,0.87303143
1997,Food Related,0.00006307,0.12382738
1997,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00005313,0.00680783
1997,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00004534,0.00734183
1997,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",0.00004331,0.00429129
1997,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00001860,0.10429574
1997,Other,0.00024026,0.22237995
1998,Food Related,0.00006829,0.22149509
1998,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",0.00005300,0.00503711
1998,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00005236,0.00935392
1998,Footwear; gaiters and the like; parts of such articles,0.00005024,0.00194351
1998,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00004842,0.85851612
1998,Other,0.00034434,1.42508399
1999,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00004478,0.00364237
1999,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00004120,0.00886751
1999,Footwear; gaiters and the like; parts of such articles,0.00002945,0.00157025
1999,Food Related,0.00002905,0.07749493
1999,Apparel and clothing accessories; knitted or crocheted,0.00002648,0.00204915
1999,Other,0.00023147,0.29909202
2000,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00013263,1.41405613
2000,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00006558,0.00774858
2000,Food Related,0.00005743,0.27346936
2000,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00003654,0.00351358
2000,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00003315,0.00587079
2000,Other,0.00034122,1.08186104
2001,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00012168,1.21239850
2001,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00005585,0.00608212
2001,Food Related,0.00003947,0.15817141
2001,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00003014,0.00986767
2001,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",0.00002601,0.00306333
2001,Other,0.00030065,1.33584041
2002,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00013610,1.29826293
2002,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00007404,0.00955666
2002,Food Related,0.00005904,0.25861602
2002,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",0.00003452,0.00104693
2002,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00003323,0.00334845
2002,Other,0.00038532,1.12990734
2003,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00015331,1.08008715
2003,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00007584,0.00744502
2003,Food Related,0.00006974,0.16332278
2003,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00005197,0.01224427
2003,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",0.00005083,0.00823685
2003,Other,0.00053436,0.98144243
2004,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00024035,1.97981997
2004,Food Related,0.00009460,0.24944832
2004,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00008887,0.01065852
2004,"Fabrics; special woven fabrics, tufted textile fabrics, lace, tapestries, trimmings, embroidery",0.00008684,0.01274304
2004,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00005781,0.00529379
2004,Other,0.00073251,1.48839454
