year,product_chapter,exporter,value_trln_USD,quantity_mln_metric_tons
1995,10,THA,0.00001630,0.06031925
1995,10,USA,0.00000321,0.01002448
1995,10,FRA,0.00000223,0.00800000
1995,10,MYS,0.00000036,0.00102051
1995,10,SGP,0.00000000,0.00000394
1995,11,FRA,0.00000179,0.00511200
1995,11,AUS,0.00000012,0.00040500
1995,11,MYS,0.00000009,0.00024500
1995,11,SGP,0.00000005,0.00011957
1995,11,GBR,0.00000003,0.00009900
1995,11,Other,0.00000005,0.00015185
1995,12,SGP,0.00000019,0.00002674
1995,12,CHN,0.00000001,0.00000688
1995,12,THA,0.00000000,0.00000137
1995,12,SAU,0.00000000,0.00000800
1995,12,HKG,0.00000000,0.00000012
1995,13,USA,0.00000005,0.00000300
1995,13,THA,0.00000004,0.00000325
1995,13,CHN,0.00000001,0.00000400
1995,13,AUS,0.00000000,0.00000030
1995,13,FRA,0.00000000,0.00000040
1995,14,MYS,0.00000000,0.00001100
1995,15,IDN,0.00001298,0.02007678
1995,15,SGP,0.00000283,0.00313856
1995,15,THA,0.00000028,0.00027195
1995,15,MYS,0.00000012,0.00015000
1995,15,GBR,0.00000004,0.00002005
1995,15,Other,0.00000004,0.00003120
1995,16,THA,0.00000717,0.00535596
1995,16,SGP,0.00000184,0.00079778
1995,16,CHN,0.00000007,0.00004915
1995,16,FRA,0.00000001,0.00000115
1995,16,HKG,0.00000000,0.00000038
1995,17,THA,0.00001266,0.02402811
1995,17,MYS,0.00000040,0.00084925
1995,17,SGP,0.00000021,0.00038806
1995,17,IDN,0.00000007,0.00002711
1995,17,HKG,0.00000005,0.00002134
1995,17,Other,0.00000003,0.00000991
1995,18,THA,0.00000004,0.00000925
1995,18,SGP,0.00000004,0.00000576
1995,18,MYS,0.00000000,0.00000031
1995,19,THA,0.00000472,0.00252428
1995,19,SGP,0.00000071,0.00033787
1995,19,MYS,0.00000058,0.00031856
1995,19,FRA,0.00000028,0.00008172
1995,19,IDN,0.00000028,0.00010499
1995,19,Other,0.00000038,0.00020043
1995,20,THA,0.00000217,0.00253639
1995,20,SGP,0.00000090,0.00054366
1995,20,AUS,0.00000012,0.00014489
1995,20,HKG,0.00000009,0.00009845
1995,20,USA,0.00000007,0.00002700
1995,20,Other,0.00000006,0.00006182
1995,21,THA,0.00000567,0.00299025
1995,21,SGP,0.00000052,0.00017293
1995,21,USA,0.00000043,0.00013844
1995,21,HKG,0.00000016,0.00009419
1995,21,CHN,0.00000015,0.00010798
1995,21,Other,0.00000030,0.00007360
1995,22,SGP,0.00004505,0.02097530
1995,22,THA,0.00000759,0.01213126
1995,22,AUS,0.00000266,0.00368399
1995,22,FRA,0.00000105,0.00023352
1995,22,MYS,0.00000077,0.00102432
1995,22,Other,0.00000168,0.00120859
1995,23,SGP,0.00000000,0.00000100
1995,23,THA,0.00000000,0.00000106
1995,24,SGP,0.00008649,0.00332246
1995,24,IDN,0.00005925,0.02177840
1995,24,CHN,0.00001199,0.00315300
1995,24,HKG,0.00001115,0.00115106
1995,24,FRA,0.00000532,0.00072650
1995,24,Other,0.00000326,0.00035490
1995,25,THA,0.00001060,0.24949461
1995,25,CHN,0.00000057,0.01459700
1995,25,SGP,0.00000024,0.00019000
1995,25,IDN,0.00000003,0.00016508
1995,25,MYS,0.00000003,0.00014100
1995,25,Other,0.00000001,0.00003000
1995,27,SGP,0.00004696,0.26656812
1995,27,THA,0.00001021,0.04323441
1995,27,CHN,0.00000013,0.00050300
1995,27,MYS,0.00000008,0.00007171
1995,27,HKG,0.00000007,0.00012540
1995,27,Other,0.00000003,0.00003138
1995,28,SGP,0.00000032,0.00017635
1995,28,THA,0.00000017,0.00098459
1995,28,CHN,0.00000008,0.00020100
1995,28,IND,0.00000004,0.00005933
1995,28,MYS,0.00000003,0.00004900
1995,28,Other,0.00000003,0.00002108
1995,29,THA,0.00000979,0.00589379
1995,29,SGP,0.00000711,0.00508262
1995,29,IDN,0.00000043,0.00030406
1995,29,FRA,0.00000022,0.00002490
1995,29,IND,0.00000021,0.00025849
1995,29,Other,0.00000036,0.00017234
1995,30,FRA,0.00001372,0.00054971
1995,30,THA,0.00000688,0.00147303
1995,30,IND,0.00000121,0.00000000
1995,30,HKG,0.00000118,0.00000000
1995,30,AUT,0.00000110,0.00002770
1995,30,Other,0.00000390,0.00019230
1995,31,JPN,0.00000328,0.00909900
1995,31,CHN,0.00000197,0.00810000
1995,31,DEU,0.00000122,0.00703540
1995,31,EGY,0.00000116,0.00500000
1995,31,THA,0.00000089,0.00440425
1995,31,Other,0.00000048,0.01333563
1995,32,THA,0.00000405,0.00326548
1995,32,AUS,0.00000026,0.00002007
1995,32,SGP,0.00000021,0.00006176
1995,32,MYS,0.00000008,0.00015611
1995,32,HKG,0.00000005,0.00003219
1995,32,Other,0.00000008,0.00007505
1995,33,THA,0.00000657,0.00149472
1995,33,SGP,0.00000194,0.00000714
1995,33,FRA,0.00000059,0.00004157
1995,33,GBR,0.00000020,0.00003693
1995,33,MYS,0.00000020,0.00000127
1995,33,Other,0.00000025,0.00006202
1995,34,THA,0.00000307,0.00184583
1995,34,SGP,0.00000033,0.00015689
1995,34,IDN,0.00000016,0.00018100
1995,34,MYS,0.00000016,0.00000000
1995,34,CHN,0.00000016,0.00016614
1995,34,Other,0.00000011,0.00004689
1995,35,THA,0.00000057,0.00033927
1995,35,SGP,0.00000009,0.00003857
1995,35,JPN,0.00000002,0.00001312
1995,35,FRA,0.00000002,0.00000457
1995,35,CHN,0.00000001,0.00001706
1995,35,Other,0.00000003,0.00001445
1995,36,USA,0.00000033,0.00000859
1995,36,CHN,0.00000027,0.00050000
1995,36,THA,0.00000011,0.00002693
1995,36,MYS,0.00000002,0.00000000
1995,36,SGP,0.00000001,0.00000400
1995,36,Other,0.00000000,0.00000131
1995,37,SGP,0.00000350,0.00000000
1995,37,HKG,0.00000013,0.00000042
1995,37,JPN,0.00000003,0.00000176
1995,37,DEU,0.00000003,0.00000167
1995,37,IDN,0.00000001,0.00000062
1995,37,Other,0.00000002,0.00000169
1995,38,THA,0.00000126,0.00061581
1995,38,SGP,0.00000036,0.00009009
1995,38,FRA,0.00000017,0.00000239
1995,38,JPN,0.00000011,0.00002814
1995,38,GBR,0.00000010,0.00003157
1995,38,Other,0.00000029,0.00012336
1995,39,THA,0.00000636,0.00448862
1995,39,SGP,0.00000267,0.00073480
1995,39,HKG,0.00000110,0.00008843
1995,39,MYS,0.00000079,0.00014371
1995,39,CHN,0.00000047,0.00021089
1995,39,Other,0.00000087,0.00026924
1995,40,THA,0.00001428,0.01008599
1995,40,SGP,0.00000229,0.00130084
1995,40,JPN,0.00000089,0.00018288
1995,40,AUS,0.00000066,0.00037751
1995,40,FRA,0.00000014,0.00006889
1995,40,Other,0.00000043,0.00030029
1995,41,THA,0.00000011,0.00007511
1995,41,GBR,0.00000001,0.00000072
1995,41,IDN,0.00000000,0.00000006
1995,42,HKG,0.00000012,0.00000569
1995,42,THA,0.00000009,0.00002030
