year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00038745,2.07028424
1995,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00021698,0.02527080
1995,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00013941,0.01520151
1995,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00013352,0.03404619
1995,Pharmaceutical products,0.00009540,0.04358747
1995,Other,0.00111318,1.90150519
1996,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00055907,4.46751785
1996,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00026704,0.02777334
1996,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00017409,0.01559943
1996,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00014188,0.02924946
1996,Iron and steel,0.00011441,0.31344142
1996,Other,0.00164598,2.37323666
1997,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00043723,4.07908986
1997,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00036926,0.03862527
1997,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00023029,0.02121056
1997,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00021327,0.04932291
1997,Iron and steel,0.00017008,0.62622011
1997,Other,0.00195855,3.12484532
1998,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00044582,0.04801233
1998,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00041128,4.77062837
1998,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00032374,0.06643289
1998,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00030985,0.02458550
1998,Pharmaceutical products,0.00015554,0.04960199
1998,Other,0.00213444,3.91754631
1999,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00045503,4.21148345
1999,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00045111,0.05269747
1999,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00030126,0.02456246
1999,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00023425,0.05191416
1999,Pharmaceutical products,0.00016147,0.03305451
1999,Other,0.00201800,4.25627188
2000,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00063337,3.94777945
2000,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00047655,0.05572577
2000,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00024704,0.02869841
2000,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00021123,0.05454391
2000,Pharmaceutical products,0.00013114,0.03606790
2000,Other,0.00184851,4.66198233
2001,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00094840,4.25498732
2001,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00050066,0.06452878
2001,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00034079,0.03535159
2001,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00026910,0.06982870
2001,Pharmaceutical products,0.00014536,0.05385882
2001,Other,0.00197829,4.29044958
2002,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00071663,4.85534662
2002,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00050077,0.06896665
2002,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00034783,0.04399257
2002,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00033233,0.08282543
2002,Pharmaceutical products,0.00017693,0.03920927
2002,Other,0.00226161,4.79761097
2003,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00103117,4.55043707
2003,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00069909,0.08039143
2003,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00047956,0.08890691
2003,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00044604,0.04459887
2003,Pharmaceutical products,0.00022816,0.03503588
2003,Other,0.00304819,5.08911503
2004,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00098046,4.52847695
2004,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00079713,0.08719336
2004,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00065642,0.09705948
2004,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00059525,0.04545840
2004,Iron and steel,0.00032318,0.71636222
2004,Other,0.00395551,5.78352510
2005,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00158568,3.84237684
2005,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00107807,0.10461650
2005,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00087797,0.11113054
2005,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00071378,0.05280258
2005,Plastics and articles thereof,0.00035102,0.16270342
2005,Other,0.00461629,8.08618689
2006,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00167245,4.28187164
