year,product_chapter,exporter,value_trln_USD,quantity_mln_metric_tons
1995,10,IND,0.00000103,0.00408683
1995,10,JPN,0.00000102,0.00200769
1995,10,SGP,0.00000080,0.00269957
1995,10,MMR,0.00000049,0.00199319
1995,10,THA,0.00000042,0.00158118
1995,10,Other,0.00000008,0.00024411
1995,11,IND,0.00000269,0.01007833
1995,11,SGP,0.00000059,0.00126368
1995,11,ARE,0.00000002,0.00002260
1995,11,MYS,0.00000002,0.00000800
1995,11,IDN,0.00000001,0.00004743
1995,11,Other,0.00000002,0.00003293
1995,12,SGP,0.00000006,0.00005426
1995,12,IND,0.00000003,0.00002544
1995,12,CHN,0.00000002,0.00003400
1995,12,LKA,0.00000001,0.00000265
1995,12,DEU,0.00000000,0.00000022
1995,12,Other,0.00000001,0.00000102
1995,13,SGP,0.00000003,0.00000421
1995,13,ARE,0.00000001,0.00000047
1995,13,AUS,0.00000001,0.00000041
1995,13,LKA,0.00000000,0.00000050
1995,13,MYS,0.00000000,0.00000019
1995,13,Other,0.00000000,0.00000010
1995,14,LKA,0.00000002,0.00001419
1995,14,IND,0.00000002,0.00001631
1995,14,THA,0.00000000,0.00000113
1995,14,SGP,0.00000000,0.00000200
1995,15,SGP,0.00000412,0.00782218
1995,15,MYS,0.00000044,0.00055384
1995,15,LKA,0.00000012,0.00003606
1995,15,ARE,0.00000010,0.00008454
1995,15,ITA,0.00000007,0.00001137
1995,15,Other,0.00000006,0.00003487
1995,16,THA,0.00000020,0.00008785
1995,16,SGP,0.00000013,0.00004361
1995,16,LKA,0.00000012,0.00002611
1995,16,ARE,0.00000005,0.00001082
1995,16,ITA,0.00000001,0.00000133
1995,16,Other,0.00000001,0.00000830
1995,17,DEU,0.00000331,0.00201440
1995,17,BEL,0.00000131,0.00300000
1995,17,HKG,0.00000050,0.00100000
1995,17,FRA,0.00000044,0.00150000
1995,17,LKA,0.00000039,0.00079803
1995,17,Other,0.00000068,0.00104877
1995,18,SGP,0.00000058,0.00016441
1995,18,ARE,0.00000012,0.00002428
1995,18,MYS,0.00000012,0.00003172
1995,18,GBR,0.00000010,0.00002919
1995,18,ZA1,0.00000006,0.00000456
1995,18,Other,0.00000017,0.00003998
1995,19,SGP,0.00000199,0.00133206
1995,19,MYS,0.00000039,0.00032859
1995,19,ARE,0.00000029,0.00021576
1995,19,ITA,0.00000020,0.00020056
1995,19,IDN,0.00000012,0.00004866
1995,19,Other,0.00000055,0.00022734
1995,20,SGP,0.00000277,0.00185972
1995,20,ARE,0.00000263,0.00155905
1995,20,LKA,0.00000133,0.00033900
1995,20,AUS,0.00000058,0.00019229
1995,20,IDN,0.00000032,0.00028085
1995,20,Other,0.00000172,0.00132520
1995,21,SGP,0.00000081,0.00029993
1995,21,IND,0.00000021,0.00007297
1995,21,ARE,0.00000017,0.00006984
1995,21,MYS,0.00000014,0.00011671
1995,21,IRL,0.00000013,0.00000594
1995,21,Other,0.00000047,0.00020915
1995,22,SGP,0.00000485,0.00321406
1995,22,ARE,0.00000044,0.00096606
1995,22,LKA,0.00000041,0.00019635
1995,22,ZA1,0.00000040,0.00032640
1995,22,FRA,0.00000035,0.00039420
1995,22,Other,0.00000170,0.00276078
1995,23,DNK,0.00000002,0.00004190
1995,23,SGP,0.00000000,0.00000177
1995,23,LKA,0.00000000,0.00000089
1995,24,HKG,0.00000302,0.00015424
1995,24,SGP,0.00000101,0.00006167
1995,24,LKA,0.00000023,0.00000800
1995,24,IND,0.00000008,0.00010727
1995,24,CHE,0.00000007,0.00000117
1995,24,Other,0.00000012,0.00001781
1995,25,IND,0.00000631,0.12001971
1995,25,SGP,0.00000170,0.02608381
1995,25,MYS,0.00000132,0.02180180
1995,25,THA,0.00000055,0.01305544
1995,25,JPN,0.00000028,0.00411311
1995,25,Other,0.00000045,0.00292364
1995,26,SGP,0.00000001,0.00007709
1995,27,SGP,0.00001334,0.08574438
1995,27,ARE,0.00000892,0.06141723
1995,27,BHR,0.00000293,0.01526422
1995,27,MYS,0.00000220,0.01041058
1995,27,SAU,0.00000168,0.00850731
1995,27,Other,0.00000152,0.00991734
1995,28,SGP,0.00000039,0.00034756
1995,28,IND,0.00000002,0.00010811
1995,28,LKA,0.00000001,0.00000700
1995,28,USA,0.00000001,0.00000030
1995,28,FRA,0.00000001,0.00000228
1995,28,Other,0.00000003,0.00004453
1995,29,DNK,0.00000022,0.00001127
1995,29,SGP,0.00000017,0.00004291
1995,29,CHN,0.00000013,0.00002199
1995,29,IND,0.00000010,0.00001065
1995,29,MYS,0.00000002,0.00001488
1995,29,Other,0.00000002,0.00000764
1995,30,IND,0.00000160,0.00001243
1995,30,SGP,0.00000094,0.00003063
1995,30,LKA,0.00000088,0.00003919
1995,30,PAK,0.00000026,0.00000000
1995,30,THA,0.00000012,0.00000487
1995,30,Other,0.00000059,0.00008213
1995,31,LKA,0.00000006,0.00062807
1995,31,MYS,0.00000003,0.00009599
1995,31,IND,0.00000002,0.00014115
