year,product_chapter,exporter,value_trln_USD
2006,10,SRB,0.00000805
2006,10,NLD,0.00000221
2006,10,RUS,0.00000157
2006,10,ITA,0.00000072
2006,10,FRA,0.00000007
2006,10,Other,0.00000052
2006,11,SRB,0.00001412
2006,11,CZE,0.00000083
2006,11,BIH,0.00000048
2006,11,NLD,0.00000029
2006,11,ITA,0.00000014
2006,11,Other,0.00000015
2006,12,NLD,0.00000306
2006,12,SRB,0.00000081
2006,12,SVN,0.00000022
2006,12,DEU,0.00000015
2006,12,CHN,0.00000013
2006,12,Other,0.00000036
2006,13,NLD,0.00000008
2006,13,DEU,0.00000003
2006,13,SRB,0.00000003
2006,13,SVN,0.00000001
2006,13,FRA,0.00000001
2006,13,Other,0.00000003
2006,14,SRB,0.00000004
2006,14,CHN,0.00000000
2006,14,NLD,0.00000000
2006,14,ITA,0.00000000
2006,14,SVN,0.00000000
2006,14,Other,0.00000000
2006,15,SRB,0.00001566
2006,15,HRV,0.00000074
2006,15,NLD,0.00000052
2006,15,ITA,0.00000028
2006,15,HUN,0.00000011
2006,15,Other,0.00000030
2006,16,SRB,0.00001722
2006,16,SVN,0.00000172
2006,16,ITA,0.00000081
2006,16,THA,0.00000080
2006,16,HRV,0.00000071
2006,16,Other,0.00000081
2006,17,ITA,0.00000481
2006,17,BRA,0.00000427
2006,17,HUN,0.00000182
2006,17,SRB,0.00000181
2006,17,FRA,0.00000131
2006,17,Other,0.00000506
2006,18,SRB,0.00000551
2006,18,AUT,0.00000247
2006,18,NLD,0.00000241
2006,18,HRV,0.00000099
2006,18,TUR,0.00000049
2006,18,Other,0.00000245
2006,19,SRB,0.00001554
2006,19,ITA,0.00000235
2006,19,HRV,0.00000160
2006,19,DEU,0.00000111
2006,19,BGR,0.00000102
2006,19,Other,0.00000354
2006,20,AUT,0.00002474
2006,20,SRB,0.00001970
2006,20,NLD,0.00000966
2006,20,HUN,0.00000161
2006,20,BIH,0.00000129
2006,20,Other,0.00000500
2006,21,SRB,0.00001337
2006,21,HRV,0.00000226
2006,21,POL,0.00000203
2006,21,NLD,0.00000123
2006,21,MKD,0.00000071
2006,21,Other,0.00000355
2006,22,SRB,0.00003547
2006,22,GBR,0.00000208
2006,22,AUT,0.00000193
2006,22,SVN,0.00000192
2006,22,MKD,0.00000190
2006,22,Other,0.00000434
2006,23,SRB,0.00000761
2006,23,ITA,0.00000080
2006,23,NLD,0.00000043
2006,23,BRA,0.00000041
2006,23,HUN,0.00000018
2006,23,Other,0.00000037
2006,24,SRB,0.00000316
2006,24,BIH,0.00000137
2006,24,NLD,0.00000105
2006,24,HRV,0.00000081
2006,24,GRC,0.00000076
2006,24,Other,0.00000185
2006,25,GRC,0.00001436
2006,25,HRV,0.00001321
2006,25,ITA,0.00000680
2006,25,SRB,0.00000398
2006,25,BIH,0.00000028
2006,25,Other,0.00000154
2006,26,GRC,0.00000037
2006,26,DEU,0.00000009
2006,26,ITA,0.00000006
2006,26,SVN,0.00000004
2006,26,SRB,0.00000003
2006,26,Other,0.00000004
2006,27,GRC,0.00006467
2006,27,CHE,0.00006425
2006,27,SRB,0.00004970
2006,27,ITA,0.00003056
2006,27,RUS,0.00002259
2006,27,Other,0.00006146
2006,28,ROU,0.00001415
2006,28,CHN,0.00000265
2006,28,ITA,0.00000176
2006,28,SRB,0.00000123
2006,28,BIH,0.00000081
2006,28,Other,0.00000152
2006,29,NLD,0.00000233
2006,29,SRB,0.00000097
2006,29,JPN,0.00000061
2006,29,DEU,0.00000053
2006,29,ITA,0.00000032
2006,29,Other,0.00000065
2006,30,SRB,0.00002005
2006,30,CHE,0.00000474
2006,30,DEU,0.00000440
2006,30,SVN,0.00000284
2006,30,ITA,0.00000269
2006,30,Other,0.00001933
2006,31,SRB,0.00000162
2006,31,NLD,0.00000059
2006,31,AUT,0.00000033
2006,31,RUS,0.00000018
2006,31,SVN,0.00000018
2006,31,Other,0.00000039
2006,32,SRB,0.00000920
2006,32,SVN,0.00000247
2006,32,NLD,0.00000142
2006,32,DEU,0.00000128
2006,32,ITA,0.00000120
2006,32,Other,0.00000356
2006,33,ITA,0.00000402
2006,33,FRA,0.00000279
2006,33,SRB,0.00000239
2006,33,NLD,0.00000179
2006,33,DEU,0.00000159
2006,33,Other,0.00000614
2006,34,CZE,0.00000380
2006,34,SRB,0.00000337
2006,34,ROU,0.00000189
2006,34,HRV,0.00000188
2006,34,ITA,0.00000139
2006,34,Other,0.00000468
2006,35,NLD,0.00000093
2006,35,SRB,0.00000092
2006,35,ITA,0.00000030
2006,35,DEU,0.00000027
2006,35,HRV,0.00000015
2006,35,Other,0.00000059
2006,36,SRB,0.00000062
2006,36,BIH,0.00000015
2006,36,CZE,0.00000005
2006,36,CHN,0.00000003
2006,36,DEU,0.00000003
2006,36,Other,0.00000005
2006,37,NLD,0.00000153
2006,37,SRB,0.00000035
2006,37,JPN,0.00000034
2006,37,DEU,0.00000030
2006,37,SVN,0.00000028
2006,37,Other,0.00000059
2006,38,SRB,0.00000242
2006,38,DEU,0.00000150
2006,38,NLD,0.00000146
2006,38,SVN,0.00000144
2006,38,ITA,0.00000133
2006,38,Other,0.00000658
2006,39,SRB,0.00001969
2006,39,NLD,0.00000966
2006,39,ITA,0.00000613
2006,39,DEU,0.00000531
2006,39,SVN,0.00000277
2006,39,Other,0.00001380
2006,40,SRB,0.00002480
2006,40,DEU,0.00000579
2006,40,ITA,0.00000160
2006,40,SVN,0.00000155
2006,40,HRV,0.00000144
2006,40,Other,0.00000857
2006,41,NLD,0.00000095
2006,41,DEU,0.00000030
2006,41,SRB,0.00000020
2006,41,TUR,0.00000005
2006,41,DNK,0.00000004
2006,41,Other,0.00000007
2006,42,CHN,0.00000119
