year,product_chapter,exporter,value_trln_USD
1995,10,USA,0.00033112
1995,10,AUS,0.00017341
1995,10,THA,0.00010655
1995,10,ARG,0.00009269
1995,10,ZA1,0.00005559
1995,10,Other,0.00016820
1995,11,USA,0.00003745
1995,11,THA,0.00002805
1995,11,NLD,0.00000846
1995,11,ARG,0.00000648
1995,11,IDN,0.00000644
1995,11,Other,0.00003898
1995,12,USA,0.00008632
1995,12,CHN,0.00003873
1995,12,ARG,0.00003459
1995,12,SGP,0.00002269
1995,12,HKG,0.00000882
1995,12,Other,0.00005567
1995,13,CHN,0.00000515
1995,13,SGP,0.00000304
1995,13,KOR,0.00000230
1995,13,USA,0.00000193
1995,13,JPN,0.00000116
1995,13,Other,0.00000575
1995,14,IDN,0.00001325
1995,14,SGP,0.00000089
1995,14,VNM,0.00000084
1995,14,CHN,0.00000068
1995,14,THA,0.00000068
1995,14,Other,0.00000107
1995,15,IDN,0.00011380
1995,15,ARG,0.00006149
1995,15,PHL,0.00002809
1995,15,USA,0.00002714
1995,15,PNG,0.00000617
1995,15,Other,0.00004006
1995,16,CHN,0.00001236
1995,16,THA,0.00001149
1995,16,USA,0.00000827
1995,16,CHL,0.00000485
1995,16,JPN,0.00000340
1995,16,Other,0.00001439
1995,17,AUS,0.00018322
1995,17,THA,0.00008343
1995,17,FJI,0.00002950
1995,17,GTM,0.00000872
1995,17,IDN,0.00000824
1995,17,Other,0.00002828
1995,18,IDN,0.00003505
1995,18,SGP,0.00002972
1995,18,CIV,0.00000663
1995,18,AUS,0.00000646
1995,18,PNG,0.00000564
1995,18,Other,0.00001062
1995,19,IRL,0.00001899
1995,19,AUS,0.00001632
1995,19,SGP,0.00001590
1995,19,THA,0.00001538
1995,19,NZL,0.00001221
1995,19,Other,0.00005970
1995,20,IND,0.00006346
1995,20,AUS,0.00003368
1995,20,NZL,0.00002732
1995,20,SGP,0.00002151
1995,20,CHN,0.00001892
1995,20,Other,0.00005587
1995,21,USA,0.00003442
1995,21,IRL,0.00001785
1995,21,SGP,0.00001440
1995,21,CHN,0.00000973
1995,21,IDN,0.00000925
1995,21,Other,0.00005973
1995,22,FRA,0.00006568
1995,22,GBR,0.00002123
1995,22,SGP,0.00000570
1995,22,CHN,0.00000322
1995,22,JPN,0.00000245
1995,22,Other,0.00001068
1995,23,USA,0.00003863
1995,23,CHN,0.00002950
1995,23,IND,0.00002851
1995,23,ARG,0.00002282
1995,23,BRA,0.00001210
1995,23,Other,0.00008328
1995,24,USA,0.00005952
1995,24,IDN,0.00004987
1995,24,SGP,0.00002416
1995,24,CHN,0.00000992
1995,24,HKG,0.00000785
1995,24,Other,0.00002430
1995,25,JPN,0.00006578
1995,25,CHN,0.00004566
1995,25,THA,0.00004281
1995,25,AUS,0.00002626
1995,25,SGP,0.00001899
1995,25,Other,0.00013503
1995,26,PER,0.00006883
1995,26,BRA,0.00004410
1995,26,AUS,0.00004092
1995,26,CHL,0.00003954
1995,26,PRT,0.00002274
1995,26,Other,0.00008257
1995,27,SGP,0.00119648
1995,27,SAU,0.00012605
1995,27,KWT,0.00006531
1995,27,IDN,0.00005595
1995,27,IRN,0.00003602
1995,27,Other,0.00017042
1995,28,JPN,0.00016569
1995,28,USA,0.00008617
1995,28,CHN,0.00006864
1995,28,SGP,0.00003355
1995,28,DEU,0.00002354
1995,28,Other,0.00015242
1995,29,JPN,0.00035278
1995,29,USA,0.00026723
1995,29,SGP,0.00013872
1995,29,KOR,0.00008667
1995,29,DEU,0.00005232
1995,29,Other,0.00039040
1995,30,THA,0.00009187
1995,30,IDN,0.00006600
1995,30,SGP,0.00004710
1995,30,GBR,0.00003909
1995,30,AUS,0.00003798
1995,30,Other,0.00027237
1995,31,CAN,0.00006276
1995,31,RUS,0.00003506
1995,31,DEU,0.00003233
1995,31,IDN,0.00002838
1995,31,JOR,0.00002543
1995,31,Other,0.00017502
1995,32,JPN,0.00009390
1995,32,SGP,0.00004949
1995,32,S19,0.00003762
1995,32,DEU,0.00003713
1995,32,USA,0.00002234
1995,32,Other,0.00013602
1995,33,USA,0.00003780
1995,33,SGP,0.00002938
1995,33,HKG,0.00002705
