imports_trln_USD,exports_trln_USD
0.00000159,0.00000024
0.00000116,
0.00000125,0.00000000
0.00000002,
0.00000000,
0.00000467,
0.00001145,0.00000005
0.00000518,
0.00000235,0.00000016
0.00000948,
0.00002331,0.00000020
0.00001329,0.00000002
0.00001956,0.00000003
0.00000382,
0.00000827,
0.00000446,0.00000007
0.00000010,0.00014935
0.00009276,
0.00000092,
0.00000209,0.00000002
0.00003328,0.00001147
0.00000107,
0.00000567,0.00000010
0.00000834,0.00000011
0.00000594,
0.00000060,
0.00000052,0.00000003
0.00000202,0.00000000
0.00000771,0.00000006
0.00002218,0.00000027
0.00002615,0.00000045
0.00000002,0.00000059
0.00000298,0.00000004
0.00001101,0.00000004
0.00000002,0.00000000
0.00000024,
0.00000001,0.00000001
0.00001532,0.00000013
0.00001431,0.00000004
0.00000033,0.00000194
0.00000028,0.00000000
0.00000174,0.00000001
0.00000002,
0.00000024,
0.00000128,
0.00000086,
0.00000074,0.00000000
0.00000035,
0.00000041,
0.00000099,0.00000004
0.00001080,0.00000009
0.00001158,0.00000014
0.00000345,0.00000006
0.00000725,0.00000001
0.00000031,0.00000004
0.00000017,
0.00000046,0.00000006
0.00000321,0.00000003
0.00000874,0.00000001
0.00000430,0.00000269
0.00000469,0.00000770
0.00001410,0.00031160
0.00001655,0.00000012
0.00000059,0.00000040
0.00000027,0.00007648
0.00000936,0.00000072
0.00000005,
0.00000005,
0.00000175,0.00000004
0.00000041,0.00000016
0.00000629,0.00000002
0.00000480,
0.00008004,0.00000117
0.00006478,0.00000050
0.00000063,0.00000000
0.00011950,0.00000151
0.00000425,0.00000002
0.00001266,0.00000006
0.00001623,0.00000033
0.00000168,0.00000000
0.00000028,
0.00000064,
0.00001810,0.00000004
0.00000821,0.00000024
0.00000280,0.00000011
0.00000044,0.00000009
0.00000199,0.00000003
0.00000148,
0.00000163,0.00000000
0.00000008,0.00000001
0.00000001,
0.00000450,0.00000006
0.00001133,0.00000014
0.00000514,
0.00000240,0.00000021
0.00001140,
0.00002244,0.00000006
0.00001432,0.00000000
0.00001786,0.00000002
0.00000403,0.00000001
0.00000996,
0.00000415,0.00000000
0.00000010,0.00016037
0.00010851,0.00000005
0.00000106,
0.00000162,
0.00003431,0.00001047
0.00000117,
0.00000604,0.00000001
0.00000879,0.00000013
0.00000603,0.00000002
0.00000066,
0.00000048,
0.00000197,0.00000000
0.00000819,0.00000001
0.00002090,0.00000009
0.00002788,0.00000001
0.00000003,0.00000015
0.00000326,0.00000008
0.00000001,
0.00000917,0.00000021
0.00000002,
0.00000033,0.00000002
0.00001523,0.00000003
0.00001208,0.00000012
0.00000028,0.00000170
0.00000026,
0.00000210,0.00000000
0.00000001,
0.00000027,
0.00000103,0.00000003
0.00000114,
0.00000065,0.00000001
0.00000030,0.00000001
0.00000027,
0.00000082,0.00000003
0.00001175,0.00000004
0.00000960,0.00000004
0.00000439,0.00000001
0.00000694,0.00000010
0.00000039,0.00000000
0.00000017,
0.00000032,0.00000000
0.00000285,
0.00000746,0.00000006
0.00000502,0.00000065
0.00000450,0.00000866
0.00001230,0.00031276
0.00002454,0.00000003
0.00000142,0.00000016
0.00000082,0.00007413
0.00001010,0.00000005
0.00000008,
0.00000002,
0.00000302,0.00000006
0.00000060,0.00000004
0.00000652,0.00000002
0.00000423,0.00000000
0.00009252,0.00000136
0.00006818,0.00000108
0.00000016,
0.00012770,0.00000062
0.00000877,0.00000014
0.00003278,0.00000001
0.00001615,0.00000055
0.00000201,0.00000001
0.00000030,0.00000000
0.00000271,0.00000000
0.00001829,0.00000012
0.00000798,0.00000014
0.00000298,0.00000000
0.00000033,0.00000005
0.00000336,0.00000006
0.00000132,
0.00000296,0.00000003
0.00000007,0.00000000
0.00000001,
0.00000498,0.00000001
0.00000922,0.00000009
0.00000483,
0.00000226,0.00000012
0.00001219,0.00000001
0.00002081,0.00000020
0.00001422,0.00000014
0.00001715,0.00000002
0.00000458,
0.00001087,0.00000002
0.00000370,0.00000002
0.00000005,0.00017488
0.00009901,0.00000001
0.00000108,0.00000005
0.00000176,0.00000010
0.00003359,0.00001329
0.00000129,
0.00000566,0.00000002
0.00000822,0.00000013
0.00000557,0.00000001
0.00000052,0.00000000
0.00000062,
0.00000199,
0.00000700,0.00000014
0.00001874,0.00000018
0.00002908,0.00000015
0.00000002,0.00000040
0.00000347,0.00000002
0.00000001,
0.00001169,0.00000008
0.00000002,
0.00000017,
0.00000001,0.00000016
0.00001512,0.00000001
0.00001139,0.00000011
0.00000040,0.00000098
0.00000017,0.00000006
0.00000156,
0.00000002,
0.00000022,0.00000004
0.00000079,
0.00000094,
0.00000090,
0.00000035,
0.00000037,
0.00000101,
0.00001072,0.00000003
0.00000821,0.00000008
0.00000406,0.00000001
0.00000612,0.00000205
0.00000038,0.00000000
0.00000031,0.00000001
0.00000036,
0.00000281,0.00000000
0.00000692,0.00000006
0.00000459,0.00000255
0.00000503,0.00000591
0.00001134,0.00029516
0.00003720,0.00000010
0.00000068,0.00000007
0.00000118,0.00007364
0.00001009,0.00000026
0.00000005,0.00000001
0.00000055,0.00000017
0.00000220,0.00000017
0.00000041,0.00000004
0.00000518,0.00000002
0.00000384,0.00000002
0.00008420,0.00000161
0.00005403,0.00000230
0.00000021,0.00000002
0.00013103,0.00000058
0.00001641,0.00000008
0.00000520,0.00000015
0.00001745,0.00000030
0.00000264,0.00000002
0.00000048,
0.00000153,0.00000002
0.00001544,0.00000014
0.00000872,0.00000013
0.00000311,0.00000012
0.00000040,0.00000009
0.00000143,0.00000008
0.00000134,
0.00000167,0.00000000
0.00000007,0.00000018
0.00000003,
0.00000467,
0.00001015,0.00000001
0.00000423,0.00000000
0.00000198,0.00000014
0.00000972,
0.00001869,0.00000029
0.00001378,0.00000014
0.00001795,0.00000003
0.00000410,
0.00000756,0.00000000
0.00000308,0.00000057
0.00000003,0.00011101
0.00005853,0.00000001
0.00000108,
0.00000125,0.00000025
0.00003441,0.00001571
0.00000117,
0.00000557,0.00000017
0.00000764,0.00000004
0.00000565,
0.00000066,0.00000001
0.00000052,
0.00000211,
0.00000795,0.00000001
0.00001948,0.00000014
0.00002574,0.00000002
0.00000003,0.00000010
0.00000286,0.00000001
0.00000001,
0.00000680,0.00000024
0.00000001,
0.00000014,0.00000001
0.00000001,0.00000007
0.00001542,0.00000004
0.00001155,0.00000015
0.00000022,0.00000101
0.00000031,0.00000000
0.00000187,0.00000005
0.00000001,
0.00000029,0.00000000
0.00000090,0.00000000
0.00000101,
0.00000070,
0.00000025,
0.00000043,0.00000006
0.00000069,0.00000018
0.00001023,0.00000003
0.00000808,0.00000010
0.00000376,0.00000001
0.00000669,0.00000032
0.00000049,
0.00000017,
0.00000026,0.00000000
0.00000240,0.00000002
0.00000713,0.00000000
0.00000340,0.00000211
0.00000530,0.00001024
0.00001340,0.00023469
0.00002137,0.00000015
0.00000086,0.00000019
0.00000035,0.00005661
0.00000880,0.00000016
0.00000003,0.00000000
0.00000084,
0.00000209,0.00000025
0.00000021,0.00000010
0.00000554,0.00000002
0.00000376,0.00000000
0.00009013,0.00000160
0.00006780,0.00000101
0.00000023,0.00000000
0.00012801,0.00000086
0.00000873,0.00000004
0.00001405,0.00000007
0.00001790,0.00000052
0.00000217,0.00000001
0.00000033,
0.00000085,0.00000000
0.00001763,0.00000028
0.00000752,0.00000018
0.00000276,0.00000001
0.00000028,0.00000006
0.00000969,0.00000011
0.00000198,0.00000001
0.00000181,0.00000002
0.00000007,0.00000005
0.00000003,
0.00000503,0.00000010
0.00001186,0.00000007
0.00000507,0.00000001
0.00000324,0.00000007
0.00001318,0.00000008
0.00003141,0.00000016
0.00001190,0.00000008
0.00002405,0.00000051
0.00000630,0.00000022
0.00000840,0.00000014
0.00000642,0.00000814
0.00000009,0.00009859
0.00008486,0.00000317
0.00000299,0.00000012
0.00000156,0.00000003
0.00004067,0.00002330
0.00000193,0.00000003
0.00000808,0.00000031
0.00000833,0.00000013
0.00000632,0.00000003
0.00000082,0.00000002
0.00000142,0.00000036
0.00000207,0.00000003
0.00001059,0.00000004
0.00002772,0.00000037
0.00003433,0.00000238
0.00000012,0.00000027
0.00000341,0.00000002
0.00000001,
0.00001232,0.00000020
0.00000002,
0.00000035,0.00000002
0.00000000,0.00000010
0.00001839,0.00000031
0.00001063,0.00000082
0.00000036,0.00000120
0.00000087,0.00000004
0.00000242,0.00000003
0.00000022,
0.00000052,0.00000001
0.00000194,0.00000009
0.00000154,0.00000001
0.00000087,0.00000000
0.00000052,0.00000002
0.00000070,0.00000001
0.00000125,0.00000001
0.00001231,0.00000023
0.00001340,0.00000021
0.00000527,0.00000016
0.00000770,0.00000009
0.00000059,0.00000001
0.00000025,
0.00000045,0.00000001
0.00000441,0.00000006
0.00000733,0.00000013
0.00000709,0.00000146
0.00000723,0.00001904
0.00001644,0.00022819
0.00004534,0.00000077
0.00000117,0.00000014
0.00000072,0.00005197
0.00001402,0.00000026
0.00000008,
0.00000074,0.00000000
0.00000452,0.00000005
0.00000070,0.00000060
0.00000591,0.00000028
0.00000445,0.00000002
0.00013708,0.00000526
0.00008478,0.00000274
0.00000046,0.00000097
0.00013521,0.00000178
0.00000276,0.00000167
0.00002511,0.00000046
0.00002672,0.00000292
0.00000245,0.00000006
