year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Ores, slag and ash",0.00015150,0.00000420
1995,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.00014262,0.00007106
1995,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",0.00003449,0.00277908
1995,Food Related,0.00001925,0.04500332
1995,Glass and glassware,0.00001710,0.04915798
1995,Other,0.00008568,0.19041082
1996,"Ores, slag and ash",0.00013675,0.00002016
1996,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",0.00007753,0.00564139
1996,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00005621,0.34104047
1996,Food Related,0.00004672,0.07967940
1996,Glass and glassware,0.00002349,0.07187833
1996,Other,0.00010646,0.06978232
1997,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00016597,1.07108422
1997,"Ores, slag and ash",0.00012951,0.00002000
1997,Pharmaceutical products,0.00003773,0.00032332
1997,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",0.00003556,0.00393906
1997,Food Related,0.00002996,0.05667225
1997,Other,0.00013790,0.11011507
1998,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.00015273,0.00731708
1998,"Ores, slag and ash",0.00013303,0.00006221
1998,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00010360,0.87027888
1998,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",0.00003504,0.00309244
1998,Food Related,0.00003204,0.06321216
1998,Other,0.00010557,0.11160669
1999,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00016251,1.20864875
1999,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.00011752,0.00347037
1999,"Ores, slag and ash",0.00010612,0.00010009
1999,Food Related,0.00002779,0.04888200
1999,Cotton,0.00002407,0.01057180
1999,Other,0.00010816,0.11205476
2000,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00026199,1.15383508
2000,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.00008800,0.01172802
2000,Food Related,0.00006137,0.14524536
2000,"Ores, slag and ash",0.00003211,0.00109196
2000,Glass and glassware,0.00002447,0.08337064
2000,Other,0.00007722,0.06615099
2001,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00008979,0.43650200
2001,"Ores, slag and ash",0.00008613,0.00296045
2001,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.00006843,0.00432361
2001,Food Related,0.00006425,0.15039192
2001,Glass and glassware,0.00001675,0.04852524
2001,Other,0.00008457,0.08011085
2002,"Ores, slag and ash",0.00008942,0.00301095
2002,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.00005880,0.00505968
2002,Food Related,0.00004982,0.14179083
2002,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00002217,0.08632832
2002,Glass and glassware,0.00002038,0.05429669
2002,Other,0.00007868,0.12795008
2003,"Ores, slag and ash",0.00011357,0.00330199
2003,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.00007386,0.00302928
2003,Food Related,0.00004960,0.04960995
2003,Glass and glassware,0.00002292,0.04780056
2003,Cotton,0.00001070,0.00110130
2003,Other,0.00005400,0.08260180
2004,"Ores, slag and ash",0.00014362,0.01139704
2004,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.00013496,0.00490062
2004,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00006237,0.00098445
2004,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00006173,0.19381859
2004,Food Related,0.00004700,0.05274669
2004,Other,0.00010560,0.15342864
2005,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",0.00014212,0.00760760
2005,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00008113,0.18519845
