year,product_chapter,importer,value_trln_USD,quantity_mln_metric_tons
1995,10,DEU,0.00035975,0.37487998
1995,10,BEL,0.00025351,0.40180237
1995,10,FRA,0.00012825,0.09028252
1995,10,ESP,0.00010732,0.05238492
1995,10,ITA,0.00009209,0.06410443
1995,10,Other,0.00034938,0.87234846
1995,11,DEU,0.00008516,0.15159938
1995,11,GBR,0.00007056,0.11124787
1995,11,BEL,0.00006997,0.17802694
1995,11,FRA,0.00003787,0.06130510
1995,11,ITA,0.00003423,0.04623061
1995,11,Other,0.00034452,0.82136444
1995,12,DEU,0.00010032,0.13155091
1995,12,FRA,0.00008130,0.05092502
1995,12,BEL,0.00008071,0.23044870
1995,12,GBR,0.00006705,0.11257732
1995,12,ESP,0.00005010,0.02111242
1995,12,Other,0.00028297,0.13777663
1995,13,DEU,0.00000657,0.00237589
1995,13,BEL,0.00000486,0.00126580
1995,13,ITA,0.00000307,0.00046141
1995,13,ESP,0.00000289,0.00123050
1995,13,ISR,0.00000272,0.00000237
1995,13,Other,0.00002802,0.00565901
1995,14,DEU,0.00000116,0.00081427
1995,14,BEL,0.00000084,0.00059914
1995,14,USA,0.00000041,0.00015258
1995,14,FRA,0.00000037,0.00014790
1995,14,GBR,0.00000034,0.00021096
1995,14,Other,0.00000278,0.00221530
1995,15,DEU,0.00037338,0.50719626
1995,15,BEL,0.00028246,0.39386790
1995,15,GBR,0.00025180,0.27688467
1995,15,FRA,0.00015552,0.17890740
1995,15,RUS,0.00011496,0.12157899
1995,15,Other,0.00082218,0.94504681
1995,16,DEU,0.00018799,0.04713465
1995,16,GBR,0.00016440,0.05642838
1995,16,BEL,0.00013841,0.02738731
1995,16,ESP,0.00006180,0.01240022
1995,16,FRA,0.00004046,0.00936886
1995,16,Other,0.00018992,0.07025574
1995,17,DEU,0.00018786,0.23299129
1995,17,BEL,0.00012503,0.13761085
1995,17,FRA,0.00009623,0.11796256
1995,17,GBR,0.00005437,0.09633420
1995,17,IRN,0.00005406,0.12458494
1995,17,Other,0.00032968,0.39137036
1995,18,DEU,0.00041660,0.14320853
1995,18,BEL,0.00023792,0.07671350
1995,18,FRA,0.00018197,0.08144558
1995,18,GBR,0.00015375,0.05331335
1995,18,RUS,0.00008406,0.02868053
1995,18,Other,0.00063816,0.23612379
1995,19,DEU,0.00030073,0.12438933
1995,19,BEL,0.00017370,0.06977354
1995,19,FRA,0.00017272,0.06032976
1995,19,GBR,0.00009602,0.02951250
1995,19,S19,0.00005803,0.01100497
1995,19,Other,0.00049755,0.16219922
1995,20,DEU,0.00213607,1.10121015
1995,20,ITA,0.00109417,0.41773923
1995,20,FRA,0.00092871,0.42526608
1995,20,GBR,0.00063025,0.39450937
1995,20,BEL,0.00043332,0.29271623
1995,20,Other,0.00157309,0.89284135
1995,21,GBR,0.00044380,0.13266772
1995,21,DEU,0.00022822,0.09322255
1995,21,BEL,0.00019757,0.07812118
1995,21,FRA,0.00010906,0.04322103
1995,21,USA,0.00004220,0.00637193
1995,21,Other,0.00051521,0.16197060
1995,22,USA,0.00050653,0.38210820
1995,22,BEL,0.00019723,0.31649548
1995,22,DEU,0.00015208,0.18466895
1995,22,FRA,0.00011996,0.16682253
1995,22,ESP,0.00011394,0.12842688
1995,22,Other,0.00069963,0.73450845
1995,23,DEU,0.00066463,1.62345204
1995,23,BEL,0.00045888,1.50139265
1995,23,GBR,0.00016902,0.83623476
1995,23,ITA,0.00013889,0.13051339
1995,23,FRA,0.00013175,0.22539400
1995,23,Other,0.00051698,1.45193070
1995,24,FRA,0.00101103,0.04275233
1995,24,ITA,0.00081929,0.03375032
1995,24,DEU,0.00025747,0.01547919
1995,24,ESP,0.00025460,0.00620253
1995,24,BEL,0.00023813,0.01260323
1995,24,Other,0.00056585,0.04096878
1995,25,BEL,0.00019379,16.41026304
1995,25,DEU,0.00016091,3.20953994
1995,25,FRA,0.00003151,0.28355858
1995,25,SWE,0.00002386,0.24194653
1995,25,GBR,0.00001886,0.46202890
1995,25,Other,0.00012985,0.86440710
