year,product_chapter,exporter,value_trln_USD,quantity_mln_metric_tons
1995,10,IND,0.00000681,0.03064235
1995,10,FRA,0.00000157,0.00600000
1995,10,CHN,0.00000018,0.00015714
1995,10,THA,0.00000005,0.00000167
1995,10,USA,0.00000004,0.00000077
1995,10,Other,0.00000004,0.00000271
1995,11,FRA,0.00000034,0.00112690
1995,11,AUS,0.00000034,0.00100506
1995,11,BEL,0.00000009,0.00026400
1995,11,IND,0.00000005,0.00020318
1995,11,GBR,0.00000003,0.00007081
1995,11,Other,0.00000000,0.00000621
1995,12,CHN,0.00000008,0.00011104
1995,12,HKG,0.00000008,0.00000538
1995,12,JPN,0.00000005,0.00000082
1995,12,IND,0.00000004,0.00006356
1995,12,AUS,0.00000003,0.00006001
1995,12,Other,0.00000007,0.00000446
1995,13,HKG,0.00000009,0.00000600
1995,13,DEU,0.00000004,0.00000100
1995,13,GBR,0.00000001,0.00000100
1995,13,USA,0.00000001,0.00000025
1995,13,IND,0.00000001,0.00001437
1995,13,Other,0.00000000,0.00000001
1995,14,SGP,0.00000122,0.00075800
1995,14,IND,0.00000001,0.00002462
1995,15,BRA,0.00000339,0.00600000
1995,15,SGP,0.00000218,0.00340000
1995,15,MYS,0.00000118,0.00199902
1995,15,AUS,0.00000071,0.00145944
1995,15,IND,0.00000025,0.00029719
1995,15,Other,0.00000014,0.00030700
1995,16,THA,0.00000024,0.00008413
1995,16,DNK,0.00000007,0.00003069
1995,16,CHN,0.00000002,0.00001594
1995,16,NOR,0.00000000,0.00000133
1995,16,SGP,0.00000000,0.00000005
1995,16,Other,0.00000000,0.00000080
1995,17,IND,0.00000064,0.00073592
1995,17,CHN,0.00000026,0.00019239
1995,17,KOR,0.00000022,0.00006654
1995,17,DEU,0.00000015,0.00034750
1995,17,HKG,0.00000004,0.00002587
1995,17,Other,0.00000009,0.00004449
1995,18,IND,0.00000021,0.00005821
1995,18,NLD,0.00000015,0.00007083
1995,18,GBR,0.00000009,0.00002087
1995,18,CHE,0.00000003,0.00000503
1995,18,HKG,0.00000003,0.00001688
1995,18,Other,0.00000005,0.00000904
1995,19,IND,0.00000284,0.00162648
1995,19,THA,0.00000040,0.00002569
1995,19,USA,0.00000017,0.00045069
1995,19,NLD,0.00000012,0.00020000
1995,19,MYS,0.00000004,0.00002808
1995,19,Other,0.00000009,0.00005132
1995,20,PRT,0.00000024,0.00025497
1995,20,CHN,0.00000006,0.00002956
1995,20,IND,0.00000005,0.00005741
1995,20,SGP,0.00000004,0.00001649
1995,20,MYS,0.00000002,0.00001900
1995,20,Other,0.00000004,0.00003632
1995,21,IRL,0.00000136,0.00005812
1995,21,IND,0.00000033,0.00015740
1995,21,THA,0.00000013,0.00002914
1995,21,GBR,0.00000012,0.00001626
1995,21,SGP,0.00000007,0.00001518
1995,21,Other,0.00000012,0.00002854
1995,22,GBR,0.00000132,0.00020988
1995,22,BEL,0.00000030,0.00002396
1995,22,SGP,0.00000026,0.00010871
1995,22,FRA,0.00000026,0.00010390
1995,22,IND,0.00000018,0.00031672
1995,22,Other,0.00000024,0.00011676
1995,23,IND,0.00000034,0.00166200
1995,23,CHL,0.00000023,0.00040387
1995,23,CHE,0.00000001,0.00000012
1995,23,DEU,0.00000001,0.00000010
1995,23,FRA,0.00000001,0.00000010
1995,23,Other,0.00000001,0.00000890
1995,24,IND,0.00000625,0.00512371
1995,24,SGP,0.00000118,0.00003784
1995,24,HKG,0.00000005,0.00000208
1995,24,BRA,0.00000005,0.00000963
1995,24,NLD,0.00000002,0.00000137
1995,24,Other,0.00000001,0.00000016
1995,25,IND,0.00000534,0.15054234
1995,25,GRC,0.00000029,0.00913700
1995,25,DEU,0.00000001,0.00003692
1995,25,SGP,0.00000001,0.00002900
1995,25,ITA,0.00000001,0.00000812
1995,25,Other,0.00000000,0.00000100
1995,26,IND,0.00000002,0.00229200
1995,26,DEU,0.00000000,0.00008450
1995,27,IND,0.00000497,0.13819495
1995,27,SGP,0.00000383,0.00428400
1995,27,CHN,0.00000042,0.00106119
1995,27,JPN,0.00000003,0.00001620
1995,27,KOR,0.00000003,0.00007000
1995,27,Other,0.00000003,0.00007747
1995,28,IND,0.00000208,0.00802891
1995,28,JPN,0.00000028,0.00145600
1995,28,SGP,0.00000019,0.00009900
1995,28,CHN,0.00000014,0.00036950
1995,28,DEU,0.00000009,0.00012550
1995,28,Other,0.00000005,0.00005151
1995,29,HKG,0.00000710,0.00029269
1995,29,DEU,0.00000103,0.00040783
1995,29,SGP,0.00000073,0.00018820
1995,29,CHN,0.00000059,0.00008712
1995,29,DNK,0.00000053,0.00001548
1995,29,Other,0.00000142,0.00064086
1995,30,IND,0.00001794,0.00000429
1995,30,THA,0.00000289,0.00009164
1995,30,USA,0.00000105,0.00000000
1995,30,BEL,0.00000046,0.00000359
1995,30,JPN,0.00000040,0.00000410
1995,30,Other,0.00000148,0.00016573
1995,31,JOR,0.00000729,0.00000000
1995,31,IND,0.00000602,0.02010200
1995,31,CHN,0.00000447,0.02000000
1995,31,BGD,0.00000105,0.00502400
1995,31,JPN,0.00000035,0.00280000
1995,31,Other,0.00000007,0.00035700
1995,32,THA,0.00000512,0.00010477
1995,32,IND,0.00000094,0.00066448
1995,32,CHE,0.00000056,0.00001657
1995,32,DEU,0.00000046,0.00011564
1995,32,MYS,0.00000025,0.00005598
1995,32,Other,0.00000056,0.00017456
1995,33,IND,0.00000098,0.00033802
1995,33,THA,0.00000089,0.00004247
1995,33,FRA,0.00000068,0.00004719
1995,33,GBR,0.00000058,0.00010468
1995,33,DEU,0.00000057,0.00008422
1995,33,Other,0.00000093,0.00009251
1995,34,IND,0.00000088,0.00083352
1995,34,DEU,0.00000020,0.00007250
1995,34,MYS,0.00000017,0.00000000
1995,34,THA,0.00000016,0.00001837
1995,34,FRA,0.00000011,0.00006850
1995,34,Other,0.00000029,0.00018339
1995,35,IND,0.00000021,0.00011161
1995,35,SGP,0.00000006,0.00001337
1995,35,THA,0.00000002,0.00000300
1995,35,DEU,0.00000002,0.00000609
1995,35,HKG,0.00000001,0.00000045
1995,35,Other,0.00000001,0.00001051
1995,36,GBR,0.00000002,0.00001100
1995,36,CHN,0.00000001,0.00000123
1995,36,ESP,0.00000000,0.00000098
1995,37,SGP,0.00000184,0.00000000
1995,37,JPN,0.00000141,0.00012562
1995,37,HKG,0.00000058,0.00001077
1995,37,DEU,0.00000029,0.00004716
1995,37,BEL,0.00000011,0.00000513
1995,37,Other,0.00000011,0.00001631
1995,38,IND,0.00000052,0.00031654
1995,38,CHN,0.00000039,0.00016374
1995,38,SGP,0.00000025,0.00007052
1995,38,DEU,0.00000021,0.00010174
1995,38,JPN,0.00000016,0.00001019
1995,38,Other,0.00000028,0.00010551
1995,39,THA,0.00001693,0.00057373
1995,39,SGP,0.00000912,0.00881724
1995,39,JPN,0.00000317,0.00031580
1995,39,DEU,0.00000097,0.00098474
1995,39,IND,0.00000086,0.00048191
1995,39,Other,0.00000218,0.00169732
1995,40,IND,0.00000280,0.00136437
1995,40,USA,0.00000171,0.00000000
1995,40,KOR,0.00000083,0.00034818
1995,40,JPN,0.00000070,0.00007109
1995,40,THA,0.00000055,0.00004446
1995,40,Other,0.00000171,0.00078212
1995,41,ITA,0.00000028,0.00001419
1995,41,ETH,0.00000022,0.00005239
1995,41,NLD,0.00000004,0.00001686
1995,41,IND,0.00000002,0.00000138
1995,41,ESP,0.00000002,0.00000375
1995,41,Other,0.00000001,0.00000108
1995,42,HKG,0.00000086,0.00010405
1995,42,THA,0.00000054,0.00010675
1995,42,CHN,0.00000042,0.00016162
1995,42,MYS,0.00000015,0.00000579
1995,42,FRA,0.00000012,0.00000834
1995,42,Other,0.00000007,0.00000217
1995,43,ARG,0.00000005,0.00000028
1995,44,IND,0.00000115,0.00193332
1995,44,SWE,0.00000039,0.00052800
1995,44,CHN,0.00000004,0.00002670
1995,44,SGP,0.00000003,0.00000000
1995,44,JPN,0.00000001,0.00001263
1995,44,Other,0.00000002,0.00002540
1995,46,IND,0.00000000,0.00000400
1995,46,SGP,0.00000000,0.00000000
1995,47,DEU,0.00000000,0.00000288
1995,48,IND,0.00000459,0.00596349
1995,48,THA,0.00000442,0.00011552
1995,48,HKG,0.00000022,0.00002356
1995,48,CHN,0.00000020,0.00027781
1995,48,DNK,0.00000017,0.00000887
1995,48,Other,0.00000050,0.00032949
1995,49,THA,0.00000128,0.00009511
1995,49,AUT,0.00000033,0.00000437
1995,49,SGP,0.00000023,0.00000000
1995,49,FRA,0.00000016,0.00000509
1995,49,JPN,0.00000013,0.00000195
1995,49,Other,0.00000045,0.00005157
1995,50,HKG,0.00000525,0.00023872
1995,50,CHN,0.00000114,0.00005321
1995,50,SGP,0.00000039,0.00001587
1995,50,IND,0.00000005,0.00000099
1995,50,FRA,0.00000003,0.00000031
1995,51,NZL,0.00003348,0.00869099
1995,51,CHN,0.00000525,0.00245937
1995,51,HKG,0.00000023,0.00001568
1995,51,SGP,0.00000013,0.00000428
1995,51,GBR,0.00000006,0.00000107
1995,51,Other,0.00000009,0.00000510
1995,52,CHN,0.00000352,0.00041005
1995,52,IND,0.00000238,0.00064246
1995,52,HKG,0.00000189,0.00059855
1995,52,THA,0.00000038,0.00005210
1995,52,SGP,0.00000017,0.00002802
1995,52,Other,0.00000006,0.00002064
1995,53,IND,0.00000024,0.00122319
1995,53,HKG,0.00000009,0.00001033
1995,53,CHN,0.00000004,0.00000360
1995,53,DEU,0.00000001,0.00000010
1995,54,CHN,0.00000149,0.00022507
1995,54,IND,0.00000140,0.00013951
1995,54,SGP,0.00000125,0.00054547
1995,54,JPN,0.00000077,0.00008433
1995,54,HKG,0.00000044,0.00003596
1995,54,Other,0.00000073,0.00011088
1995,55,IND,0.00000555,0.00190290
1995,55,CHN,0.00000383,0.00081298
1995,55,KOR,0.00000046,0.00002712
1995,55,THA,0.00000034,0.00014204
1995,55,GBR,0.00000030,0.00009165
1995,55,Other,0.00000051,0.00006761
1995,56,THA,0.00000177,0.00019905
1995,56,JPN,0.00000006,0.00000383
1995,56,IND,0.00000006,0.00003115
1995,56,HKG,0.00000005,0.00001594
1995,56,GBR,0.00000003,0.00000677
1995,56,Other,0.00000002,0.00000414
1995,57,BEL,0.00000051,0.00017190
1995,57,GBR,0.00000032,0.00006294
1995,57,CZE,0.00000009,0.00006264
1995,57,USA,0.00000008,0.00001777
1995,57,HUN,0.00000007,0.00001063
1995,57,Other,0.00000014,0.00002755
1995,58,CHN,0.00000068,0.00006225
1995,58,HKG,0.00000021,0.00004254
1995,58,THA,0.00000012,0.00000426
1995,58,KOR,0.00000005,0.00002800
1995,58,SGP,0.00000002,0.00000000
1995,58,Other,0.00000002,0.00000357
1995,59,CHN,0.00000017,0.00003392
1995,59,JPN,0.00000015,0.00004157
1995,59,KOR,0.00000010,0.00002927
1995,59,HKG,0.00000007,0.00000781
1995,59,GBR,0.00000007,0.00000118
1995,59,Other,0.00000014,0.00000959
1995,60,IND,0.00000027,0.00005075
1995,60,HKG,0.00000011,0.00003067
1995,60,CHN,0.00000009,0.00002021
1995,60,KOR,0.00000007,0.00001843
1995,60,JPN,0.00000005,0.00002072
1995,60,Other,0.00000001,0.00000195
1995,61,THA,0.00000902,0.00053473
1995,61,HKG,0.00000157,0.00008913
1995,61,CHN,0.00000031,0.00005676
1995,61,IND,0.00000023,0.00001466
1995,61,GBR,0.00000006,0.00000058
1995,61,Other,0.00000010,0.00000817
1995,62,THA,0.00001093,0.00060573
1995,62,HKG,0.00000276,0.00023105
1995,62,CHN,0.00000056,0.00005276
1995,62,IND,0.00000013,0.00001562
1995,62,KOR,0.00000005,0.00001157
1995,62,Other,0.00000013,0.00000294
1995,63,CHN,0.00000120,0.00022103
1995,63,THA,0.00000112,0.00004780
1995,63,KOR,0.00000071,0.00012146
1995,63,JPN,0.00000054,0.00083485
1995,63,ESP,0.00000014,0.00001229
1995,63,Other,0.00000023,0.00009272
1995,64,THA,0.00004379,0.00001641
1995,64,CHN,0.00000179,0.00000000
1995,64,KOR,0.00000044,0.00008256
1995,64,IND,0.00000022,0.00000000
1995,64,HKG,0.00000021,0.00000000
1995,64,Other,0.00000010,0.00000074
1995,65,THA,0.00000039,0.00000902
1995,65,MYS,0.00000003,0.00000294
1995,65,JPN,0.00000001,0.00000007
1995,65,CHN,0.00000001,0.00000010
1995,65,GBR,0.00000000,0.00000016
1995,65,Other,0.00000000,0.00000007
1995,66,CHN,0.00000117,0.00048298
1995,66,HKG,0.00000005,0.00000287
1995,67,HKG,0.00000002,0.00000000
1995,67,THA,0.00000001,0.00000006
1995,67,CHN,0.00000000,0.00000084
1995,68,IND,0.00000020,0.00040638
1995,68,CHN,0.00000012,0.00000644
1995,68,JPN,0.00000011,0.00002403
1995,68,ITA,0.00000011,0.00004254
1995,68,HKG,0.00000003,0.00000319
1995,68,Other,0.00000004,0.00004113
1995,69,IND,0.00000045,0.00150149
