year,product_chapter,importer,value_trln_USD
1995,15,POL,0.00000010
1995,15,THA,0.00000002
1995,17,UGA,0.00000001
1995,23,THA,0.00000068
1995,25,JPN,0.00000002
1995,27,JPN,0.00000000
1995,30,JPN,0.00001534
1995,30,THA,0.00000181
1995,30,CHN,0.00000004
1995,30,MEX,0.00000003
1995,30,USA,0.00000001
1995,33,ROU,0.00000000
1995,39,BRA,0.00000002
1995,50,JPN,0.00000038
1995,50,KOR,0.00000036
1995,52,BGD,0.00000002
1995,52,MKD,0.00000002
1995,52,THA,0.00000000
1995,61,USA,0.00000586
1995,62,USA,0.00000036
1995,76,USA,0.00000002
1995,82,ZA1,0.00000001
1995,83,MEX,0.00000038
1995,84,ROU,0.00000004
1995,84,JPN,0.00000001
1995,84,USA,0.00000000
1995,85,KOR,0.00000050
1995,85,POL,0.00000018
1995,85,ROU,0.00000004
1995,87,MWI,0.00000002
1995,90,ROU,0.00000000
1995,95,ZA1,0.00000001
1995,96,ROU,0.00000001
1996,10,PHL,0.00000001
1996,14,FRA,0.00000003
1996,15,THA,0.00000037
1996,20,GHA,0.00000001
1996,21,THA,0.00000000
1996,23,THA,0.00000039
1996,23,PHL,0.00000009
1996,25,JPN,0.00000001
1996,30,JPN,0.00000959
1996,30,PHL,0.00000793
1996,30,THA,0.00000218
1996,37,GHA,0.00000000
1996,39,PRT,0.00000000
1996,44,NLD,0.00000001
1996,50,KOR,0.00000005
1996,52,PHL,0.00000057
1996,55,PHL,0.00000000
1996,56,PHL,0.00000000
1996,58,PHL,0.00000000
1996,60,PHL,0.00000074
1996,61,USA,0.00000915
1996,61,MEX,0.00000003
1996,61,PHL,0.00000003
1996,61,SVN,0.00000000
1996,62,USA,0.00000036
1996,62,GHA,0.00000001
1996,70,PHL,0.00000000
1996,71,JPN,0.00000018
1996,72,KOR,0.00000001
1996,73,GHA,0.00000013
1996,76,USA,0.00000004
1996,83,PRT,0.00000006
1996,84,KOR,0.00000015
1996,84,GHA,0.00000007
1996,84,PHL,0.00000006
1996,84,JPN,0.00000000
1996,85,PHL,0.00000178
1996,85,KOR,0.00000046
1996,85,GHA,0.00000017
1996,85,USA,0.00000000
1996,87,GHA,0.00000002
1996,88,PHL,0.00000005
1996,90,GHA,0.00000000
1996,90,USA,0.00000000
1996,94,GHA,0.00000000
1996,95,USA,0.00000001
1996,96,PHL,0.00000000
1997,10,THA,0.00000000
1997,11,KNA,0.00000000
1997,15,GHA,0.00000001
1997,20,PHL,0.00000001
1997,20,FRA,0.00000001
1997,23,THA,0.00000042
1997,23,IRL,0.00000019
1997,25,JPN,0.00000000
1997,28,COL,0.00000002
1997,30,JPN,0.00001222
1997,30,PHL,0.00000663
1997,30,THA,0.00000147
1997,30,GRC,0.00000007
1997,30,DEU,0.00000000
1997,32,PHL,0.00000000
1997,33,PHL,0.00000001
1997,33,ESP,0.00000000
1997,34,PHL,0.00000000
1997,35,COL,0.00000001
1997,35,PHL,0.00000000
1997,37,KOR,0.00000008
1997,50,BRA,0.00000000
1997,50,USA,0.00000000
1997,50,JPN,0.00000000
1997,51,SVN,0.00000000
1997,52,PHL,0.00000078
1997,52,HRV,0.00000003
1997,55,PHL,0.00000001
1997,58,PHL,0.00000007
1997,60,PHL,0.00000108
1997,61,USA,0.00001366
1997,61,PHL,0.00000013
1997,61,DEU,0.00000000
1997,62,USA,0.00000001
1997,62,PHL,0.00000000
1997,62,LBN,0.00000000
1997,64,COL,0.00000000
1997,69,PHL,0.00000002
1997,70,ZA1,0.00000000
1997,71,GRC,0.00000001
1997,73,PHL,0.00000007
1997,73,GBR,0.00000002
1997,74,KOR,0.00000001
1997,74,JPN,0.00000001
1997,74,TZA,0.00000000
1997,76,USA,0.00000003
1997,76,JPN,0.00000000
1997,76,KOR,0.00000000
1997,82,ZA1,0.00000000
1997,83,GRC,0.00000001
1997,84,PHL,0.00000009
1997,84,COL,0.00000006
1997,84,JPN,0.00000001
1997,84,GHA,0.00000001
1997,84,ZA1,0.00000000
1997,85,PHL,0.00000084
1997,85,USA,0.00000001
1997,85,GHA,0.00000000
1997,85,PRT,0.00000000
1997,87,PHL,0.00000001
1997,87,KOR,0.00000001
1997,87,GHA,0.00000001
1997,87,JPN,0.00000001
1997,87,JAM,0.00000000
1997,89,PHL,0.00000006
1997,90,PHL,0.00000002
1997,90,URY,0.00000002
1997,90,BRA,0.00000000
1997,90,GHA,0.00000000
1997,94,USA,0.00000000
1997,95,PHL,0.00000001
1998,12,NLD,0.00000001
1998,12,THA,0.00000001
1998,13,URY,0.00000001
1998,20,GHA,0.00000003
1998,23,THA,0.00000020
1998,25,JPN,0.00000001
1998,27,PHL,0.00000022
1998,27,MUS,0.00000005
1998,28,GHA,0.00000006
1998,28,PHL,0.00000002
1998,28,FRA,0.00000000
1998,29,BRA,0.00000003
1998,29,PHL,0.00000001
1998,29,GHA,0.00000000
1998,30,JPN,0.00000894
1998,30,PHL,0.00000386
1998,30,DEU,0.00000002
1998,30,USA,0.00000000
1998,32,GHA,0.00000000
1998,39,IDN,0.00000000
1998,42,DNK,0.00000004
1998,44,PHL,0.00000124
1998,45,THA,0.00000003
1998,48,PHL,0.00000001
1998,49,JPN,0.00000000
1998,50,JPN,0.00000021
1998,50,USA,0.00000000
1998,52,PHL,0.00000037
1998,52,UGA,0.00000004
1998,52,BEN,0.00000002
1998,55,PHL,0.00000001
1998,58,AUT,0.00000001
1998,60,PHL,0.00000088
1998,61,USA,0.00001395
1998,61,PHL,0.00000005
1998,62,USA,0.00000014
1998,63,SVN,0.00000000
1998,73,BRA,0.00000003
1998,73,JPN,0.00000000
1998,74,THA,0.00000033
1998,74,KOR,0.00000003
1998,76,USA,0.00000009
1998,76,KOR,0.00000001
1998,82,PHL,0.00000000
1998,84,THA,0.00000004
1998,84,PHL,0.00000001
1998,84,JPN,0.00000001
1998,84,AUT,0.00000000
1998,85,JAM,0.00000007
1998,85,PHL,0.00000005
1998,85,USA,0.00000002
1998,85,GHA,0.00000000
1998,87,GHA,0.00000007
1998,87,PHL,0.00000006
1998,87,FRA,0.00000000
1998,87,JAM,0.00000000
1998,88,AUS,0.00000000
1998,90,PHL,0.00000004
1998,91,PER,0.00000000
1998,94,PHL,0.00000002
1998,95,URY,0.00000003
1999,14,FRA,0.00000002
1999,15,THA,0.00000019
1999,20,GHA,0.00000010
1999,20,THA,0.00000003
1999,20,FRA,0.00000002
1999,20,BEN,0.00000002
1999,23,THA,0.00000267
1999,25,JPN,0.00000001
1999,29,BRA,0.00000002
1999,29,GHA,0.00000001
1999,30,JPN,0.00001777
1999,30,THA,0.00000010
1999,30,USA,0.00000001
1999,30,TZA,0.00000000
1999,32,BRA,0.00000000
1999,40,GBR,0.00000000
1999,44,USA,0.00000023
1999,48,THA,0.00000000
1999,49,PRT,0.00000000
1999,49,JPN,0.00000000
1999,49,THA,0.00000000
1999,50,ESP,0.00000002
1999,50,JPN,0.00000000
1999,61,USA,0.00001577
1999,61,LBN,0.00000000
1999,62,USA,0.00000027
1999,63,GHA,0.00000000
1999,70,USA,0.00000000
1999,70,IRL,0.00000000
1999,71,AUT,0.00000003
1999,74,KOR,0.00000004
1999,76,USA,0.00000005
1999,76,KOR,0.00000002
1999,80,ESP,0.00000002
1999,82,NGA,0.00000000
1999,84,THA,0.00000048
1999,84,USA,0.00000039
1999,84,SDN,0.00000002
1999,84,GHA,0.00000000
1999,84,JPN,0.00000000
1999,84,Other,0.00000000
1999,85,THA,0.00000000
1999,85,BRA,0.00000000
1999,87,GHA,0.00000003
1999,87,SCG,0.00000000
1999,90,ZA1,0.00000001
1999,94,GHA,0.00000000
1999,95,USA,0.00000001
1999,96,ESP,0.00000002
1999,96,GRC,0.00000001
1999,96,NGA,0.00000000
1999,97,USA,0.00000002
2000,22,CPV,0.00000000
2000,23,S19,0.00000011
2000,23,SCG,0.00000003
2000,25,JPN,0.00000001
2000,27,JPN,0.00000000
2000,30,JPN,0.00001778
2000,30,NGA,0.00000040
2000,30,USA,0.00000009
2000,30,S19,0.00000001
2000,30,AUS,0.00000000
2000,37,LKA,0.00000001
2000,37,BRA,0.00000000
2000,39,JPN,0.00000000
2000,39,USA,0.00000000
2000,40,IRL,0.00000002
2000,41,ITA,0.00000004
2000,44,KOR,0.00000006
2000,44,IDN,0.00000002
2000,44,USA,0.00000002
2000,44,BRA,0.00000000
2000,49,JPN,0.00000000
2000,49,SGP,0.00000000
2000,49,TGO,0.00000000
2000,50,JPN,0.00000000
2000,52,ZWE,0.00000002
2000,55,COL,0.00000004
2000,60,PHL,0.00000002
2000,61,USA,0.00001328
2000,61,PHL,0.00000002
2000,61,AUT,0.00000000
2000,62,USA,0.00000002
2000,68,VNM,0.00000000
2000,69,KOR,0.00000003
2000,73,JPN,0.00000003
2000,73,MEX,0.00000000
2000,74,KOR,0.00000001
2000,76,USA,0.00000005
2000,76,KOR,0.00000004
2000,78,ESP,0.00000006
2000,80,NLD,0.00000005
2000,84,GBR,0.00000002
2000,84,JPN,0.00000000
2000,84,KOR,0.00000000
2000,85,KOR,0.00000003
2000,85,AUS,0.00000002
2000,85,USA,0.00000001
2000,85,CRI,0.00000001
2000,85,FRA,0.00000000
2000,85,Other,0.00000000
2000,90,DEU,0.00000000
2000,90,BRA,0.00000000
2000,90,COL,0.00000000
2000,90,AUT,0.00000000
2000,94,CPV,0.00000001
2000,95,FRA,0.00000000
2000,95,LCA,0.00000000
2000,96,USA,0.00000000
2000,97,USA,0.00000000
2001,10,USA,0.00000000
2001,25,JPN,0.00000001
2001,30,JPN,0.00001293
2001,30,USA,0.00000018
2001,39,USA,0.00000001
2001,40,IRL,0.00000006
2001,40,MWI,0.00000002
2001,40,USA,0.00000000
2001,44,S19,0.00000001
2001,44,USA,0.00000001
2001,49,NZL,0.00000000
2001,50,ESP,0.00000006
2001,52,VNM,0.00000017
2001,57,NZL,0.00000001
2001,61,USA,0.00001355
2001,61,PHL,0.00000000
2001,61,PRT,0.00000000
2001,61,AUT,0.00000000
2001,62,S19,0.00000007
2001,62,FRA,0.00000000
2001,70,KNA,0.00000000
2001,74,KOR,0.00000001
2001,76,USA,0.00000004
2001,76,KOR,0.00000000
2001,82,JPN,0.00000001
2001,82,PHL,0.00000000
2001,82,NGA,0.00000000
2001,82,NZL,0.00000000
2001,83,PHL,0.00000001
2001,84,DEU,0.00000010
2001,84,JPN,0.00000001
2001,84,COL,0.00000000
2001,84,AUS,0.00000000
2001,84,AUT,0.00000000
2001,85,ESP,0.00000001
2001,85,USA,0.00000001
2001,85,PYF,0.00000000
2001,85,KOR,0.00000000
2001,85,AUT,0.00000000
2001,87,TGO,0.00000001
2001,87,KOR,0.00000001
2001,88,BRA,0.00000007
2001,90,PHL,0.00000000
2001,94,USA,0.00000003
2002,12,JPN,0.00000005
2002,25,TGO,0.00000000
2002,27,TGO,0.00000004
2002,27,JPN,0.00000000
2002,29,AUS,0.00000000
2002,29,BRA,0.00000000
2002,30,JPN,0.00000906
2002,30,USA,0.00000022
2002,30,AUT,0.00000000
2002,32,JPN,0.00000000
2002,35,SVK,0.00000000
2002,39,USA,0.00000007
2002,39,AUT,0.00000000
2002,44,S19,0.00000000
2002,52,TGO,0.00000002
2002,61,USA,0.00001592
2002,61,DEU,0.00000000
2002,62,USA,0.00000010
2002,71,BRA,0.00000001
2002,73,PHL,0.00000266
2002,73,JPN,0.00000001
2002,74,KOR,0.00000001
2002,76,USA,0.00000008
2002,76,BGD,0.00000006
2002,76,KOR,0.00000000
2002,84,JPN,0.00000001
2002,84,BRA,0.00000000
2002,84,IDN,0.00000000
2002,84,USA,0.00000000
2002,84,KOR,0.00000000
2002,85,POL,0.00000006
2002,85,HUN,0.00000005
2002,85,JPN,0.00000001
2002,85,KOR,0.00000000
2002,85,VNM,0.00000000
2002,85,Other,0.00000000
2002,87,KOR,0.00000000
2002,90,JPN,0.00000001
2002,90,DNK,0.00000001
2002,94,AUT,0.00000001
2002,94,JPN,0.00000000
2002,95,NIC,0.00000000
2002,96,VNM,0.00000000
2002,97,USA,0.00000003
2003,12,LBN,0.00000004
2003,16,KOR,0.00000001
2003,17,FSM,0.00000000
2003,18,FSM,0.00000000
2003,19,FSM,0.00000004
2003,22,FSM,0.00000001
2003,25,JPN,0.00000001
2003,27,JPN,0.00000002
2003,29,CRI,0.00000001
2003,30,JPN,0.00001331
2003,30,USA,0.00000012
2003,30,GTM,0.00000008
2003,30,DEU,0.00000001
2003,30,FSM,0.00000000
2003,32,FSM,0.00000000
2003,35,COL,0.00000001
2003,38,FSM,0.00000000
2003,39,USA,0.00000006
2003,39,FSM,0.00000000
2003,40,FSM,0.00000000
2003,44,FSM,0.00000001
2003,48,FSM,0.00000000
2003,49,USA,0.00000000
