year,product_chapter,importer,value_trln_USD,quantity_mln_metric_tons
1995,10,ITA,0.00013984,0.07045799
1995,10,DEU,0.00001752,0.00879624
1995,10,DZA,0.00001182,0.06539287
1995,10,FRA,0.00000964,0.00503748
1995,10,HRV,0.00000806,0.00498129
1995,10,Other,0.00003224,0.07640650
1995,11,RUS,0.00000779,0.02366175
1995,11,GBR,0.00000161,0.00159683
1995,11,BLR,0.00000137,0.00495041
1995,11,DEU,0.00000136,0.00117032
1995,11,HUN,0.00000112,0.00062605
1995,11,Other,0.00000401,0.00550113
1995,12,GBR,0.00003880,0.16758560
1995,12,MEX,0.00002763,0.08771944
1995,12,DEU,0.00002248,0.03431384
1995,12,BGD,0.00000681,0.02472300
1995,12,SWE,0.00000534,0.01798828
1995,12,Other,0.00002792,0.07256408
1995,13,DEU,0.00000014,0.00000823
1995,13,CHN,0.00000007,0.00002614
1995,13,SVK,0.00000003,0.00000337
1995,13,LTU,0.00000002,0.00000283
1995,13,USA,0.00000002,0.00000550
1995,13,Other,0.00000004,0.00001440
1995,14,DNK,0.00000127,0.00387774
1995,14,DEU,0.00000114,0.00451875
1995,14,FRA,0.00000070,0.00039100
1995,14,NLD,0.00000026,0.00091571
1995,14,GBR,0.00000024,0.00061978
1995,14,Other,0.00000035,0.00063192
1995,15,RUS,0.00001404,0.01252378
1995,15,DEU,0.00000997,0.02318675
1995,15,NLD,0.00000554,0.01542706
1995,15,UKR,0.00000398,0.00312704
1995,15,BLR,0.00000290,0.00269301
1995,15,Other,0.00000688,0.01234631
1995,16,RUS,0.00008572,0.05320304
1995,16,DEU,0.00005439,0.02606110
1995,16,USA,0.00001923,0.00364197
1995,16,NLD,0.00001219,0.00384304
1995,16,BLR,0.00000843,0.00431116
1995,16,Other,0.00002355,0.00871938
1995,17,RUS,0.00003735,0.02134569
1995,17,UKR,0.00001031,0.00391871
1995,17,DNK,0.00000823,0.07157037
1995,17,DEU,0.00000685,0.01127765
1995,17,GBR,0.00000595,0.04813916
1995,17,Other,0.00004524,0.24360599
1995,18,RUS,0.00003272,0.01216427
1995,18,UKR,0.00002055,0.00647857
1995,18,BLR,0.00001028,0.00437470
1995,18,DEU,0.00000279,0.00132634
1995,18,NLD,0.00000262,0.00106208
1995,18,Other,0.00001424,0.00471913
1995,19,RUS,0.00004028,0.02738061
1995,19,DEU,0.00000651,0.00319588
1995,19,UKR,0.00000560,0.00308139
1995,19,ESP,0.00000388,0.00156043
