year,product_chapter,imports_trln_USD,exports_trln_USD
1995,10,0.00003138,0.00024975
1995,11,0.00003801,0.00000253
1995,12,0.00002642,0.00001165
1995,13,0.00000268,0.00000024
1995,14,0.00000013,0.00000184
1995,15,0.00003375,0.00010128
1995,16,0.00003223,0.00001019
1995,17,0.00013428,0.00000198
1995,18,0.00004892,0.00000034
1995,19,0.00003978,0.00000052
1995,20,0.00010700,0.00008188
1995,21,0.00015088,0.00000056
1995,22,0.00004064,0.00003570
1995,23,0.00009612,0.00001306
1995,24,0.00007576,0.00000089
1995,25,0.00007192,0.00012819
1995,26,0.00022856,0.00002563
1995,27,0.00220318,0.00060197
1995,28,0.00006600,0.00012385
1995,29,0.00023374,0.00027401
1995,30,0.00015853,0.00001550
1995,31,0.00001132,0.00038896
1995,32,0.00011652,0.00000337
1995,33,0.00006893,0.00000285
1995,34,0.00007307,0.00000152
1995,35,0.00002919,0.00000204
1995,36,0.00000364,0.00000179
1995,37,0.00002003,0.00000135
1995,38,0.00019766,0.00002001
1995,39,0.00027540,0.00015056
1995,40,0.00014397,0.00008615
1995,41,0.00016980,0.00002103
1995,42,0.00001053,0.00002679
1995,43,0.00000441,0.00000632
1995,44,0.00005103,0.00027247
1995,45,0.00000330,0.00000000
1995,46,0.00000022,0.00001285
1995,47,0.00001879,0.00000440
1995,48,0.00017896,0.00008995
1995,49,0.00004640,0.00000160
1995,50,0.00001040,0.00000830
1995,51,0.00014985,0.00001524
1995,52,0.00024197,0.00003294
1995,53,0.00002829,0.00001035
1995,54,0.00025686,0.00005482
1995,55,0.00023785,0.00009699
1995,56,0.00005423,0.00000217
1995,57,0.00001375,0.00001091
1995,58,0.00005460,0.00000151
1995,59,0.00004331,0.00000384
1995,60,0.00004101,0.00000224
1995,61,0.00008598,0.00027260
1995,62,0.00010105,0.00126400
1995,63,0.00002793,0.00004273
1995,64,0.00015841,0.00048309
1995,65,0.00000125,0.00000269
1995,66,0.00000175,0.00000310
1995,67,0.00000402,0.00000012
1995,68,0.00003734,0.00000586
1995,69,0.00004886,0.00004877
1995,70,0.00004584,0.00013223
1995,71,0.00003264,0.00004944
1995,72,0.00025470,0.00110464
1995,73,0.00012613,0.00026478
1995,74,0.00003184,0.00003655
1995,75,0.00001448,0.00000027
1995,76,0.00005211,0.00040994
1995,78,0.00000067,0.00000157
1995,79,0.00000674,0.00000700
1995,80,0.00005952,0.00001833
1995,81,0.00001038,0.00000976
1995,82,0.00003526,0.00001557
1995,83,0.00004495,0.00000722
1995,84,0.00149904,0.00051456
1995,85,0.00072524,0.00031310
