year,product_chapter,importer,value_trln_USD,quantity_mln_metric_tons
1995,11,GBR,0.00000000,0.00000048
1995,16,GBR,0.00000003,0.00000819
1995,20,ZA1,0.00000010,0.00004590
1995,23,KOR,0.00000003,0.00020700
1995,28,SAU,0.00000024,0.00041800
1995,30,JPN,0.00000319,0.00015084
1995,30,GBR,0.00000036,0.00016937
1995,30,ESP,0.00000001,0.00000325
1995,32,BEL,0.00000000,0.00000012
1995,33,ZA1,0.00000000,0.00000005
1995,34,CHE,0.00000002,0.00002366
1995,40,ZA1,0.00000004,0.00001852
1995,41,ZA1,0.00000000,0.00000003
1995,44,ZA1,0.00000002,0.00002649
1995,48,MYS,0.00000000,0.00000000
1995,48,CHE,0.00000000,0.00000018
1995,49,ZA1,0.00000001,0.00000055
1995,49,USA,0.00000000,0.00000000
1995,61,SWE,0.00000004,0.00000100
1995,63,USA,0.00000001,0.00000015
1995,71,CHE,0.00000038,0.00000000
1995,73,GBR,0.00000002,0.00000688
1995,73,CZE,0.00000001,0.00000250
1995,73,ZA1,0.00000000,0.00000150
1995,73,MYS,0.00000000,0.00000000
1995,74,CZE,0.00000002,0.00000500
1995,74,GBR,0.00000001,0.00000875
1995,76,GBR,0.00000001,0.00001313
1995,82,JPN,0.00000005,0.00000487
1995,82,GBR,0.00000000,0.00000018
1995,84,GBR,0.00000017,0.00000547
1995,84,JPN,0.00000008,0.00000004
1995,84,AUT,0.00000007,0.00000011
1995,84,SDN,0.00000006,0.00000217
1995,84,USA,0.00000001,0.00000003
1995,84,Other,0.00000003,0.00000022
1995,85,AUT,0.00000003,0.00000072
1995,85,ZA1,0.00000002,0.00001818
1995,85,USA,0.00000002,0.00000007
1995,85,MYS,0.00000001,0.00000000
1995,85,GBR,0.00000001,0.00000029
1995,85,Other,0.00000001,0.00000033
1995,86,GBR,0.00000001,0.00001237
1995,87,ZA1,0.00000000,0.00000097
1995,87,GBR,0.00000000,0.00000144
1995,90,GBR,0.00000007,0.00000205
1995,90,CAN,0.00000000,0.00000002
1995,90,ZA1,0.00000000,0.00000020
1995,91,EST,0.00000001,0.00000000
1995,91,JPN,0.00000000,0.00000000
1995,91,SWE,0.00000000,0.00000000
1995,95,ZA1,0.00000001,0.00000020
1995,96,CAN,0.00000000,0.00000000
1996,16,GBR,0.00000003,0.00000725
1996,20,PHL,0.00000001,0.00001569
1996,22,GBR,0.00000001,0.00000481
1996,26,ITA,0.00000001,0.00000363
1996,27,USA,0.00000194,0.00778821
1996,30,JPN,0.00000289,0.00015506
1996,30,GBR,0.00000029,0.00010495
1996,30,NLD,0.00000007,0.00001606
1996,30,ESP,0.00000007,0.00001363
1996,30,GRC,0.00000004,0.00001219
1996,30,Other,0.00000000,0.00000079
1996,32,SDN,0.00000005,0.00008000
1996,32,SCG,0.00000002,0.00000300
1996,33,SCG,0.00000005,0.00001100
1996,33,FRA,0.00000002,0.00000200
1996,33,MLT,0.00000000,0.00000000
1996,34,SCG,0.00000002,0.00000800
1996,39,BRA,0.00000003,0.00000169
1996,40,SCG,0.00000000,0.00000900
1996,41,TUR,0.00000005,0.00000069
1996,48,PHL,0.00000002,0.00002882
1996,48,MYS,0.00000001,0.00001375
1996,49,AUS,0.00000004,0.00001642
1996,52,BGD,0.00000000,0.00000000
1996,56,SCG,0.00000003,0.00000500
1996,61,USA,0.00000003,0.00000125
1996,61,GBR,0.00000000,0.00000017
1996,64,JPN,0.00000006,0.00000413
1996,64,ITA,0.00000000,0.00000015
1996,64,FIN,0.00000000,0.00000001
1996,68,ZA1,0.00000002,0.00001594
1996,71,GBR,0.00000002,0.00000025
1996,71,ZA1,0.00000001,0.00002100
1996,71,CHE,0.00000001,0.00000000
1996,72,GBR,0.00000000,0.00000125
1996,73,GBR,0.00000002,0.00000163
1996,74,GBR,0.00000002,0.00002824
1996,74,PHL,0.00000000,0.00000563
1996,76,GBR,0.00000001,0.00000881
1996,82,GBR,0.00000000,0.00000003
1996,83,BGD,0.00000004,0.00007200
1996,84,ZA1,0.00000015,0.00000802
1996,84,CAN,0.00000012,0.00000046
1996,84,SDN,0.00000005,0.00000375
1996,84,USA,0.00000004,0.00000042
1996,84,GBR,0.00000003,0.00000090
1996,84,Other,0.00000002,0.00000161
1996,85,POL,0.00000012,0.00000563
1996,85,GBR,0.00000010,0.00000027
1996,85,SDN,0.00000002,0.00000179
1996,85,ZA1,0.00000001,0.00000179
1996,85,USA,0.00000001,0.00000002
1996,85,Other,0.00000000,0.00000003
1996,86,GBR,0.00000000,0.00000494
1996,87,RWA,0.00000000,0.00000200
1996,87,GBR,0.00000000,0.00000010
1996,88,FRA,0.00000002,0.00000002
1996,89,GBR,0.00000000,0.00000010
1996,90,USA,0.00000008,0.00000000
1996,90,GBR,0.00000006,0.00000333
1996,90,NGA,0.00000005,0.00000169
1996,90,SDN,0.00000001,0.00000027
1996,90,SCG,0.00000000,0.00000001
1996,91,JPN,0.00000003,0.00000000
1996,91,CAN,0.00000000,0.00000000
1996,94,ZA1,0.00000001,0.00000550
1996,95,ITA,0.00000000,0.00000014
1997,11,TZA,0.00000002,0.00008000
1997,12,TZA,0.00000008,0.00000600
1997,17,TZA,0.00000000,0.00000010
1997,21,TZA,0.00000001,0.00000137
1997,22,SDN,0.00000000,0.00000300
1997,27,TZA,0.00000004,0.00017842
1997,28,TZA,0.00000002,0.00004160
1997,29,TZA,0.00000004,0.00001944
1997,29,IDN,0.00000001,0.00000200
1997,29,CAN,0.00000000,0.00000012
1997,30,JPN,0.00000341,0.00027918
1997,30,USA,0.00000074,0.00012145
1997,30,GBR,0.00000023,0.00009223
1997,30,TZA,0.00000018,0.00001521
1997,31,TZA,0.00000001,0.00000004
1997,32,SDN,0.00000000,0.00002000
1997,33,TZA,0.00000001,0.00000194
1997,33,SDN,0.00000000,0.00000050
1997,34,TZA,0.00000000,0.00000011
1997,35,TZA,0.00000003,0.00000325
1997,35,LBN,0.00000000,0.00000003
1997,37,JPN,0.00000001,0.00000030
1997,38,TZA,0.00000008,0.00001223
1997,39,TZA,0.00000010,0.00007567
1997,39,IDN,0.00000003,0.00000788
1997,40,JAM,0.00000016,0.00005760
1997,40,TZA,0.00000010,0.00007510
1997,40,EST,0.00000010,0.00004600
1997,40,ETH,0.00000009,0.00005900
1997,40,ZA1,0.00000000,0.00000001
1997,40,Other,0.00000000,0.00000000
1997,42,ZA1,0.00000002,0.00001860
1997,42,SDN,0.00000001,0.00000172
1997,44,BRA,0.00000006,0.00170334
