year,product_chapter,importer,value_trln_USD,quantity_mln_metric_tons
1995,10,GRC,0.00000000,0.00000000
1995,12,PAN,0.00000003,0.00002003
1995,15,ESP,0.00000010,0.00015300
1995,20,NLD,0.00000003,0.00002702
1995,20,PAN,0.00000001,0.00002150
1995,20,DEU,0.00000001,0.00000550
1995,21,PAN,0.00000002,0.00001394
1995,22,PAN,0.00000004,0.00006426
1995,23,JPN,0.00000005,0.00005865
1995,23,CAN,0.00000001,0.00002676
1995,24,FRA,0.00000001,0.00000781
1995,24,DEU,0.00000001,0.00001531
1995,30,USA,0.00000348,0.00090461
1995,30,FRA,0.00000120,0.00030910
1995,30,DEU,0.00000020,0.00001810
1995,30,PAN,0.00000003,0.00000340
1995,30,CAN,0.00000000,0.00000200
1995,30,Other,0.00000000,0.00000240
1995,33,DEU,0.00000001,0.00000513
1995,37,ZWE,0.00000001,0.00000000
1995,37,SLV,0.00000000,0.00000004
1995,38,PAN,0.00000004,0.00000125
1995,38,PRT,0.00000001,0.00000787
1995,38,CHE,0.00000001,0.00000010
1995,39,PAN,0.00000002,0.00000531
1995,40,BEL,0.00000001,0.00000500
1995,40,SLV,0.00000000,0.00000093
1995,42,DEU,0.00000001,0.00000014
1995,44,ITA,0.00000004,0.00005969
1995,44,ESP,0.00000004,0.00004346
1995,44,JPN,0.00000001,0.00000121
1995,44,GRC,0.00000000,0.00000013
1995,46,FRA,0.00000002,0.00000137
1995,46,ESP,0.00000001,0.00000096
1995,48,ESP,0.00000000,0.00000011
1995,48,ITA,0.00000000,0.00000007
1995,49,BRA,0.00000002,0.00000206
1995,49,CHE,0.00000001,0.00000020
1995,51,USA,0.00000004,0.00008482
1995,55,FRA,0.00000005,0.00000150
1995,55,GRC,0.00000001,0.00000289
1995,60,ESP,0.00000000,0.00000023
1995,61,CAN,0.00000003,0.00000103
1995,61,CZE,0.00000001,0.00000030
1995,61,FRA,0.00000000,0.00000020
1995,61,CHE,0.00000000,0.00000002
1995,62,ESP,0.00000009,0.00000106
1995,62,FRA,0.00000000,0.00000010
1995,62,PRT,0.00000000,0.00000002
1995,64,ECU,0.00000000,0.00000150
1995,65,SLV,0.00000000,0.00000003
1995,67,ITA,0.00000001,0.00000150
1995,68,GRC,0.00000000,0.00000020
1995,69,BEL,0.00000002,0.00001645
1995,69,ESP,0.00000000,0.00000096
1995,72,DZA,0.00000007,0.00006000
1995,73,MYS,0.00000001,0.00002000
1995,73,SLV,0.00000001,0.00001125
1995,73,DZA,0.00000000,0.00000431
1995,74,CAN,0.00000001,0.00001019
1995,76,GRC,0.00000000,0.00000012
1995,80,CHE,0.00000004,0.00005340
1995,80,PRT,0.00000003,0.00004787
1995,80,DEU,0.00000000,0.00000050
1995,82,DEU,0.00000001,0.00000004
1995,82,DZA,0.00000000,0.00000000
1995,83,PAN,0.00000000,0.00000008
1995,84,ITA,0.00000008,0.00000016
1995,84,ESP,0.00000003,0.00000331
1995,84,HND,0.00000003,0.00000043
1995,84,SLV,0.00000002,0.00000175
1995,84,DEU,0.00000001,0.00000020
1995,84,Other,0.00000001,0.00000019
1995,85,IRL,0.00000004,0.00000041
1995,85,DZA,0.00000002,0.00000015
1995,85,MYS,0.00000001,0.00000000
1995,85,ESP,0.00000001,0.00000000
1995,85,PAN,0.00000000,0.00000020
1995,85,Other,0.00000000,0.00000023
1995,87,ITA,0.00000001,0.00000113
1995,87,HND,0.00000001,0.00000358
1995,87,CAF,0.00000000,0.00000169
1995,87,DEU,0.00000000,0.00000010
1995,87,SLV,0.00000000,0.00000001
1995,88,FRA,0.00000001,0.00000001
1995,88,CAN,0.00000000,0.00000000
1995,88,ESP,0.00000000,0.00000001
1995,89,JPN,0.00000004,0.00000119
1995,90,DEU,0.00000012,0.00002930
1995,90,PAN,0.00000000,0.00000003
1995,94,DEU,0.00000004,0.00001912
1995,94,SLV,0.00000004,0.00000550
1995,94,ESP,0.00000001,0.00000150
1995,94,GRC,0.00000000,0.00000025
1995,95,CAN,0.00000001,0.00000000
1996,10,PAN,0.00000042,0.00168000
1996,12,FRA,0.00000008,0.00001250
1996,14,DEU,0.00000003,0.00000731
1996,16,DNK,0.00000065,0.00005355
1996,16,ITA,0.00000049,0.00016000
1996,16,IRL,0.00000004,0.00001753
1996,17,FRA,0.00000000,0.00000090
1996,17,PAN,0.00000000,0.00000019
1996,20,CHE,0.00000001,0.00000066
1996,24,CYP,0.00000009,0.00000043
1996,27,ITA,0.00000262,0.01563169
1996,29,CHE,0.00000073,0.00003125
1996,29,SLV,0.00000002,0.00000085
1996,30,FRA,0.00000117,0.00031860
1996,30,CAN,0.00000058,0.00021113
1996,30,USA,0.00000044,0.00011072
1996,30,DEU,0.00000039,0.00003642
1996,32,CHE,0.00000038,0.00001881
1996,32,FRA,0.00000000,0.00000009
1996,33,PAN,0.00000001,0.00000119
1996,33,RUS,0.00000001,0.00000353
1996,34,PAN,0.00000001,0.00001950
1996,34,RUS,0.00000000,0.00000313
1996,34,ESP,0.00000000,0.00000076
1996,34,SLV,0.00000000,0.00000032
1996,35,PAN,0.00000000,0.00000079
1996,38,PAN,0.00000008,0.00001225
1996,39,DEU,0.00000002,0.00002500
1996,39,ITA,0.00000001,0.00000825
1996,39,PAN,0.00000000,0.00000256
1996,39,CAN,0.00000000,0.00000012
1996,39,RUS,0.00000000,0.00000014
1996,39,Other,0.00000000,0.00000002
1996,40,ESP,0.00000004,0.00000819
1996,40,PRT,0.00000000,0.00000003
1996,41,CYP,0.00000001,0.00000020
1996,41,ESP,0.00000000,0.00000004
1996,42,ESP,0.00000001,0.00000052
1996,42,FRA,0.00000000,0.00000009
1996,44,ITA,0.00000002,0.00002128
1996,44,DEU,0.00000001,0.00000181
1996,46,GRC,0.00000003,0.00000794
1996,47,ITA,0.00000016,0.00044706
1996,47,DEU,0.00000013,0.00015210
1996,48,GTM,0.00000001,0.00000337
1996,48,ESP,0.00000000,0.00000016
1996,48,PAN,0.00000000,0.00000283
1996,48,PRT,0.00000000,0.00000011
1996,48,SLV,0.00000000,0.00000005
1996,49,PAN,0.00000000,0.00000060
1996,51,USA,0.00000001,0.00002223
1996,55,KOR,0.00000003,0.00000319
1996,56,DNK,0.00000011,0.00013897
1996,61,MAC,0.00000000,0.00000012
1996,62,FRA,0.00000000,0.00000012
1996,63,FRA,0.00000000,0.00000040
1996,64,ITA,0.00000008,0.00000363
1996,64,DNK,0.00000002,0.00000169
1996,64,KNA,0.00000001,0.00000009
