year,product_chapter,value_trln_USD,quantity_mln_metric_tons
2011,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000414,0.00000127
2011,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000087,0.00000861
2011,Copper and articles thereof,0.00000040,0.00018952
2011,"Beverages, spirits and vinegar",0.00000034,0.00004909
2011,Aluminium and articles thereof,0.00000022,0.00012593
2011,Other,0.00000153,0.00076077
2012,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000369,0.00000074
2012,Copper and articles thereof,0.00000061,0.00021003
2012,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000039,0.00000184
2012,Lead and articles thereof,0.00000037,0.00038212
2012,Aluminium and articles thereof,0.00000029,0.00019186
2012,Other,0.00000067,0.00032637
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000721,0.00000105
2013,"Beverages, spirits and vinegar",0.00000147,0.00018263
2013,Copper and articles thereof,0.00000138,0.00038142
2013,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",0.00000099,0.00000610
2013,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000096,0.00124886
2013,Other,0.00000562,0.00281064
2014,"Ships, boats and floating structures",0.00002229,0.00015298
2014,"Beverages, spirits and vinegar",0.00000157,0.00022942
2014,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000107,0.00000041
2014,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000079,0.00007110
2014,Iron and steel,0.00000068,0.00245197
2014,Other,0.00000509,0.00799742
2015,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00001711,0.00000063
2015,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00001121,0.03909183
2015,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000133,0.00003518
2015,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000056,0.00006660
2015,Aluminium and articles thereof,0.00000046,0.00043160
2015,Other,0.00000334,0.00056694
2016,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00001793,0.00002134
2016,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000061,0.00004833
2016,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00000056,0.00000942
2016,Aluminium and articles thereof,0.00000055,0.00048463
2016,"Optical, photographic, cinematographic, measuring, checking, medical or surgical instruments and apparatus; parts and accessories",0.00000047,0.00000216
2016,Other,0.00000409,0.00394623
2017,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00002403,0.00002064
2017,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",0.00000097,0.00009980
2017,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000096,0.00010183
2017,"Beverages, spirits and vinegar",0.00000080,0.00038516
2017,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",0.00000067,0.00007014
2017,Other,0.00000637,0.00967045
2018,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00000231,0.00000105
