year,product_chapter,importer,value_trln_USD,quantity_mln_metric_tons
1995,10,NLD,0.00000205,0.00287388
1995,10,BEL,0.00000002,0.00007048
1995,12,USA,0.00000002,0.00000656
1995,21,BMU,0.00000000,0.00000000
1995,22,DEU,0.00000001,0.00000050
1995,23,NLD,0.00000001,0.00005185
1995,27,MKD,0.00000018,0.00108638
1995,28,IRL,0.00000022,0.00065794
1995,30,USA,0.00000489,0.00060135
1995,30,NLD,0.00000116,0.00004389
1995,30,FRA,0.00000044,0.00002794
1995,37,USA,0.00000000,0.00000000
1995,41,SVN,0.00000000,0.00000012
1995,44,IRL,0.00000001,0.00000688
1995,48,USA,0.00000000,0.00000000
1995,60,DEU,0.00000001,0.00000250
1995,61,EST,0.00000002,0.00000038
1995,61,GBR,0.00000001,0.00000071
1995,61,SVK,0.00000000,0.00000114
1995,61,CHE,0.00000000,0.00000006
1995,61,AUT,0.00000000,0.00000004
1995,62,AUT,0.00000000,0.00000001
1995,64,AUT,0.00000004,0.00000190
1995,64,CAN,0.00000000,0.00000000
1995,68,TGO,0.00000004,0.00012663
1995,70,FRA,0.00000001,0.00000016
1995,71,BEL,0.00000376,0.00000000
1995,71,DEU,0.00000000,0.00000001
1995,72,MYS,0.00000001,0.00000100
1995,73,NLD,0.00000005,0.00001200
1995,74,USA,0.00000001,0.00000587
1995,80,FRA,0.00000001,0.00002345
1995,80,DEU,0.00000000,0.00000020
1995,84,CAN,0.00000001,0.00000000
1995,85,FIN,0.00000000,0.00000003
1995,85,CMR,0.00000000,0.00000331
1995,85,COL,0.00000000,0.00000149
1995,85,AUT,0.00000000,0.00000003
1995,85,CAN,0.00000000,0.00000000
1995,87,UGA,0.00000000,0.00000175
1995,90,GBR,0.00000002,0.00000014
1995,90,EST,0.00000002,0.00000275
1995,90,BMU,0.00000000,0.00000000
1995,90,FRA,0.00000000,0.00000001
1995,93,EST,0.00000001,0.00000033
1995,94,BRA,0.00000001,0.00000172
1995,96,GBR,0.00000005,0.00000055
1995,96,USA,0.00000002,0.00000000
1995,97,FRA,0.00000002,0.00000000
1995,97,USA,0.00000001,0.00000000
1995,97,GBR,0.00000000,0.00000000
1995,97,CAN,0.00000000,0.00000000
1995,97,BMU,0.00000000,0.00000000
1996,10,NLD,0.00000448,0.00606788
1996,10,GBR,0.00000099,0.00151200
1996,10,JAM,0.00000001,0.00000363
1996,12,ROU,0.00000002,0.00001800
1996,17,RUS,0.00000002,0.00001610
1996,18,USA,0.00000001,0.00000113
1996,20,ROU,0.00000001,0.00000200
1996,21,MDA,0.00000000,0.00000020
1996,25,SVK,0.00000001,0.00003998
1996,27,ITA,0.00000795,0.07814318
1996,28,IRL,0.00000024,0.00065981
1996,28,PER,0.00000002,0.00001400
1996,28,BGD,0.00000001,0.00002163
1996,30,USA,0.00000356,0.00047384
1996,30,NLD,0.00000060,0.00003521
1996,30,FRA,0.00000019,0.00000637
1996,30,BGD,0.00000001,0.00000000
1996,30,BGR,0.00000000,0.00000001
1996,33,USA,0.00000001,0.00000000
1996,34,UKR,0.00000004,0.00008527
1996,34,USA,0.00000000,0.00000037
1996,38,BGR,0.00000000,0.00000812
