year,product_chapter,importer,value_trln_USD
1995,10,USA,0.00000067
1995,10,BEN,0.00000053
1995,10,GHA,0.00000025
1995,10,JPN,0.00000014
1995,10,BEL,0.00000006
1995,10,Other,0.00000016
1995,11,BEN,0.00000034
1995,11,NGA,0.00000034
1995,11,GAB,0.00000009
1995,11,COG,0.00000002
1995,11,FRA,0.00000001
1995,11,Other,0.00000001
1995,12,FRA,0.00000181
1995,12,CHE,0.00000086
1995,12,ESP,0.00000015
1995,12,IND,0.00000006
1995,12,SGP,0.00000005
1995,12,Other,0.00000009
1995,13,IND,0.00000001
1995,14,FRA,0.00000004
1995,14,MAR,0.00000003
1995,15,BEN,0.00000032
1995,15,FRA,0.00000013
1995,15,NLD,0.00000006
1995,15,MLI,0.00000003
1995,15,NGA,0.00000002
1995,15,Other,0.00000007
1995,16,BEN,0.00000016
1995,16,GHA,0.00000006
1995,16,CHE,0.00000006
1995,16,GAB,0.00000003
1995,16,BFA,0.00000000
1995,17,BEN,0.00000097
1995,17,NER,0.00000020
1995,17,MLI,0.00000012
1995,17,GHA,0.00000007
1995,17,GAB,0.00000006
1995,17,Other,0.00000013
1995,18,POL,0.00000237
1995,18,GBR,0.00000118
1995,18,BEL,0.00000083
1995,18,NLD,0.00000073
1995,18,FRA,0.00000018
1995,18,Other,0.00000020
1995,19,GAB,0.00000001
1995,19,BEN,0.00000001
1995,19,NER,0.00000001
1995,19,GHA,0.00000001
1995,19,COG,0.00000001
1995,19,Other,0.00000000
1995,20,BEN,0.00000089
1995,20,GHA,0.00000025
1995,20,USA,0.00000009
1995,20,NER,0.00000003
1995,20,BFA,0.00000001
1995,20,Other,0.00000001
1995,21,BEN,0.00000099
1995,21,NGA,0.00000065
1995,21,GHA,0.00000025
1995,21,NER,0.00000020
1995,21,CMR,0.00000014
1995,21,Other,0.00000038
1995,22,BEN,0.00000239
1995,22,GAB,0.00000036
1995,22,GHA,0.00000012
1995,22,NLD,0.00000008
1995,22,CIV,0.00000007
1995,22,Other,0.00000027
1995,23,FRA,0.00000271
1995,23,MAR,0.00000118
1995,23,TUR,0.00000098
1995,23,USA,0.00000065
1995,23,CHE,0.00000063
1995,23,Other,0.00000205
1995,24,BEN,0.00000002
1995,24,COG,0.00000000
1995,24,GAB,0.00000000
1995,25,CAN,0.00003335
1995,25,ZA1,0.00001507
1995,25,PHL,0.00000823
1995,25,BFA,0.00000722
1995,25,FRA,0.00000512
1995,25,Other,0.00002242
1995,26,DEU,0.00000005
1995,27,USA,0.00003271
1995,27,NLD,0.00000324
1995,27,BEN,0.00000088
1995,27,MLI,0.00000016
1995,27,BFA,0.00000014
1995,27,Other,0.00000023
1995,28,BEN,0.00000005
1995,28,GHA,0.00000001
1995,29,CIV,0.00000004
1995,29,BEN,0.00000001
1995,30,ITA,0.00000208
1995,30,BEN,0.00000140
1995,30,HKG,0.00000122
1995,30,ESP,0.00000104
1995,30,FRA,0.00000089
1995,30,Other,0.00000156
1995,31,NER,0.00000007
1995,31,NGA,0.00000007
1995,31,BEN,0.00000000
1995,31,GAB,0.00000000
1995,32,GHA,0.00000008
1995,32,GIN,0.00000002
1995,32,NER,0.00000002
1995,32,FRA,0.00000001
1995,32,BEN,0.00000001
1995,32,Other,0.00000002
1995,33,GAB,0.00000023
1995,33,GHA,0.00000016
1995,33,BEN,0.00000014
1995,33,COG,0.00000003
1995,33,SEN,0.00000002
1995,33,Other,0.00000004
1995,34,BEN,0.00000011
1995,34,GAB,0.00000008
1995,34,GHA,0.00000007
1995,34,COG,0.00000001
1995,34,FRA,0.00000001
1995,34,Other,0.00000001
1995,35,IDN,0.00000010
1995,35,BEN,0.00000000
1995,35,GHA,0.00000000
1995,36,GAB,0.00000001
1995,36,CIV,0.00000001
1995,36,COG,0.00000000
1995,37,NGA,0.00000013
1995,37,CIV,0.00000002
1995,37,BEN,0.00000002
1995,37,NLD,0.00000002
1995,37,DEU,0.00000001
1995,37,Other,0.00000001
1995,38,BEN,0.00000108
1995,38,GAB,0.00000020
1995,38,BFA,0.00000004
1995,38,GHA,0.00000004
1995,38,NER,0.00000003
1995,38,Other,0.00000005
1995,39,BFA,0.00000077
1995,39,BEN,0.00000071
1995,39,GHA,0.00000047
1995,39,NER,0.00000029
1995,39,CMR,0.00000010
1995,39,Other,0.00000020
1995,40,BEN,0.00000067
1995,40,NER,0.00000019
1995,40,BFA,0.00000017
1995,40,GAB,0.00000010
1995,40,GHA,0.00000009
1995,40,Other,0.00000012
1995,41,USA,0.00000001
1995,41,GHA,0.00000000
1995,41,NGA,0.00000000
1995,42,GHA,0.00000013
1995,42,NGA,0.00000002
1995,42,GIN,0.00000001
1995,42,AGO,0.00000001
1995,42,GMB,0.00000001
1995,42,Other,0.00000002
1995,44,IND,0.00000020
1995,44,FRA,0.00000015
1995,44,QAT,0.00000010
1995,44,BEN,0.00000009
1995,44,ITA,0.00000006
1995,44,Other,0.00000018
1995,46,GAB,0.00000001
1995,46,USA,0.00000001
1995,46,DEU,0.00000000
1995,46,GHA,0.00000000
1995,46,FRA,0.00000000
1995,46,Other,0.00000000
1995,47,FRA,0.00000001
1995,48,BFA,0.00000088
1995,48,NER,0.00000051
1995,48,BEN,0.00000026
1995,48,FRA,0.00000012
1995,48,DEU,0.00000002
1995,48,Other,0.00000006
1995,49,CIV,0.00000015
1995,49,DNK,0.00000005
1995,49,BFA,0.00000005
1995,49,BEL,0.00000001
1995,49,BEN,0.00000001
1995,49,Other,0.00000003
1995,50,JPN,0.00000001
1995,51,AUT,0.00000000
1995,51,FRA,0.00000000
1995,52,S19,0.00002650
1995,52,THA,0.00001295
1995,52,BRA,0.00000609
1995,52,IDN,0.00000425
1995,52,IND,0.00000372
1995,52,Other,0.00003073
1995,54,CIV,0.00000010
1995,54,NGA,0.00000004
1995,54,GHA,0.00000003
1995,54,COG,0.00000003
1995,54,GAB,0.00000002
1995,54,Other,0.00000000
1995,55,GHA,0.00000090
1995,55,CIV,0.00000037
1995,55,NGA,0.00000023
1995,55,MLI,0.00000017
1995,55,BEN,0.00000017
1995,55,Other,0.00000015
1995,56,GHA,0.00000085
1995,56,NGA,0.00000024
1995,56,MLI,0.00000015
1995,56,GAB,0.00000008
1995,56,BEN,0.00000006
1995,56,Other,0.00000014
1995,57,COG,0.00000001
1995,57,BEL,0.00000000
1995,58,CIV,0.00000004
1995,58,GHA,0.00000002
1995,58,NGA,0.00000002
1995,58,BEN,0.00000000
1995,58,NER,0.00000000
1995,58,Other,0.00000000
1995,59,MEX,0.00000002
1995,59,FRA,0.00000002
1995,59,UGA,0.00000001
1995,59,GHA,0.00000000
1995,59,COG,0.00000000
1995,60,ITA,0.00000044
1995,60,NLD,0.00000043
1995,60,DEU,0.00000036
1995,60,DNK,0.00000011
1995,60,SWE,0.00000005
1995,60,Other,0.00000012
1995,61,NGA,0.00000028
1995,61,GHA,0.00000023
1995,61,CIV,0.00000022
1995,61,USA,0.00000008
1995,61,BEN,0.00000007
1995,61,Other,0.00000028
1995,62,USA,0.00000090
1995,62,CIV,0.00000037
1995,62,DEU,0.00000021
1995,62,BEL,0.00000020
1995,62,FRA,0.00000020
1995,62,Other,0.00000088
1995,63,GHA,0.00000241
1995,63,BEN,0.00000016
1995,63,NGA,0.00000013
1995,63,GAB,0.00000011
1995,63,CIV,0.00000007
1995,63,Other,0.00000026
1995,64,CHN,0.00000023
1995,64,BEN,0.00000017
1995,64,CIV,0.00000010
1995,64,BFA,0.00000010
1995,64,NER,0.00000009
1995,64,Other,0.00000036
1995,65,USA,0.00000001
1995,65,AGO,0.00000000
1995,65,FRA,0.00000000
1995,65,CIV,0.00000000
1995,65,BEN,0.00000000
1995,66,COD,0.00000002
1995,66,AGO,0.00000001
1995,66,GHA,0.00000001
1995,67,FRA,0.00000068
1995,67,GHA,0.00000044
1995,67,NGA,0.00000036
1995,67,USA,0.00000018
1995,67,COG,0.00000015
1995,67,Other,0.00000051
1995,68,GHA,0.00000002
1995,68,BFA,0.00000000
1995,68,FRA,0.00000000
1995,69,NER,0.00000002
1995,69,FRA,0.00000001
1995,69,GHA,0.00000001
1995,69,BEN,0.00000001
1995,69,BFA,0.00000000
1995,69,Other,0.00000001
1995,70,FRA,0.00000236
1995,70,BEN,0.00000019
1995,70,NGA,0.00000007
1995,70,GHA,0.00000004
1995,70,USA,0.00000002
1995,70,Other,0.00000007
1995,71,CHE,0.00003696
1995,71,BEL,0.00002277
1995,71,FRA,0.00000053
1995,71,NLD,0.00000029
1995,71,BEN,0.00000008
1995,71,Other,0.00000012
1995,72,BEN,0.00000141
1995,72,ITA,0.00000075
1995,72,BFA,0.00000024
1995,72,CHE,0.00000022
1995,72,NER,0.00000022
1995,72,Other,0.00000022
1995,73,BEN,0.00000239
1995,73,GHA,0.00000066
1995,73,ECU,0.00000021
1995,73,BFA,0.00000017
1995,73,NER,0.00000007
1995,73,Other,0.00000010
1995,74,FRA,0.00000038
1995,74,DZA,0.00000015
1995,74,DEU,0.00000003
1995,74,NER,0.00000000
1995,74,ITA,0.00000000
1995,74,Other,0.00000000
1995,75,FRA,0.00000001
1995,76,BEN,0.00000007
1995,76,GMB,0.00000001
1995,76,FRA,0.00000001
1995,76,COG,0.00000000
1995,78,CHN,0.00000000
1995,79,GHA,0.00000012
1995,79,BEN,0.00000002
1995,79,CHN,0.00000001
1995,79,ITA,0.00000001
1995,79,FRA,0.00000000
1995,80,BEN,0.00000224
1995,80,IND,0.00000146
1995,80,NGA,0.00000048
1995,80,CHE,0.00000013
1995,80,DEU,0.00000012
1995,80,Other,0.00000028
1995,81,DEU,0.00000001
1995,81,COG,0.00000000
1995,81,GAB,0.00000000
1995,82,ECU,0.00000011
1995,82,GHA,0.00000005
1995,82,BEN,0.00000003
1995,82,BFA,0.00000001
1995,82,COG,0.00000001
1995,82,Other,0.00000001
1995,83,GHA,0.00000003
1995,83,FRA,0.00000000
1995,83,DEU,0.00000000
1995,83,USA,0.00000000
1995,83,COG,0.00000000
1995,83,Other,0.00000000
1995,84,ECU,0.00000152
1995,84,MRT,0.00000078
1995,84,BEN,0.00000066
1995,84,GHA,0.00000035
1995,84,FRA,0.00000027
1995,84,Other,0.00000083
1995,85,ITA,0.00000382
1995,85,BEN,0.00000080
1995,85,GHA,0.00000079
1995,85,BFA,0.00000047
1995,85,GAB,0.00000040
1995,85,Other,0.00000058
1995,86,ECU,0.00000005
1995,86,BEL,0.00000001
1995,86,NER,0.00000000
1995,87,GHA,0.00000511
1995,87,CIV,0.00000277
1995,87,IDN,0.00000088
1995,87,BEN,0.00000041
1995,87,BFA,0.00000032
1995,87,Other,0.00000128
1995,88,USA,0.00000030
1995,88,CIV,0.00000005
1995,88,FRA,0.00000005
1995,88,ESP,0.00000002
1995,89,COG,0.00000001
1995,89,CIV,0.00000001
1995,90,FRA,0.00001377
1995,90,CHE,0.00000498
1995,90,NLD,0.00000435
1995,90,ITA,0.00000388
1995,90,BEL,0.00000351
1995,90,Other,0.00000365
1995,91,NLD,0.00000013
1995,91,FRA,0.00000002
1995,91,DEU,0.00000002
1995,91,PAN,0.00000002
1995,91,COG,0.00000002
1995,91,Other,0.00000008
1995,92,FRA,0.00000001
1995,92,CAF,0.00000001
1995,92,DEU,0.00000001
1995,92,CHE,0.00000000
1995,92,USA,0.00000000
1995,94,FRA,0.00000025
1995,94,HTI,0.00000009
1995,94,GAB,0.00000005
1995,94,BEN,0.00000004
1995,94,DNK,0.00000003
1995,94,Other,0.00000016
1995,95,GHA,0.00000004
1995,95,FRA,0.00000001
1995,95,MLI,0.00000001
1995,95,BEN,0.00000001
1995,95,DEU,0.00000000
1995,95,Other,0.00000000
1995,96,GHA,0.00000005
1995,96,FRA,0.00000001
1995,96,GAB,0.00000000
1995,96,NGA,0.00000000
1995,96,CAF,0.00000000
1995,96,Other,0.00000000
1995,97,USA,0.00000042
1995,97,CHE,0.00000025
1995,97,ZA1,0.00000009
1995,97,NLD,0.00000006
1995,97,FRA,0.00000004
1995,97,Other,0.00000011
1996,10,BEN,0.00000267
1996,10,USA,0.00000073
1996,10,NER,0.00000020
