year,product_chapter,importer,value_trln_USD
1995,10,KGZ,0.00000011
1995,10,MDA,0.00000008
1995,10,JPN,0.00000005
1995,10,LTU,0.00000003
1995,10,LVA,0.00000000
1995,11,KGZ,0.00000001
1995,12,FRA,0.00000026
1995,12,MDA,0.00000025
1995,12,USA,0.00000020
1995,12,LTU,0.00000006
1995,12,KGZ,0.00000003
1995,12,Other,0.00000002
1995,13,MDA,0.00000001
1995,14,CHN,0.00001759
1995,14,ISR,0.00000035
1995,14,KGZ,0.00000003
1995,14,DEU,0.00000002
1995,14,FRA,0.00000001
1995,15,POL,0.00000060
1995,15,KGZ,0.00000007
1995,17,KGZ,0.00000003
1995,17,LTU,0.00000000
1995,18,KGZ,0.00000106
1995,19,KGZ,0.00000003
1995,20,DEU,0.00000172
1995,20,POL,0.00000101
1995,20,AUT,0.00000088
1995,20,LTU,0.00000083
1995,20,ITA,0.00000027
1995,20,Other,0.00000040
1995,21,EST,0.00000011
1995,21,KGZ,0.00000009
1995,21,SAU,0.00000004
1995,21,LTU,0.00000003
1995,22,KGZ,0.00000009
1995,22,LTU,0.00000001
1995,22,DEU,0.00000000
1995,23,DNK,0.00000328
1995,23,LTU,0.00000213
1995,23,GBR,0.00000134
1995,23,EST,0.00000027
1995,23,ESP,0.00000024
1995,23,Other,0.00000016
1995,24,MDA,0.00000026
1995,24,KGZ,0.00000000
1995,24,CHE,0.00000000
1995,25,LTU,0.00000225
1995,25,KGZ,0.00000092
1995,25,FRA,0.00000002
1995,26,USA,0.00000275
1995,26,CHN,0.00000004
1995,27,KGZ,0.00007015
1995,27,LTU,0.00000016
1995,27,EST,0.00000004
1995,28,USA,0.00001500
1995,28,CAN,0.00000445
1995,28,FRA,0.00000064
1995,28,KGZ,0.00000032
1995,28,CHN,0.00000031
1995,28,Other,0.00000046
1995,29,CHN,0.00000046
1995,29,DEU,0.00000033
1995,29,KGZ,0.00000011
1995,29,EGY,0.00000002
1995,29,FRA,0.00000001
1995,29,Other,0.00000000
1995,30,KGZ,0.00000034
1995,30,LTU,0.00000011
1995,30,LVA,0.00000008
1995,30,NLD,0.00000003
1995,30,JPN,0.00000001
1995,30,Other,0.00000001
1995,31,CHN,0.00001566
1995,31,KGZ,0.00000229
1995,31,ITA,0.00000212
1995,31,TUR,0.00000083
1995,31,POL,0.00000051
1995,32,KGZ,0.00000020
1995,33,DEU,0.00000003
1995,33,LTU,0.00000003
1995,33,KGZ,0.00000002
1995,34,KGZ,0.00000011
1995,34,KOR,0.00000001
1995,34,LTU,0.00000000
1995,35,LTU,0.00000029
1995,35,KGZ,0.00000016
1995,35,NLD,0.00000011
1995,36,KGZ,0.00000000
