year,product_chapter,value_trln_USD,quantity_mln_metric_tons
1995,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00002871,0.00001538
1995,"Ships, boats and floating structures",0.00002019,0.00068344
1995,Fertilizers,0.00001351,0.14777213
1995,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000830,0.00049322
1995,Organic chemicals,0.00000683,0.02856864
1995,Other,0.00002362,0.05605632
1996,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00003672,0.00004048
1996,"Ships, boats and floating structures",0.00002877,0.00099509
1996,Aluminium and articles thereof,0.00001499,0.00973805
1996,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00001183,0.09030555
1996,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00000859,0.00124443
1996,Other,0.00002728,0.02050732
1997,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00006880,0.00000000
1997,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body",0.00005274,0.00604969
1997,"Ships, boats and floating structures",0.00004720,0.02321789
1997,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00002118,0.15680382
1997,Pharmaceutical products,0.00000720,0.00645104
1997,Other,0.00004797,0.12050604
1998,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00005800,0.00002594
1998,"Ships, boats and floating structures",0.00002644,0.00100594
1998,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00001405,0.00019357
1998,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00000732,0.03375012
1998,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000654,0.00061164
1998,Other,0.00002569,0.08830221
1999,"Aircraft, spacecraft, and parts thereof",0.00007666,0.00024691
1999,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00002857,0.00003087
1999,"Ships, boats and floating structures",0.00002064,0.00195326
1999,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00000966,0.00108112
1999,Works of art; collectors' pieces and antiques,0.00000857,0.00000000
1999,Other,0.00002878,0.03083331
2000,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00007811,0.00006532
2000,"Aircraft, spacecraft, and parts thereof",0.00004394,0.00022254
2000,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00001469,0.00090180
2000,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00001282,0.08192254
2000,"Ships, boats and floating structures",0.00000898,0.00076209
2000,Other,0.00004460,0.06580601
2001,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00007983,0.36155604
2001,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00006871,0.00049864
2001,"Ships, boats and floating structures",0.00001721,0.00501034
2001,Organic chemicals,0.00000853,0.01551563
2001,Works of art; collectors' pieces and antiques,0.00000656,0.00000052
2001,Other,0.00005039,0.08107079
2002,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00018868,0.87258868
2002,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00008962,0.00001309
2002,"Ships, boats and floating structures",0.00002654,0.00118567
2002,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00001537,0.00107622
2002,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00001282,0.00100937
2002,Other,0.00006678,0.07172368
2003,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00012262,0.00011825
2003,"Ships, boats and floating structures",0.00012248,0.00808068
2003,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00005200,0.19514927
2003,Works of art; collectors' pieces and antiques,0.00002300,0.00000784
2003,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00002010,0.00119469
2003,Other,0.00005469,0.10070140
2004,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00016231,0.00000877
2004,"Ships, boats and floating structures",0.00010719,0.00288329
2004,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00007268,0.20789037
2004,Works of art; collectors' pieces and antiques,0.00002206,0.00001165
2004,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00001748,0.00133832
2004,Other,0.00006926,0.10320056
2005,"Ships, boats and floating structures",0.00109524,0.01681691
2005,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00016613,0.00002488
2005,"Aircraft, spacecraft, and parts thereof",0.00004872,0.00003852
2005,"Ores, slag and ash",0.00002567,0.01088302
2005,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00002465,0.04697579
2005,Other,0.00009088,0.08884828
2006,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00015236,0.00003488
2006,"Ships, boats and floating structures",0.00006817,0.00491458
2006,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00002392,0.08299354
2006,Works of art; collectors' pieces and antiques,0.00002100,0.00000451
2006,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00001954,0.00104649
2006,Other,0.00009547,0.10808680
2007,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00010064,0.00002373
2007,"Ships, boats and floating structures",0.00005839,0.00420739
2007,"Aircraft, spacecraft, and parts thereof",0.00005682,0.00004538
2007,Works of art; collectors' pieces and antiques,0.00003935,0.00002235
2007,Organic chemicals,0.00002715,0.03163818
2007,Other,0.00014345,0.17868195
2008,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00017039,0.00000780
2008,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00011372,0.10838389
2008,"Ships, boats and floating structures",0.00010017,0.00788524
2008,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00003219,0.00223440
2008,Works of art; collectors' pieces and antiques,0.00001892,0.00000332
2008,Other,0.00011386,0.06364777
2009,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00014802,0.00000427
2009,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00003914,0.00085151
2009,"Aircraft, spacecraft, and parts thereof",0.00003106,0.00003006
2009,"Ships, boats and floating structures",0.00002518,0.00199475
2009,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00001514,0.00104976
2009,Other,0.00007332,0.15849737
2010,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00013542,0.00000328
2010,"Ships, boats and floating structures",0.00012474,0.00647204
2010,"Aircraft, spacecraft, and parts thereof",0.00006449,0.00005389
2010,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00005686,0.07986332
2010,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00002420,0.00048576
2010,Other,0.00010523,0.09393243
2011,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00021649,0.00000685
2011,"Ships, boats and floating structures",0.00013619,0.03197429
2011,Works of art; collectors' pieces and antiques,0.00005803,0.00004340
2011,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes",0.00005133,0.07328675
2011,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00002206,0.00062960
2011,Other,0.00014624,0.10616354
2012,"Ships, boats and floating structures",0.00094854,0.02128793
2012,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00010081,0.00000070
2012,Works of art; collectors' pieces and antiques,0.00004361,0.00001092
2012,"Machinery and mechanical appliances, boilers, nuclear reactors; parts thereof",0.00002072,0.00155929
2012,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers; television image and sound recorders and reproducers, parts and accessories of such articles",0.00001709,0.00044885
2012,Other,0.00012050,0.11664307
2013,"Ships, boats and floating structures",0.00029108,0.02636093
2013,"Natural, cultured pearls; precious, semi-precious stones; precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin",0.00022827,0.00000279
