year,product_chapter,exporter,value_trln_USD,quantity_mln_metric_tons
1995,10,CAN,0.00000894,0.01570838
1995,10,USA,0.00000872,0.04534524
1995,10,ARG,0.00000674,0.02439989
1995,10,DEU,0.00000672,0.03249192
1995,10,PAK,0.00000633,0.02141714
1995,10,Other,0.00001216,0.06184329
1995,11,MUS,0.00000153,0.00322500
1995,11,ZA1,0.00000036,0.00048678
1995,11,CHE,0.00000018,0.00053750
1995,11,DNK,0.00000008,0.00014205
1995,11,ZMB,0.00000005,0.00014775
1995,11,Other,0.00000003,0.00001508
1995,12,ARG,0.00000374,0.00437718
1995,12,CHN,0.00000286,0.00040000
1995,12,ZMB,0.00000097,0.00520313
1995,12,ZA1,0.00000091,0.00030391
1995,12,MWI,0.00000060,0.00301612
1995,12,Other,0.00000142,0.00085633
1995,13,ZA1,0.00000034,0.00011496
1995,13,IND,0.00000032,0.00005145
1995,13,DEU,0.00000022,0.00001580
1995,13,BEL,0.00000019,0.00000475
1995,13,USA,0.00000012,0.00000829
1995,13,Other,0.00000047,0.00013372
1995,14,ZA1,0.00000004,0.00002644
1995,14,SGP,0.00000002,0.00000400
1995,14,GBR,0.00000002,0.00000506
1995,14,BEL,0.00000001,0.00000181
1995,14,LKA,0.00000001,0.00000300
1995,14,Other,0.00000001,0.00000342
1995,15,ARG,0.00001739,0.02165026
1995,15,AUS,0.00000811,0.01095113
1995,15,ZA1,0.00000676,0.00755043
1995,15,NZL,0.00000543,0.00842476
1995,15,MYS,0.00000431,0.00694895
1995,15,Other,0.00000381,0.00413069
1995,16,ZA1,0.00000149,0.00079309
1995,16,THA,0.00000019,0.00010901
1995,16,HKG,0.00000016,0.00018600
1995,16,PHL,0.00000011,0.00003604
1995,16,GRC,0.00000007,0.00001004
1995,16,Other,0.00000017,0.00004389
1995,17,ZA1,0.00000087,0.00073717
1995,17,ZMB,0.00000039,0.01025126
1995,17,MWI,0.00000026,0.00075891
1995,17,GBR,0.00000023,0.00004555
1995,17,DEU,0.00000007,0.00005030
1995,17,Other,0.00000006,0.00002331
1995,18,ZA1,0.00000161,0.00059193
1995,18,GBR,0.00000026,0.00005505
1995,18,NLD,0.00000018,0.00005106
1995,18,DEU,0.00000011,0.00001593
1995,18,AUS,0.00000008,0.00003319
1995,18,Other,0.00000020,0.00005532
1995,19,ZA1,0.00000173,0.00098291
1995,19,GBR,0.00000010,0.00002665
1995,19,DEU,0.00000007,0.00002114
1995,19,GRC,0.00000007,0.00007992
1995,19,MYS,0.00000006,0.00004568
1995,19,Other,0.00000033,0.00014924
1995,20,ZA1,0.00000233,0.00139623
1995,20,CHN,0.00000017,0.00030522
1995,20,GRC,0.00000010,0.00002754
1995,20,ITA,0.00000008,0.00009101
1995,20,DEU,0.00000007,0.00001690
1995,20,Other,0.00000026,0.00016911
1995,21,ZA1,0.00000265,0.00090762
1995,21,GBR,0.00000040,0.00009230
1995,21,DEU,0.00000015,0.00002186
1995,21,DNK,0.00000015,0.00000735
1995,21,TUR,0.00000010,0.00005203
1995,21,Other,0.00000047,0.00012458
1995,22,ZA1,0.00000639,0.00632190
1995,22,GBR,0.00000213,0.00043064
1995,22,NLD,0.00000055,0.00008591
1995,22,AUS,0.00000020,0.00022944
1995,22,FRA,0.00000011,0.00004730
1995,22,Other,0.00000042,0.00026343
1995,23,ARG,0.00000868,0.04417288
1995,23,ZA1,0.00000445,0.00819998
1995,23,MWI,0.00000012,0.00145085
1995,23,DEU,0.00000011,0.00011494
1995,23,CHE,0.00000007,0.00000869
1995,23,Other,0.00000028,0.00065328
1995,24,ZA1,0.00000123,0.00085265
1995,24,MDG,0.00000030,0.00024355
1995,24,MWI,0.00000029,0.00024600
1995,24,GBR,0.00000014,0.00000710
1995,24,ZMB,0.00000007,0.00003700
1995,24,Other,0.00000018,0.00003602
1995,25,ZA1,0.00001385,0.14527005
1995,25,ZMB,0.00000056,0.03450719
1995,25,DEU,0.00000020,0.00022032
1995,25,USA,0.00000016,0.00027509
1995,25,ITA,0.00000013,0.00011354
1995,25,Other,0.00000037,0.00193015
1995,26,MOZ,0.00000079,0.00953900
1995,26,ZA1,0.00000029,0.00099300
1995,26,BEL,0.00000012,0.00027300
1995,26,GBR,0.00000000,0.00002125
1995,26,BGR,0.00000000,0.00000100
1995,26,Other,0.00000000,0.00000300
1995,27,ZA1,0.00005756,1.55324837
1995,27,ZMB,0.00002434,0.00035595
1995,27,SAU,0.00001166,1.75843628
1995,27,KWT,0.00000326,1.28548574
1995,27,FRA,0.00000160,0.00133219
1995,27,Other,0.00000449,0.04994438
1995,28,ZA1,0.00003852,0.10635392
1995,28,GBR,0.00000568,0.00614097
1995,28,DEU,0.00000301,0.00242690
1995,28,USA,0.00000157,0.00111677
1995,28,NOR,0.00000149,0.00383857
1995,28,Other,0.00000922,0.01172411
1995,29,ZA1,0.00001719,0.00987512
1995,29,DEU,0.00000517,0.00114617
1995,29,GBR,0.00000258,0.00050050
1995,29,USA,0.00000253,0.00050774
1995,29,IND,0.00000218,0.00021372
1995,29,Other,0.00001376,0.00303629
1995,30,ZA1,0.00002189,0.01467370
1995,30,GBR,0.00000392,0.00004842
1995,30,CHE,0.00000283,0.00004205
1995,30,USA,0.00000236,0.00000602
1995,30,BEL,0.00000181,0.00006606
1995,30,Other,0.00000981,0.00170940
1995,31,JPN,0.00000594,0.02867200
1995,31,ZA1,0.00000585,0.01791960
1995,31,USA,0.00000468,0.01461600
1995,31,NOR,0.00000288,0.01616119
1995,31,UKR,0.00000231,0.00001300
1995,31,Other,0.00000605,0.02512774
1995,32,ZA1,0.00001078,0.00354953
1995,32,DEU,0.00000268,0.00035867
1995,32,CHE,0.00000264,0.00015410
1995,32,GBR,0.00000194,0.00011605
1995,32,AUT,0.00000126,0.00010774
1995,32,Other,0.00000281,0.00073171
1995,33,ZA1,0.00000869,0.00066980
1995,33,GBR,0.00000238,0.00018098
1995,33,CHE,0.00000219,0.00009443
1995,33,FRA,0.00000079,0.00001338
1995,33,DEU,0.00000058,0.00004454
1995,33,Other,0.00000205,0.00014214
1995,34,ZA1,0.00000298,0.00160367
1995,34,DEU,0.00000078,0.00030746
1995,34,GBR,0.00000054,0.00013378
1995,34,CHE,0.00000022,0.00003869
1995,34,DMA,0.00000013,0.00006818
1995,34,Other,0.00000086,0.00125338
1995,35,ZA1,0.00000207,0.00119626
1995,35,NLD,0.00000029,0.00019645
1995,35,GBR,0.00000028,0.00005955
1995,35,ITA,0.00000018,0.00004810
1995,35,DEU,0.00000016,0.00003002
1995,35,Other,0.00000044,0.00008605
1995,36,ZA1,0.00001406,0.00707282
1995,36,ZMB,0.00000035,0.00014917
1995,36,PER,0.00000034,0.00002723
1995,36,GBR,0.00000011,0.00000042
1995,36,BRA,0.00000004,0.00000650
1995,36,Other,0.00000009,0.00004431
1995,37,ZA1,0.00000307,0.00009721
1995,37,GBR,0.00000185,0.00012388
1995,37,FRA,0.00000141,0.00000828
1995,37,JPN,0.00000094,0.00005211
1995,37,USA,0.00000035,0.00001217
1995,37,Other,0.00000090,0.00002997
1995,38,ZA1,0.00004092,0.02634532
1995,38,USA,0.00000624,0.00108614
1995,38,JPN,0.00000372,0.01547108
1995,38,GBR,0.00000265,0.00093405
1995,38,CHE,0.00000217,0.00023255
1995,38,Other,0.00000992,0.01351625
1995,39,ZA1,0.00005237,0.03169562
1995,39,BRA,0.00000809,0.00815234
1995,39,DEU,0.00000594,0.00329919
1995,39,KOR,0.00000519,0.00418470
1995,39,GBR,0.00000496,0.00174904
1995,39,Other,0.00003527,0.02258694
1995,40,ZA1,0.00002252,0.00785269
1995,40,JPN,0.00000472,0.00105711
1995,40,MYS,0.00000452,0.00219161
1995,40,GBR,0.00000436,0.00105664
1995,40,SGP,0.00000318,0.00143399
1995,40,Other,0.00001670,0.00482584
1995,41,ZA1,0.00000316,0.00167649
1995,41,IND,0.00000284,0.00018423
1995,41,ITA,0.00000009,0.00000261
1995,41,SGP,0.00000007,0.00000987
1995,41,ZMB,0.00000007,0.00007403
1995,41,Other,0.00000012,0.00003635
1995,42,HKG,0.00000042,0.00004878
1995,42,S19,0.00000028,0.00004150
1995,42,ZA1,0.00000024,0.00001501
1995,42,CHN,0.00000021,0.00005768
1995,42,USA,0.00000015,0.00001092
1995,42,Other,0.00000045,0.00001543
1995,43,ZA1,0.00000001,0.00000000
1995,43,ZMB,0.00000001,0.00000000
1995,43,SWE,0.00000000,0.00000000
1995,43,GBR,0.00000000,0.00000007
1995,44,ZA1,0.00000410,0.00315498
1995,44,MOZ,0.00000166,0.00000011
1995,44,MWI,0.00000051,0.00069738
1995,44,USA,0.00000046,0.00017500
1995,44,ZMB,0.00000024,0.00199586
1995,44,Other,0.00000101,0.00021328
1995,45,DEU,0.00000012,0.00000386
1995,45,ZA1,0.00000007,0.00001440
1995,45,ESP,0.00000001,0.00000003
1995,45,GBR,0.00000001,0.00000216
1995,45,PRT,0.00000000,0.00000069
1995,46,ZA1,0.00000002,0.00000000
1995,46,GBR,0.00000000,0.00000169
1995,46,MWI,0.00000000,0.00000088
1995,46,IRN,0.00000000,0.00000000
1995,46,USA,0.00000000,0.00000000
1995,46,Other,0.00000000,0.00000000
1995,47,ZA1,0.00001437,0.02062132
1995,47,AUT,0.00000025,0.00031288
1995,47,USA,0.00000007,0.00007234
1995,47,KEN,0.00000003,0.00000350
1995,47,MWI,0.00000001,0.00028424
1995,48,ZA1,0.00003246,0.02924544
1995,48,SWE,0.00000477,0.00373794
1995,48,USA,0.00000471,0.00661541
1995,48,DEU,0.00000441,0.00113279
1995,48,GBR,0.00000285,0.00166951
1995,48,Other,0.00000749,0.00447885
1995,49,ZA1,0.00000590,0.00035438
1995,49,GBR,0.00000433,0.00031024
1995,49,JPN,0.00000333,0.00000742
1995,49,USA,0.00000040,0.00002867
1995,49,ITA,0.00000032,0.00002013
1995,49,Other,0.00000193,0.00013878
1995,50,ZA1,0.00000043,0.00008473
1995,50,DEU,0.00000018,0.00003900
1995,50,KOR,0.00000006,0.00001803
1995,50,GBR,0.00000005,0.00000389
